station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],유분[mg/L]
감포연안3_연안,2007-08-01,129.4883333,35.7075,35.0,130.592,34.09,13.14,3.38242,2.6,8.03,7.78,412.693,7.5981,16.9409,86.4813,,125.921,0.918896,31.8414,34.9837,
감포연안3_연안,2007-11-01,129.4883333,35.7075,30.0,132.119,33.4,18.17,1.7356,0.6,8.16,7.87,179.503,5.27868,6.06721,53.2375,,93.986,0.559328,35.4699,21.6212,
감포연안4_연안,2007-02-01,129.5005556,35.74638889,36.0,122.0,33.99,12.46,0.6959,5.0,9.83,8.01,247.0,9.0,16.0,80.0,,111.0,0.74,22.0,23.0,
감포연안4_연안,2007-05-01,129.5005556,35.74638889,35.0,362.681,33.89,7.19,4.42772,13.6,7.83,7.79,312.653,5.18537,20.2503,11.0,,23.4424,1.19856,7.25706,41.201,
감포연안4_연안,2007-08-01,129.5005556,35.74638889,37.0,147.065,33.83,12.27,2.3866,2.4,8.09,7.82,465.195,11.1972,18.0441,68.8055,,100.184,0.79904,20.1812,24.0,
감포연안4_연안,2007-11-01,129.5005556,35.74638889,35.0,236.407,33.7,17.21,1.12378,1.8,8.26,7.92,187.544,5.49196,6.2248,49.2313,,208.182,1.35837,153.458,22.3636,
감포연안H1_항만,2007-02-01,129.5055556,35.80694444,7.0,254.0,33.71,11.6,0.85596,10.6,9.54,7.95,310.0,8.0,25.0,101.0,,175.0,0.7,67.0,42.0,
감포연안H1_항만,2007-08-01,129.5055556,35.80694444,7.0,103.357,33.03,21.79,10.3156,12.57,8.41,7.91,55.341,2.31942,3.86095,14.3771,,21.5482,0.59928,4.85163,28.8592,
강구연안1_연안,2007-02-01,129.4205556,36.38055556,53.0,153.0,33.98,10.68,0.08054,12.6,9.71,7.98,197.0,8.0,6.0,57.0,,90.0,0.92,26.0,34.0,
강구연안1_연안,2007-05-01,129.4205556,36.38055556,53.0,204.722,33.98,4.76,0.12666,6.8,8.93,7.73,405.598,1.98617,27.1843,51.0,,70.6804,1.09868,17.6942,41.9433,
강구연안1_연안,2007-08-01,129.4205556,36.38055556,60.0,41.3828,33.96,5.93,0.43986,8.2,7.85,7.66,125.108,1.01308,4.8065,2.467,,40.7846,0.379544,37.3046,14.012,
강구연안1_연안,2007-11-01,129.4205556,36.38055556,60.0,128.665,34.01,7.01,0.43958,2.6,8.04,7.78,218.29,6.23844,9.53419,63.4609,,91.8782,0.379544,22.1789,16.6103,
강구연안2_연안,2007-02-01,129.3975,36.35,22.0,163.0,33.97,10.8,0.15566,7.4,9.94,7.98,193.0,7.0,9.0,54.0,,77.0,0.88,16.0,21.0,
강구연안2_연안,2007-05-01,129.3975,36.35,25.0,213.357,33.97,7.0,0.22844,4.2,8.89,7.75,450.769,2.81263,28.6026,85.0,,101.022,0.4994,13.2095,38.7883,
강구연안2_연안,2007-08-01,129.3975,36.35,24.0,78.5808,33.96,7.81,0.22402,9.0,7.93,7.79,71.1865,0.37324,2.75782,0.878024,,4.79825,0.459448,3.54699,7.88758,
강구연안2_연안,2007-11-01,129.3975,36.35,28.0,196.153,34.09,6.46,0.56858,2.6,7.94,7.81,258.0,2.95926,11.0,95.4409,,141.127,0.539352,42.727,23.0,
강구연안H1_항만,2007-02-01,129.3905556,36.35666667,8.0,386.0,33.41,11.0,0.23808,7.0,10.4,8.01,320.0,9.0,28.0,199.0,,258.0,0.68,50.0,57.0,
강구연안H1_항만,2007-08-01,129.3905556,36.35666667,9.0,261.648,33.49,21.53,10.0226,16.0,7.77,7.93,288.767,4.29226,7.01275,91.9769,,156.813,0.978824,60.5434,39.4379,
강릉연안1_연안,2007-02-01,128.9616667,37.78166667,16.0,91.47,33.57,8.39,1.786,3.4,8.23,8.0,236.14,4.501,18.035,19.164,,37.709,0.646667,14.044,22.09,
강릉연안1_연안,2007-05-01,128.9616667,37.78166667,20.0,103.626,33.66,13.2,0.76,2.6,8.65,8.17,70.241,2.1,18.52,42.491,,76.867,1.2152,32.276,28.0,
강릉연안1_연안,2007-08-01,128.9616667,37.78166667,19.0,196.495,34.18,11.2,0.34996,2.0,8.07,7.67,79.5212,1.351,4.182,0.305728,,38.9236,1.19856,37.2669,18.0,
강릉연안1_연안,2007-11-01,128.9616667,37.78166667,20.0,63.432,33.84,15.18,0.485,2.8,7.71384,7.92,301.127,3.318,5.554,28.844,,37.419,1.63803,5.257,27.1,
강릉연안2_연안,2007-02-01,128.9555556,37.78,24.0,53.432,33.03,8.67,1.724,2.4,8.29,7.93,213.037,5.844,15.978,20.069,,35.214,0.96,9.301,19.682,
강릉연안2_연안,2007-05-01,128.9555556,37.78,31.0,304.765,33.79,9.79,0.892,2.6,8.37,8.06,64.27,4.0,18.672,43.195,,74.73,1.1368,27.535,28.0,
강릉연안2_연안,2007-08-01,128.9555556,37.78,24.0,172.0,34.13,11.26,0.60984,2.6,8.01,7.62,92.2123,5.795,11.413,36.8976,,73.8711,0.9988,31.1785,32.0,
강릉연안2_연안,2007-11-01,128.9555556,37.78,22.0,81.827,33.89,15.31,0.523,3.8,7.60273,7.89,316.989,3.951,6.249,43.551,,55.586,0.838992,8.084,18.663,
강릉연안3_연안,2007-02-01,128.9761111,37.76972222,36.0,81.804,32.97,6.82,1.442,3.0,8.1,7.93,239.278,4.27,16.563,25.265,,42.465,0.206667,12.93,20.99,
강릉연안3_연안,2007-05-01,128.9761111,37.76972222,40.0,163.434,33.7,12.94,0.766,2.2,8.57,8.14,57.996,3.2,16.0,39.97,,73.472,0.98,30.302,19.0,
강릉연안3_연안,2007-08-01,128.9761111,37.76972222,35.0,88.423,34.14,7.89,0.57448,2.2,8.45,7.87,98.2694,7.514,17.486,70.3522,,82.9157,1.19856,5.04952,18.0,
강릉연안3_연안,2007-11-01,128.9761111,37.76972222,38.0,155.028,33.82,8.94,0.428,4.8,7.83852,7.72,302.545,4.537,4.089,28.121,,42.127,0.719136,9.469,18.0,
강릉연안4_연안,2007-02-01,128.9316667,37.80638889,28.0,125.084,32.97,8.35,0.978,2.2,8.45,7.97,274.104,4.841,14.558,20.46,,40.976,1.01,15.675,26.086,
강릉연안4_연안,2007-05-01,128.9316667,37.80638889,25.0,199.082,33.72,13.07,0.396,2.0,9.28,8.13,66.811,2.7,6.556,39.812,,79.336,0.784,36.824,8.301,
강릉연안4_연안,2007-08-01,128.9316667,37.80638889,26.0,134.425,34.06,9.38,0.03938,2.6,8.28,7.51,103.101,4.741,6.07,1.0,,21.6008,1.79784,15.8598,23.0,
강릉연안4_연안,2007-11-01,128.9316667,37.80638889,23.0,157.914,33.87,15.22,0.337,3.6,7.58651,7.9,318.444,4.331,11.422,42.681,,56.926,1.39832,9.914,29.621,
강릉연안5_연안,2007-02-01,129.0808333,37.66444444,70.0,143.406,33.19,9.95,0.604,3.8,8.87,8.0,278.248,7.231,20.497,44.366,,70.805,0.91,19.208,24.679,
강릉연안5_연안,2007-05-01,129.0808333,37.66444444,66.0,198.098,33.61,5.04,0.8,1.8,8.35,7.78,460.895,10.7,10.014,41.52,,84.676,1.372,32.456,11.154,
강릉연안5_연안,2007-08-01,129.0808333,37.66444444,74.0,182.817,34.02,3.19,0.01974,3.8,8.28,8.02,120.551,3.509,17.486,51.7153,,66.3901,0.9988,11.1658,40.0,
강릉연안5_연안,2007-11-01,129.0808333,37.66444444,76.0,127.767,34.07,15.96,0.522,2.4,7.52455,7.94,220.667,3.621,11.185,22.027,,34.526,1.27846,8.878,31.058,
강릉연안6_연안,2007-02-01,129.0372222,37.71666667,81.0,172.529,33.15,9.9,2.656,1.0,8.64,8.03,149.965,4.196,18.0,30.259,,52.082,0.84,17.627,26.0,
강릉연안6_연안,2007-05-01,129.0372222,37.71666667,83.0,173.982,33.62,6.55,0.792,3.2,8.26,7.87,76.01,2.5,14.455,39.979,,68.195,0.98,25.716,21.0,
강릉연안6_연안,2007-08-01,129.0372222,37.71666667,80.0,309.019,34.07,6.59,0.03882,4.2,8.01,7.74,138.65,4.835,19.349,6.54969,,41.2551,1.15861,29.8704,29.0,
강릉연안6_연안,2007-11-01,129.0372222,37.71666667,80.0,220.269,33.92,15.09,0.337,1.4,7.87089,7.86,322.632,4.148,5.905,34.84,,44.668,0.519376,5.68,14.66,
강릉연안7_연안,2007-02-01,128.9952778,37.75083333,33.0,244.222,33.19,8.99,1.934,4.0,8.43,7.86,186.602,4.753,34.318,41.793,,67.343,0.87,20.797,36.612,
강릉연안7_연안,2007-05-01,128.9952778,37.75083333,37.0,164.94,33.66,7.95,0.714,1.8,8.32,7.96,123.425,4.8,21.567,56.117,,90.615,0.9408,29.698,22.0,
강릉연안7_연안,2007-08-01,128.9952778,37.75083333,42.0,270.081,33.11,6.95,0.2929,3.2,8.24,7.98,63.0805,3.0,7.059,1.0,,16.6594,1.59808,12.6594,36.0,
강릉연안7_연안,2007-11-01,128.9952778,37.75083333,35.0,95.443,33.84,8.45,0.449,1.2,7.55529,7.7,281.921,3.173,4.956,36.908,,41.663,0.79904,1.582,25.337,
거제도남안1_연안,2007-02-01,128.5580556,34.81333333,8.0,1403.0,33.45,8.91,2.06,1.6,12.1,,137.0,7.0,23.0,67.0,,106.0,0.77,33.0,38.0,
거제도남안1_연안,2007-05-01,128.5580556,34.81333333,10.0,293.3,34.35,15.39,5.0282,4.4,8.41,8.07,243.7,4.7,29.1,14.935,,46.735,1.056,27.1,49.9,
거제도남안1_연안,2007-08-01,128.5580556,34.81333333,10.3,249.0,33.69,19.45,13.48,5.2,7.82,7.84,77.0,13.0,38.0,90.0,,118.0,0.35,14.0,65.0,
거제도남안1_연안,2007-11-01,128.5580556,34.81333333,8.0,307.3,32.26,17.56,1.2648,4.75,8.02,8.04,612.3,16.2,51.7,75.81,,104.71,1.6,12.7,60.0,
거제도남안2_연안,2007-02-01,128.52,34.78083333,10.0,1093.0,33.56,10.51,0.76,3.2,11.1,,231.0,10.0,34.0,101.0,,156.0,1.58,45.0,50.0,
거제도남안2_연안,2007-05-01,128.52,34.78083333,10.5,244.0,34.22,14.78,2.5461,16.0,8.57,8.12,198.5,5.9,27.8,27.195,,72.595,1.408,39.5,61.9,
거제도남안2_연안,2007-08-01,128.52,34.78083333,11.8,669.0,33.31,20.08,17.28,4.8,8.02,7.87,28.0,3.0,5.0,44.0,,55.0,2.72,8.0,72.0,
거제도남안2_연안,2007-11-01,128.52,34.78083333,13.0,446.4,32.59,17.79,0.7295,9.25,6.81,,683.1,23.1,57.5,131.055,,154.155,1.392,0.0,72.0,
거제도남안3_연안,2007-02-01,128.5402778,34.72277778,42.0,1077.0,33.72,12.72,0.57,3.0,10.21,,227.0,14.0,35.0,102.0,,147.0,1.25,32.0,45.0,
거제도남안3_연안,2007-05-01,128.5402778,34.72277778,39.0,256.7,34.27,13.38,1.651,5.0,8.93,8.12,248.3,9.7,28.6,60.085,,92.385,1.344,22.6,51.6,
거제도남안3_연안,2007-08-01,128.5402778,34.72277778,40.0,723.0,33.95,16.91,2.83,8.8,7.55,7.99,57.0,9.0,19.0,227.0,,241.0,0.85,5.0,45.0,
거제도남안3_연안,2007-11-01,128.5402778,34.72277778,35.0,301.3,33.51,17.64,0.4848,4.75,6.12,7.87,564.5,16.9,49.7,164.245,,182.245,1.296,1.1,64.4,
거제도남안4_연안,2007-02-01,128.6427778,34.67388889,80.0,1538.0,33.72,12.93,0.78,2.0,10.28,,223.0,15.0,31.0,103.0,,156.0,0.37,38.0,35.0,
거제도남안4_연안,2007-05-01,128.6427778,34.67388889,86.0,495.6,34.26,13.3,1.3893,5.0,8.99,8.13,284.5,10.7,31.2,61.535,,91.335,1.024,19.1,53.6,
거제도남안4_연안,2007-08-01,128.6427778,34.67388889,85.0,260.0,34.03,16.55,0.94,4.2,7.53,8.0,59.0,5.0,25.0,296.0,,308.0,1.55,7.0,33.0,
거제도남안4_연안,2007-11-01,128.6427778,34.67388889,75.0,374.6,33.14,17.64,0.7179,3.75,6.84,8.05,552.1,17.9,46.9,148.695,,169.495,1.136,2.9,62.5,
거제도동안1_연안,2007-02-01,128.7333333,34.90944444,20.0,158.08,33.98,11.72,0.881885,9.475,8.93436,7.84,185.034,9.07657,24.243,62.4646,,80.1708,1.17058,8.62966,27.5694,
거제도동안1_연안,2007-05-01,128.7333333,34.90944444,19.4,897.161,33.83,13.56,4.25995,8.875,9.168,8.17,259.008,9.10056,8.8194,120.823,,181.891,0.861577,22.1759,66.0,
거제도동안1_연안,2007-08-01,128.7333333,34.90944444,20.0,464.359,34.7,16.99,6.35256,7.85,6.33804,7.77,446.511,12.6517,28.2899,93.729,,120.133,0.632605,13.7525,30.3175,
거제도동안1_연안,2007-11-01,128.7333333,34.90944444,25.0,227.0,33.49,16.63,3.57,3.6,7.54,7.85,200.0,7.0,30.0,50.0,,79.0,1.44,22.0,30.0,
거제도동안2_연안,2007-02-01,128.6797222,34.79861111,17.7,140.851,34.07,12.75,0.866938,6.655,9.47207,7.87,244.589,7.70943,19.4788,53.1903,,70.2061,1.33093,9.30636,29.3543,
거제도동안2_연안,2007-05-01,128.6797222,34.79861111,17.0,871.224,33.84,13.63,3.11649,10.605,8.787,8.17,349.283,10.5076,5.78035,111.781,,160.51,0.877532,18.8991,62.0,
거제도동안2_연안,2007-08-01,128.6797222,34.79861111,17.7,369.858,34.96,15.82,4.14785,4.55,6.48698,7.81,442.292,5.1178,29.7714,123.391,,145.963,0.373075,17.4542,32.1769,
거제도동안2_연안,2007-11-01,128.6797222,34.79861111,18.0,259.0,33.76,16.86,0.75,4.1,6.44,7.81,444.0,3.0,34.0,126.0,,139.0,1.23,10.0,34.0,
거제도동안3_연안,2007-02-01,128.7744444,34.76805556,68.0,158.11,34.1,13.22,1.95808,10.13,9.05844,7.89,257.264,8.16738,15.692,76.2261,,93.869,1.15455,9.47554,27.1505,
거제도동안3_연안,2007-05-01,128.7744444,34.76805556,66.0,635.275,33.93,13.75,0.941674,4.705,8.704,8.17,320.6,11.9939,9.73112,147.511,,201.065,0.670116,40.8367,39.0,
거제도동안3_연안,2007-08-01,128.7744444,34.76805556,68.0,342.307,34.77,17.37,3.64712,5.2,6.55317,7.8,539.314,3.67873,26.0677,162.773,,174.504,0.113544,8.05178,30.5035,
거제도동안3_연안,2007-11-01,128.7744444,34.76805556,70.0,317.0,34.31,14.98,0.21,9.1,4.87,7.69,654.0,7.0,47.0,226.0,,240.0,0.42,7.0,49.0,
거제도동안4_연안,2007-02-01,128.7502778,34.87916667,25.0,167.02,34.02,12.2,0.792202,8.705,9.09981,7.86,194.704,7.80006,16.9798,61.823,,79.6061,1.07437,9.98307,75.5545,
거제도동안4_연안,2007-05-01,128.7502778,34.87916667,25.0,829.707,33.89,13.61,1.15094,15.975,8.671,8.16,130.69,11.5613,11.4026,154.805,,171.876,0.909443,20.5383,42.0,
거제도동안4_연안,2007-08-01,128.7502778,34.87916667,25.0,309.036,,14.09,2.57839,14.5,6.32149,7.79,600.355,6.35935,35.2528,191.561,,202.196,0.437957,4.27601,35.5239,
거제도동안4_연안,2007-11-01,128.7502778,34.87916667,25.0,271.0,34.01,15.94,0.69,3.6,5.7,7.77,492.0,0.0,38.0,163.0,,175.0,0.41,12.0,39.0,
거제도동안H1_항만,2007-02-01,128.7155556,34.88527778,27.0,220.103,33.87,10.8,1.20325,4.055,9.47207,7.79,129.321,7.78886,21.7166,81.1045,,125.804,1.0423,36.9106,29.0902,
거제도동안H1_항만,2007-08-01,128.7155556,34.88527778,15.0,349.603,34.5,17.77,0.149472,5.6,5.29549,7.76,542.788,16.2071,28.2899,95.6124,,140.305,0.870508,28.4854,50.7709,
거제도동안H2_항만,2007-02-01,128.7272222,34.86472222,3.0,463.771,33.83,12.57,0.874412,9.845,8.68618,7.84,155.452,9.29861,36.9103,99.0,,292.413,1.44318,184.114,38.9316,
거제도동안H2_항만,2007-08-01,128.7272222,34.86472222,15.0,343.474,33.62,20.9,3.50512,2.65,8.40659,8.03,97.1353,7.48803,14.2161,29.3597,,57.8556,1.82753,21.0079,19.3471,
거진연안1_연안,2007-02-01,128.5055556,38.40833333,41.0,252.216,32.96,6.86,0.512,6.2,9.46,7.65,141.987,1.491,42.957,44.233,,65.759,0.82,20.035,49.224,
거진연안1_연안,2007-05-01,128.5055556,38.40833333,47.0,347.27,33.53,3.18,0.832,4.6,8.33,7.87,468.827,13.3,14.127,31.432,,73.383,0.784,28.651,29.0,
거진연안1_연안,2007-08-01,128.5055556,38.40833333,44.0,158.615,34.04,3.1,0.17288,0.4,7.45,7.6,65.0,2.535,8.516,10.5914,,26.1413,0.759088,13.015,24.0,
거진연안1_연안,2007-11-01,128.5055556,38.40833333,48.0,164.305,33.6,14.01,0.221,4.6,8.12493,7.91,342.746,0.223,4.658,25.407,,41.766,1.0787,16.136,13.0,
거진연안2_연안,2007-02-01,128.4597222,38.44027778,12.0,105.724,32.93,7.44,0.26,9.0,9.42,7.89,207.089,4.026,17.868,8.338,,33.031,0.63,20.667,27.293,
거진연안2_연안,2007-05-01,128.4597222,38.44027778,14.5,147.958,33.63,7.87,1.73,1.6,8.78,7.9,101.817,3.4,12.0,36.971,,66.123,0.9016,25.752,28.0,
거진연안2_연안,2007-08-01,128.4597222,38.44027778,11.0,211.934,33.59,17.72,0.15922,0.6,4.98,7.63,59.0,1.434,3.99,5.57523,,24.7181,1.0787,17.7089,15.0,
거진연안2_연안,2007-11-01,128.4597222,38.44027778,13.0,84.426,33.53,13.38,0.538,6.2,8.03618,7.96,231.27,2.931,6.764,28.357,,57.864,0.559328,26.576,9.648,
거진연안H1_항만,2007-02-01,128.4597222,38.44638889,6.0,232.289,32.23,5.45,1.084,6.4,8.31,7.86,242.153,3.666,18.684,67.108,,107.335,0.95,36.561,26.869,
거진연안H1_항만,2007-08-01,128.4597222,38.44638889,7.0,514.519,33.71,17.63,1.7226,2.0,4.41,7.71,172.685,1.642,7.169,60.7614,,129.47,0.958848,67.0662,17.0,
고성자란만1_연안,2007-02-01,128.3147222,34.9275,11.0,1471.0,32.89,6.87,1.16,10.4,11.73,,106.0,9.0,36.0,63.0,,97.0,1.23,25.0,41.0,
고성자란만1_연안,2007-05-01,128.3147222,34.9275,6.0,283.9,33.78,16.03,3.0959,7.4,8.28,8.12,175.8,6.9,25.8,17.945,,42.845,1.376,18.0,60.9,
고성자란만1_연안,2007-08-01,128.3147222,34.9275,5.0,295.0,32.16,25.49,6.51,1.2,7.31,7.68,97.0,2.0,56.0,52.0,,72.0,0.29,18.0,76.0,
고성자란만1_연안,2007-11-01,128.3147222,34.9275,5.0,434.5,31.4,16.93,3.0946,11.0,8.4,7.92,1002.4,26.2,55.0,111.11,,156.21,1.472,18.9,54.5,
고성자란만2_연안,2007-02-01,128.2233333,34.90944444,11.0,1588.0,32.97,6.18,0.67,9.2,12.93,,76.0,9.0,23.0,65.0,,85.0,1.31,11.0,55.0,
고성자란만2_연안,2007-05-01,128.2233333,34.90944444,9.5,234.3,34.02,15.13,2.0924,10.0,8.5,8.1,276.9,5.9,27.7,17.995,,40.895,1.392,17.0,60.3,
고성자란만2_연안,2007-08-01,128.2233333,34.90944444,8.5,114.0,32.78,22.05,1.82,0.6,9.2,7.88,64.0,6.0,24.0,113.0,,134.0,3.57,15.0,50.0,
고성자란만2_연안,2007-11-01,128.2233333,34.90944444,8.2,267.4,31.91,18.21,3.0334,3.25,7.9,7.8,578.2,21.8,42.7,37.29,,63.09,1.824,4.0,56.9,
고성자란만3_연안,2007-02-01,128.25,34.875,16.0,1555.0,32.97,6.84,1.63,5.2,11.56,,53.0,8.0,28.0,75.0,,109.0,1.41,26.0,47.0,
고성자란만3_연안,2007-05-01,128.25,34.875,14.0,214.2,33.99,14.43,2.6088,5.6,8.69,8.13,193.3,5.0,32.5,15.65,,36.55,1.52,15.9,59.3,
고성자란만3_연안,2007-08-01,128.25,34.875,13.0,135.0,33.01,21.17,2.42,3.2,9.23,7.88,125.0,12.0,34.0,93.0,,123.0,3.28,17.0,45.0,
고성자란만3_연안,2007-11-01,128.25,34.875,12.7,283.8,32.04,18.57,2.4068,6.5,7.97,7.88,573.7,26.4,49.3,74.12,,107.52,1.472,7.0,51.7,
고창연안1_연안,2007-02-01,126.4605556,35.5725,8.0,598.466,32.27,6.24,8.66236,11.6,10.6014,7.99,419.026,3.08509,19.7669,184.847,,277.249,2.82667,89.3172,36.0088,
고창연안1_연안,2007-05-01,126.4605556,35.5725,9.0,339.477,32.1,16.37,0.4612,7.4,9.22917,7.9,99.5755,0.363503,75.6867,14.627,,58.0542,1.12,43.0637,102.317,
