station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
감포연안1_연안,2008-02-01,129.5108333,35.79805556,26.0,226.544,33.93,11.73,0.93062,1.9,8.35,7.82,277.533,5.49196,17.2561,65.5759,,71.9648,0.379544,0.89694,27.5601
감포연안1_연안,2008-05-01,129.5108333,35.79805556,29.0,213.302,33.91,10.1,2.10296,6.4,8.52,7.94,482.144,8.86635,24.558,146.399,,198.763,0.619256,43.498,34.4588
감포연안1_연안,2008-08-01,129.5108333,35.79805556,29.0,245.44,33.91,12.89,,,8.09,7.9,580.804,9.60763,18.3366,32.3515,,61.5287,1.11866,19.5696,43.0045
감포연안1_연안,2008-11-01,129.5108333,35.79805556,30.0,293.352,33.95,13.4,,,7.68,7.74,492.086,8.721,23.412,205.221,,275.193,1.11866,61.2513,33.5398
감포연안2_연안,2008-02-01,129.5305556,35.81555556,44.0,149.82,33.93,11.84,0.3842,2.9,8.24,7.74,285.81,5.8652,16.3106,66.493,,73.5814,0.539352,1.2231,24.5907
감포연안2_연안,2008-05-01,129.5305556,35.81555556,44.0,217.418,34.08,10.62,2.42242,4.8,8.28,7.9,574.864,8.69193,24.3943,141.333,,206.327,0.539352,56.3022,57.7988
감포연안2_연안,2008-08-01,129.5305556,35.81555556,43.0,300.505,33.65,13.23,,,8.02,7.86,627.743,1.11919,17.0269,41.2379,,49.2133,0.59928,6.85615,49.8044
감포연안2_연안,2008-11-01,129.5305556,35.81555556,44.0,306.285,34.04,13.59,,,7.7,7.75,473.957,6.88959,25.704,229.076,,271.791,1.71794,35.8245,35.0101
감포연안3_연안,2008-02-01,129.4883333,35.7075,27.0,169.046,33.89,11.87,0.8786,2.2,7.8,7.75,280.134,6.37174,15.9954,63.2494,,73.1273,0.779064,3.50622,21.8068
감포연안3_연안,2008-05-01,129.4883333,35.7075,32.0,210.167,33.81,10.76,1.49004,5.2,8.31,7.87,574.574,7.96518,22.1022,136.288,,195.379,0.819016,51.126,54.6745
감포연안3_연안,2008-08-01,129.4883333,35.7075,35.0,208.012,33.76,13.32,,,8.32,7.82,547.772,0.421515,7.53112,8.16932,,17.4448,0.79904,8.85398,48.7017
감포연안3_연안,2008-11-01,129.4883333,35.7075,30.0,299.035,34.08,13.86,,,7.65,7.7,502.268,7.06401,25.704,227.509,,276.573,0.918896,41.9996,36.4803
감포연안4_연안,2008-02-01,129.5005556,35.74638889,36.0,192.988,33.94,11.83,0.61358,2.2,7.61,7.83,274.458,6.34508,16.153,53.4614,,64.2097,0.379544,4.40316,22.3636
감포연안4_연안,2008-05-01,129.5005556,35.74638889,35.0,352.63,33.83,11.24,1.50088,6.8,8.62,7.88,630.786,8.4303,24.558,184.847,,206.99,0.4994,13.7123,58.7177
감포연안4_연안,2008-08-01,129.5005556,35.74638889,37.0,251.711,33.72,13.42,,,8.39,7.81,533.285,3.21223,10.1506,26.6069,,68.1864,1.79784,38.3672,74.6147
감포연안4_연안,2008-11-01,129.5005556,35.74638889,35.0,289.041,34.03,13.39,,,7.62,7.72,517.168,5.93028,13.7525,245.294,,287.139,1.35837,35.9154,39.9721
감포연안H1_항만,2008-02-01,129.5055556,35.80694444,7.0,254.0,33.71,11.6,0.85596,10.6,9.54,7.95,310.0,8.0,25.0,101.0,,175.0,0.7,67.0,42.0
강구연안1_연안,2008-02-01,129.4205556,36.38055556,53.0,115.811,33.92,10.82,0.66776,5.7,9.79,7.78,291.013,4.9321,17.2561,83.7317,,100.65,0.918896,11.9864,19.2086
강구연안1_연안,2008-05-01,129.4205556,36.38055556,53.0,212.127,33.99,12.95,1.9341,4.0,8.05,7.84,259.616,3.7791,4.25672,24.5806,,36.0786,0.838992,7.71885,50.2638
강구연안1_연안,2008-08-01,129.4205556,36.38055556,60.0,301.093,33.79,9.57,,,8.05,7.78,514.161,3.96806,19.6464,38.5218,,66.055,1.67798,23.5652,41.3505
강구연안1_연안,2008-11-01,129.4205556,36.38055556,60.0,292.666,33.71,14.6,,,8.04,7.87,529.337,10.6396,17.518,263.405,,283.171,0.918896,9.1264,38.6857
강구연안2_연안,2008-02-01,129.3975,36.35,22.0,101.663,33.92,11.08,0.6944,6.6,9.6,7.8,293.378,4.3989,15.6802,87.8232,,93.0375,0.9988,0.8154,18.6518
강구연안2_연안,2008-05-01,129.3975,36.35,25.0,171.955,33.8,14.01,1.08094,2.8,8.57,7.86,127.49,2.96514,7.03996,16.0408,,46.7938,0.759088,27.7879,47.6909
강구연안2_연안,2008-08-01,129.3975,36.35,24.0,129.04,33.74,14.18,,,8.08,7.9,46.7946,0.363375,8.84088,11.1464,,26.8112,1.03875,15.3015,21.5023
강구연안2_연안,2008-11-01,129.3975,36.35,28.0,163.137,33.93,14.43,,,7.39,7.72,232.57,9.50589,8.51344,96.4367,,143.765,1.35837,37.8224,20.859
강구연안H1_항만,2008-02-01,129.3905556,36.35666667,8.0,386.0,33.41,11.0,0.23808,7.0,10.4,8.01,320.0,9.0,28.0,199.0,,258.0,0.68,50.0,57.0
강릉연안1_연안,2008-02-01,128.9616667,37.78166667,16.0,210.466,33.96,9.9,0.764,3.2,8.79865,7.86,307.312,3.58244,20.5785,79.2908,,88.6944,0.546667,5.82118,22.256
강릉연안1_연안,2008-05-01,128.9616667,37.78166667,20.0,286.596,34.16,10.01,8.38,3.2,10.7649,7.74,11.2575,2.8485,1.7783,10.4486,,27.9175,1.57333,14.6204,33.6954
강릉연안1_연안,2008-08-01,128.9616667,37.78166667,19.0,190.661,34.09,17.18,,,7.84178,8.15,111.526,0.39622,5.2343,1.885,,9.39936,1.452,7.11814,18.49
강릉연안1_연안,2008-11-01,128.9616667,37.78166667,20.0,275.036,33.52,14.4,,,7.73878,8.02,245.869,6.563,11.853,86.382,,105.612,1.61333,12.667,22.501
강릉연안2_연안,2008-02-01,128.9555556,37.78,24.0,209.816,33.94,10.06,0.786,8.0,8.75979,7.82,313.998,3.70519,23.4926,87.8658,,94.336,0.266667,2.76504,25.304
강릉연안2_연안,2008-05-01,128.9555556,37.78,31.0,271.785,34.24,9.61,9.2,4.6,10.175,7.79,14.3025,2.7852,2.3721,7.12812,,22.6577,1.29333,12.7444,31.6759
강릉연안2_연안,2008-08-01,128.9555556,37.78,24.0,237.718,34.05,13.55,,,8.0139,8.08,137.782,1.08658,10.8955,3.319,,17.2249,1.308,12.8193,29.173
강릉연안2_연안,2008-11-01,128.9555556,37.78,22.0,191.068,33.43,14.71,,,7.68296,8.05,226.187,6.042,11.931,74.202,,93.711,2.01333,13.467,15.054
강릉연안3_연안,2008-02-01,128.9761111,37.76972222,36.0,270.542,33.98,10.41,0.836,3.6,8.71263,7.82,322.418,4.04275,21.192,93.4436,,102.711,0.666667,5.22486,25.918
강릉연안3_연안,2008-05-01,128.9761111,37.76972222,40.0,400.971,34.21,6.39,3.38,4.4,7.60464,7.46,476.381,9.46335,31.1714,205.131,,228.464,0.78,13.87,46.5467
강릉연안3_연안,2008-08-01,128.9761111,37.76972222,35.0,138.03,34.01,9.6,,,8.74853,7.97,208.03,0.49036,4.04246,2.94,,12.5439,1.332,9.11356,20.677
강릉연안3_연안,2008-11-01,128.9761111,37.76972222,38.0,349.264,33.69,13.4,,,7.07969,7.99,311.343,6.429,21.676,118.622,,140.577,0.733333,15.526,22.769
강릉연안4_연안,2008-02-01,128.9316667,37.80638889,28.0,283.661,33.93,9.89,0.526,6.0,8.66386,7.87,336.534,4.28824,15.8241,102.556,,115.349,0.826667,8.50462,26.118
강릉연안4_연안,2008-05-01,128.9316667,37.80638889,25.0,308.196,34.21,8.67,9.3,2.8,9.22243,7.71,91.1888,5.0007,6.5287,49.5635,,70.873,1.18,16.3088,35.5313
강릉연안4_연안,2008-08-01,128.9316667,37.80638889,26.0,177.053,34.03,14.23,,,7.83922,8.04,98.3977,0.55312,5.2343,2.988,,11.0393,1.044,7.49822,16.0
강릉연안4_연안,2008-11-01,128.9316667,37.80638889,23.0,188.115,33.47,14.7,,,7.83968,8.06,216.965,6.172,10.277,75.968,,92.788,1.49333,10.648,10.947
강릉연안5_연안,2008-02-01,129.0808333,37.66444444,70.0,201.087,33.86,7.48,0.762,5.4,8.72608,7.78,309.789,3.73587,18.4314,83.5554,,93.7088,0.666667,6.4175,22.804
강릉연안5_연안,2008-05-01,129.0808333,37.66444444,66.0,398.091,34.12,2.74,2.02,2.0,7.41381,7.48,556.82,11.1091,35.6249,217.682,,242.755,1.14,13.9638,54.0739
강릉연안5_연안,2008-08-01,129.0808333,37.66444444,74.0,222.306,34.08,5.99,,,7.84112,7.78,338.852,1.65142,25.7935,162.731,,175.491,1.428,11.109,33.29
강릉연안5_연안,2008-11-01,129.0808333,37.66444444,76.0,494.936,34.09,2.9,,,6.82922,7.62,462.092,4.849,21.358,199.729,,216.858,1.57333,12.28,24.638
강릉연안6_연안,2008-02-01,129.0372222,37.71666667,81.0,237.22,34.03,8.45,0.272,2.4,8.14312,7.94,402.158,5.05542,17.5111,126.56,,135.052,0.506667,3.4359,29.732
강릉연안6_연안,2008-05-01,129.0372222,37.71666667,83.0,456.512,34.08,2.07,1.558,3.0,7.3506,7.38,574.583,9.7482,36.3671,229.157,,249.493,0.58,10.587,53.8903
강릉연안6_연안,2008-08-01,129.0372222,37.71666667,80.0,358.392,34.07,3.84,,,7.62016,7.62,390.904,1.62004,30.5609,147.038,,159.007,0.996,10.3488,44.716
강릉연안6_연안,2008-11-01,129.0372222,37.71666667,80.0,434.509,34.1,2.5,,,6.95456,7.66,483.701,1.161,32.47,59.943,,72.277,1.41333,11.173,33.004
강릉연안7_연안,2008-02-01,128.9952778,37.75083333,33.0,173.122,34.02,10.57,0.8,1.4,8.70312,7.95,300.626,3.12213,27.1735,92.14,,96.9836,0.586667,1.72148,29.62
강릉연안7_연안,2008-05-01,128.9952778,37.75083333,37.0,409.199,34.22,6.07,5.9,3.2,8.19048,7.38,300.533,8.07075,19.8892,135.17,,156.36,0.98,13.1196,43.7929
강릉연안7_연안,2008-08-01,128.9952778,37.75083333,42.0,176.561,34.09,10.05,,,8.41165,7.98,165.881,0.64726,5.68124,4.087,,18.2187,1.044,13.4845,9.981
강릉연안7_연안,2008-11-01,128.9952778,37.75083333,35.0,311.642,33.62,13.8,,,7.30362,8.0,280.603,6.394,14.996,103.721,,123.965,1.49333,13.85,23.201
거제도남안1_연안,2008-02-01,128.5580556,34.81333333,8.0,490.0,,6.43,2.42,2.5,10.06,8.48,567.0,1.0,20.0,14.0,,30.0,2.37,15.0,88.0
거제도남안1_연안,2008-05-01,128.5580556,34.81333333,10.0,238.0,34.97,15.94,2.95,7.4,9.76,8.2,142.0,1.0,16.0,10.0,,27.0,1.74,16.0,26.0
거제도남안1_연안,2008-08-01,128.5580556,34.81333333,10.3,201.0,33.72,19.87,,,6.17,7.97,734.0,5.0,17.0,36.0,,55.0,1.68,14.0,69.0
거제도남안1_연안,2008-11-01,128.5580556,34.81333333,8.0,177.66,33.45,17.19,,,7.28,8.07,389.9,10.3,22.6,101.04,,120.687,1.008,9.347,67.5
거제도남안2_연안,2008-02-01,128.52,34.78083333,10.0,370.0,34.96,8.64,5.34,3.0,10.47,8.43,424.0,2.0,13.0,25.0,,44.0,1.47,17.0,73.0
거제도남안2_연안,2008-05-01,128.52,34.78083333,10.5,245.0,34.96,15.93,3.88,6.0,10.62,8.23,115.0,3.0,7.0,9.0,,29.0,2.13,17.0,9.0
거제도남안2_연안,2008-08-01,128.52,34.78083333,11.8,215.0,33.85,19.24,,,6.89,8.01,421.0,10.0,17.0,74.0,,107.0,2.5,23.0,55.0
거제도남안2_연안,2008-11-01,128.52,34.78083333,13.0,306.74,33.59,17.08,,,6.36,8.05,704.6,24.7,65.3,209.988,,255.322,1.184,20.6339,93.2
거제도남안3_연안,2008-02-01,128.5402778,34.72277778,42.0,383.0,35.0,11.23,2.13,4.4,8.8,7.79,284.0,5.0,16.0,98.0,,119.0,1.36,17.0,70.0
거제도남안3_연안,2008-05-01,128.5402778,34.72277778,39.0,242.0,,14.57,0.64,6.8,10.09,8.1,239.0,9.0,24.0,32.0,,56.0,1.84,15.0,48.0
거제도남안3_연안,2008-08-01,128.5402778,34.72277778,40.0,203.0,34.08,16.74,,,8.12,7.86,379.0,11.0,15.0,131.0,,158.0,1.41,16.0,77.0
거제도남안3_연안,2008-11-01,128.5402778,34.72277778,35.0,256.48,33.84,16.67,,,6.18,8.11,620.6,13.9,76.3,224.26,,248.036,0.608,9.87607,82.8
거제도남안4_연안,2008-02-01,128.6427778,34.67388889,80.0,333.0,,11.73,1.13,5.6,8.84,7.98,278.0,5.0,19.0,101.0,,128.0,0.94,22.0,77.0
거제도남안4_연안,2008-05-01,128.6427778,34.67388889,86.0,250.0,34.98,14.52,0.64,7.2,9.64,8.18,252.0,11.0,39.0,38.0,,71.0,1.04,22.0,78.0
거제도남안4_연안,2008-08-01,128.6427778,34.67388889,85.0,175.0,33.99,17.03,,,5.79,7.88,376.0,10.0,15.0,145.0,,167.0,2.19,12.0,54.0
거제도남안4_연안,2008-11-01,128.6427778,34.67388889,75.0,359.24,33.89,16.54,,,6.23,8.11,614.6,16.7,59.8,244.661,,273.882,0.928,12.5214,84.3
거제도동안1_연안,2008-02-01,128.7333333,34.90944444,20.0,243.0,34.04,9.49,1.11,3.6,10.09,8.1,10.0,7.0,24.0,114.0,,121.0,0.71,0.0,28.0
거제도동안1_연안,2008-05-01,128.7333333,34.90944444,19.4,260.0,33.87,14.66,4.17,5.3,8.56,8.11,132.0,0.0,6.0,2.0,,10.0,1.5,8.0,35.0
거제도동안1_연안,2008-08-01,128.7333333,34.90944444,20.0,308.0,35.0,15.28,,,7.83,8.05,403.0,3.0,21.0,72.0,,90.0,0.69,15.0,22.0
거제도동안1_연안,2008-11-01,128.7333333,34.90944444,25.0,272.941,33.0215,17.3894,,,7.0027,7.95,651.707,15.4916,27.8013,126.819,,152.998,1.82264,10.688,44.4798
거제도동안2_연안,2008-02-01,128.6797222,34.79861111,17.7,168.0,34.33,12.09,0.78,4.3,9.81,8.13,6.0,5.0,22.0,73.0,,119.0,0.74,41.0,26.0
거제도동안2_연안,2008-05-01,128.6797222,34.79861111,17.0,242.0,34.38,14.26,1.31,8.1,8.46,8.09,205.0,1.0,10.0,10.0,,18.0,1.26,8.0,25.0
거제도동안2_연안,2008-08-01,128.6797222,34.79861111,17.7,279.0,34.05,15.32,,,6.56,8.07,413.0,5.0,22.0,3.0,,11.0,0.6,3.0,31.0
거제도동안2_연안,2008-11-01,128.6797222,34.79861111,18.0,410.334,33.5901,16.5794,,,6.40813,7.92,576.176,8.34097,14.3789,156.103,,182.698,1.46779,18.2533,47.6242
거제도동안3_연안,2008-02-01,128.7744444,34.76805556,68.0,197.0,34.34,12.14,1.19,5.8,9.48,8.14,7.0,5.0,21.0,69.0,,74.0,0.9,0.0,30.0
거제도동안3_연안,2008-05-01,128.7744444,34.76805556,66.0,243.0,34.37,14.15,0.81,7.1,8.56,8.07,189.0,3.0,9.0,13.0,,36.0,1.42,20.0,39.0
거제도동안3_연안,2008-08-01,128.7744444,34.76805556,68.0,308.0,34.11,14.68,,,6.48,8.06,493.0,2.0,24.0,19.0,,27.0,0.57,6.0,26.0
거제도동안3_연안,2008-11-01,128.7744444,34.76805556,70.0,220.381,34.2848,14.9846,,,5.20248,7.89,726.208,1.7746,28.0883,206.236,,212.254,1.46779,4.24397,46.5144
거제도동안4_연안,2008-02-01,128.7502778,34.87916667,25.0,212.0,34.29,11.67,1.0,5.8,9.58,8.13,8.0,5.0,18.0,73.0,,78.0,0.55,0.0,29.0
거제도동안4_연안,2008-05-01,128.7502778,34.87916667,25.0,421.0,34.39,14.13,1.51,11.0,8.38,8.09,211.0,3.0,20.0,24.0,,46.0,1.09,18.0,34.0
거제도동안4_연안,2008-08-01,128.7502778,34.87916667,25.0,342.0,34.18,14.69,,,6.3,8.06,482.0,3.0,20.0,25.0,,46.0,1.1,18.0,25.0
거제도동안4_연안,2008-11-01,128.7502778,34.87916667,25.0,259.11,34.0204,15.5059,,,5.26854,7.89,720.7,6.56026,34.3053,196.023,,205.749,1.54844,3.16523,45.7746
거제도동안H1_항만,2008-02-01,128.7155556,34.88527778,27.0,305.0,34.0,9.35,1.17,2.5,10.01,8.11,11.0,6.0,28.0,113.0,,125.0,0.69,6.0,35.0
거제도동안H2_항만,2008-02-01,128.7272222,34.86472222,3.0,476.0,33.87,10.45,0.63,5.7,9.55,8.1,11.0,7.0,44.0,118.0,,265.0,1.19,139.0,54.0
거진연안1_연안,2008-02-01,128.5055556,38.40833333,41.0,194.481,33.45,8.63,0.522,6.8,9.12792,7.89,321.428,3.24488,19.0448,99.0095,,104.2,0.346667,1.9451,26.018
거진연안1_연안,2008-05-01,128.5055556,38.40833333,47.0,377.931,34.23,6.41,4.12,1.0,7.96785,7.69,477.396,7.596,25.8272,169.041,,185.348,1.5,8.711,39.3867
거진연안1_연안,2008-08-01,128.5055556,38.40833333,44.0,179.02,34.36,8.86,,,8.41372,7.47,409.56,3.81664,12.8323,34.875,,47.6152,0.708,8.92352,26.554
거진연안1_연안,2008-11-01,128.5055556,38.40833333,48.0,241.915,34.0,5.1,,,7.37504,7.84,452.331,4.8,21.245,206.954,,221.015,1.42667,9.261,25.151
거진연안2_연안,2008-02-01,128.4597222,38.44027778,12.0,223.127,33.18,8.2,0.926,8.4,8.82464,7.83,319.942,2.84595,18.278,95.2052,,99.4745,0.666667,1.42332,29.248
거진연안2_연안,2008-05-01,128.4597222,38.44027778,14.5,231.877,34.11,8.61,2.36,5.4,10.6903,7.94,23.4375,1.7724,0.73915,12.5545,,18.6293,2.22,4.3024,28.3713
거진연안2_연안,2008-08-01,128.4597222,38.44027778,11.0,103.271,34.05,19.7,,,8.35548,7.91,171.87,0.71002,1.95674,9.978,,16.6659,0.984,5.9779,9.607
거진연안2_연안,2008-11-01,128.4597222,38.44027778,13.0,229.187,33.65,13.7,,,8.73732,8.1,258.543,5.027,12.702,85.801,,100.787,1.58667,9.959,16.218
거진연안H1_항만,2008-02-01,128.4597222,38.44638889,6.0,310.285,33.03,5.43,2.3,4.4,7.53463,7.92,324.152,4.19618,19.9651,84.3393,,90.5551,0.8,2.01964,36.241
고성자란만1_연안,2008-02-01,128.3147222,34.9275,11.0,229.0,34.12,4.98,1.72,6.7,11.88,8.47,120.0,1.0,12.0,21.0,,39.0,0.9,17.0,95.0
고성자란만1_연안,2008-05-01,128.3147222,34.9275,6.0,848.0,34.68,17.69,2.05,3.6,9.47,7.96,318.0,1.0,15.0,9.0,,27.0,1.68,17.0,12.0
고성자란만1_연안,2008-08-01,128.3147222,34.9275,5.0,122.0,33.13,24.63,,,8.37,7.85,1010.0,12.0,26.0,7.0,,50.0,1.12,31.0,43.0
고성자란만1_연안,2008-11-01,128.3147222,34.9275,5.0,289.24,33.12,17.21,,,7.09,8.06,810.2,17.4,,134.885,,179.585,0.992,27.3003,118.5
고성자란만2_연안,2008-02-01,128.2233333,34.90944444,11.0,200.0,34.4,5.88,1.73,6.7,10.37,8.35,68.0,1.0,13.0,21.0,,42.0,1.22,20.0,86.0
고성자란만2_연안,2008-05-01,128.2233333,34.90944444,9.5,397.0,34.73,16.61,1.98,3.2,9.03,7.96,359.0,1.0,6.0,7.0,,22.0,1.66,15.0,12.0
고성자란만2_연안,2008-08-01,128.2233333,34.90944444,8.5,197.0,33.4,23.6,,,9.1,8.0,726.0,8.0,33.0,27.0,,57.0,2.69,23.0,66.0
고성자란만2_연안,2008-11-01,128.2233333,34.90944444,8.2,185.1,33.81,18.32,,,7.11,8.15,721.2,30.8,54.0,107.742,,150.887,1.248,12.3451,129.4
고성자란만3_연안,2008-02-01,128.25,34.875,16.0,220.0,34.44,5.77,3.99,3.6,10.57,8.34,84.0,2.0,8.0,18.0,,37.0,0.96,17.0,95.0
고성자란만3_연안,2008-05-01,128.25,34.875,14.0,809.0,34.79,16.26,1.59,3.6,8.65,8.02,353.0,2.0,14.0,10.0,,28.0,1.89,17.0,14.0
고성자란만3_연안,2008-08-01,128.25,34.875,13.0,147.0,33.45,19.74,,,8.39,7.93,597.0,7.0,8.0,12.0,,26.0,2.72,7.0,58.0
고성자란만3_연안,2008-11-01,128.25,34.875,12.7,301.7,33.15,18.48,,,6.87,8.16,711.8,28.0,65.8,177.52,,221.921,0.688,16.4013,112.0
고창연안1_연안,2008-02-01,126.4605556,35.5725,8.0,219.0,30.59,2.83,1.0726,32.8,10.15,8.23,149.0,4.0,53.0,148.0,,161.0,0.65,9.0,62.0
고창연안1_연안,2008-05-01,126.4605556,35.5725,9.0,127.0,31.23,16.6,9.03884,32.8,9.3,7.95,56.0,0.6,24.0,50.0,,62.6,2.75,12.0,47.0
고창연안1_연안,2008-08-01,126.4605556,35.5725,10.9,482.988,31.63,27.12,,,6.00414,7.78,99.9658,0.321363,19.5816,18.426,,19.1846,2.44,0.437211,21.8882
고창연안1_연안,2008-11-01,126.4605556,35.5725,17.0,332.661,32.17,11.56,,,8.32,7.82,135.431,1.28101,7.54141,13.1763,,117.393,0.92,102.936,12.0
고창연안2_연안,2008-02-01,126.3916667,35.5,7.5,267.0,30.69,3.0,1.6934,37.8,9.23,8.32,153.0,2.0,61.0,166.0,,175.0,0.53,7.0,76.0
고창연안2_연안,2008-05-01,126.3916667,35.5,8.5,184.0,31.34,17.3,5.60176,37.8,10.1,8.02,59.0,0.4,28.0,162.0,,173.4,1.71,11.0,43.0
고창연안2_연안,2008-08-01,126.3916667,35.5,10.3,362.274,32.28,27.31,,,6.6501,7.82,53.2505,0.369107,17.8649,20.8393,,22.2115,2.6,1.00307,19.417
고창연안2_연안,2008-11-01,126.3916667,35.5,10.0,239.965,32.53,13.16,,,8.13,7.88,65.5132,0.756958,10.4438,5.53965,,72.1792,1.36,65.8826,12.0
고창연안3_연안,2008-02-01,126.3775,35.38972222,3.0,178.0,30.62,3.15,1.4815,53.6,9.2,8.32,144.0,3.0,61.0,124.0,,140.0,1.05,13.0,72.0
고창연안3_연안,2008-05-01,126.3775,35.38972222,6.0,115.0,31.43,17.74,8.52116,53.6,10.79,8.12,50.0,0.6,23.0,47.0,,57.6,2.03,10.0,73.0
고창연안3_연안,2008-08-01,126.3775,35.38972222,5.0,463.698,32.48,29.01,,,7.07246,7.87,104.009,0.931128,17.0849,17.5991,,21.3369,3.52,2.80665,96.0257
고창연안3_연안,2008-11-01,126.3775,35.38972222,6.0,364.737,32.3,11.69,,,7.87,7.74,382.894,0.669617,16.0074,41.791,,192.355,2.04,149.894,17.8941
고창연안4_연안,2008-02-01,126.3,35.33333333,2.0,207.0,30.67,2.83,2.4932,83.7,9.04,8.34,140.0,3.0,67.0,153.0,,183.0,1.13,27.0,96.0
