station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안3_연안,2014-08-15,126.2,36.94166667,353.8,31.33,21.8,0.52,2.2,7.44,8.14,247.1,11.1,13.7,92.5,4.5,133.0,0.97,29.4,19.4
가로림연안3_연안,2014-11-08,126.2,36.94166667,331.8,32.13,17.43,2.18,3.2,7.79,8.2,118.6,30.3,12.6,32.2,5.0,65.0,0.59,2.5,24.0
가로림연안4_연안,2014-02-23,126.3336111,36.9225,398.6,31.45,4.19,1.57,44.0,11.09,8.04,360.4,1.4,23.5,107.5,1.0,154.7,1.09,45.7,35.2
가로림연안4_연안,2014-05-23,126.3336111,36.9225,454.7,31.14,13.78,1.86,13.4,8.94,8.06,250.8,4.6,14.0,144.2,1.4,164.5,1.12,15.7,24.2
가로림연안4_연안,2014-08-15,126.3336111,36.9225,408.6,31.24,22.3,1.19,12.8,7.07,8.11,394.2,10.5,18.6,99.4,1.3,156.3,1.23,46.4,33.0
가로림연안4_연안,2014-11-08,126.3336111,36.9225,355.0,32.09,15.28,1.77,12.6,7.91,8.18,254.8,25.6,16.0,48.5,1.2,82.6,0.99,8.5,37.8
가로림연안5_연안,2014-02-23,126.3225,36.97083333,421.6,31.45,4.35,1.57,6.3,11.1,8.02,388.4,0.9,25.2,119.5,0.7,127.2,1.17,6.8,41.5
가로림연안5_연안,2014-05-23,126.3225,36.97083333,465.2,31.25,12.35,1.86,18.4,9.48,8.04,222.0,4.4,14.9,163.3,0.8,179.8,0.75,12.1,24.7
가로림연안5_연안,2014-08-15,126.3225,36.97083333,397.4,31.4,21.47,1.8,28.2,7.37,8.12,275.4,10.8,15.1,88.8,1.3,129.9,1.42,30.3,33.8
가로림연안5_연안,2014-11-08,126.3225,36.97083333,334.8,32.18,16.25,1.85,19.0,7.77,8.2,180.0,28.3,14.2,39.1,1.1,71.3,0.96,3.9,31.2
가로림연안6_연안,2014-02-23,126.2608333,37.03305556,460.4,31.31,4.18,0.44,7.1,11.01,7.98,420.0,1.0,26.9,137.6,0.4,221.3,1.01,82.6,31.0
가로림연안6_연안,2014-05-23,126.2608333,37.03305556,498.8,31.31,10.57,3.19,11.6,9.97,8.02,177.6,4.8,15.4,189.4,1.5,202.3,0.57,8.1,24.8
가로림연안6_연안,2014-08-14,126.2608333,37.03305556,489.1,31.07,21.9,1.85,17.1,7.32,8.03,345.7,10.4,17.5,114.5,1.8,170.3,1.3,45.4,38.8
가로림연안6_연안,2014-11-08,126.2608333,37.03305556,339.2,32.02,17.49,1.6,5.8,7.69,8.19,124.6,33.1,13.2,36.5,2.4,69.9,0.69,0.4,27.2
가막만1_환경관리,2014-02-18,127.73417,34.7225,219.5,33.44,6.78,5.32,0.5,9.79,8.23,24.0,1.1,3.4,5.0,2.0,19.5,0.71,13.3,19.1
가막만1_환경관리,2014-05-18,127.73417,34.7225,324.6,33.38,19.11,2.26,14.9,7.17,8.08,277.2,2.1,5.2,16.0,2.5,56.9,0.68,38.7,31.1
가막만1_환경관리,2014-08-27,127.73417,34.7225,495.9,27.74,24.43,1.44,6.8,5.99,8.03,1011.2,39.9,16.0,207.4,2.4,293.6,1.19,46.3,34.7
가막만1_환경관리,2014-11-09,127.73417,34.7225,380.3,31.88,18.21,1.28,16.2,6.83,7.99,684.7,78.3,22.0,116.8,1.0,216.2,1.67,21.1,33.3
가막만2_환경관리,2014-02-25,127.68833,34.68917,86.5,33.89,6.71,1.86,2.2,9.73,8.29,61.5,0.3,2.8,0.0,2.0,2.1,0.65,1.8,7.6
가막만2_환경관리,2014-05-25,127.68833,34.68917,239.0,33.69,20.44,0.7,2.7,7.87,8.15,117.5,3.8,3.6,10.6,5.0,19.0,1.05,4.7,17.1
가막만2_환경관리,2014-08-27,127.68833,34.68917,267.1,30.24,25.31,6.37,3.6,7.87,8.3,347.2,3.0,3.2,6.8,2.4,14.2,0.93,4.4,21.3
가막만2_환경관리,2014-11-08,127.68833,34.68917,336.3,31.84,17.0,3.6,7.4,7.7,8.06,411.5,23.2,11.2,41.2,1.2,82.2,1.49,17.8,27.2
가막만3_환경관리,2014-02-25,127.69028,34.62139,58.7,34.12,8.57,1.85,0.5,8.88,8.27,91.2,1.6,4.9,0.1,4.1,2.7,0.57,1.0,5.5
가막만3_환경관리,2014-05-25,127.69028,34.62139,267.2,33.84,17.85,2.26,17.1,8.03,8.19,208.4,0.1,2.4,11.4,2.7,24.7,0.53,13.2,19.3
가막만3_환경관리,2014-08-27,127.69028,34.62139,280.7,31.46,23.02,3.42,8.8,7.46,8.25,342.8,7.2,4.1,31.6,2.1,48.7,0.7,9.9,22.0
가막만3_환경관리,2014-11-08,127.69028,34.62139,349.8,32.33,18.14,1.73,16.2,7.04,8.05,510.5,52.3,16.2,80.9,0.8,140.2,1.24,6.9,34.8
가막만4_환경관리,2014-02-25,127.66111,34.7325,55.8,33.8,6.89,1.54,0.3,10.03,8.25,87.3,0.9,3.1,0.1,4.5,4.8,0.44,3.8,3.2
가막만4_환경관리,2014-05-25,127.66111,34.7325,275.5,33.65,21.04,1.16,9.6,8.11,8.16,77.3,0.2,2.3,0.8,6.2,4.3,0.95,3.2,20.1
가막만4_환경관리,2014-08-27,127.66111,34.7325,258.9,29.72,26.1,5.51,9.8,8.78,8.34,88.3,0.6,3.1,3.2,3.3,7.4,1.69,3.7,16.7
가막만4_환경관리,2014-11-09,127.66111,34.7325,370.5,31.63,17.02,5.91,6.2,7.94,8.11,363.1,11.0,9.9,30.0,3.0,75.2,1.54,34.2,30.9
가막만5_환경관리,2014-02-25,127.64417,34.6975,70.1,33.86,6.51,0.9,0.4,9.94,8.24,61.4,0.3,2.5,0.0,4.0,1.5,0.73,1.3,5.6
가막만5_환경관리,2014-05-25,127.64417,34.6975,269.6,33.63,20.84,1.39,13.0,8.06,8.15,93.7,0.1,2.5,0.7,5.0,4.3,0.9,3.5,19.4
가막만5_환경관리,2014-08-27,127.64417,34.6975,256.1,30.07,25.69,5.05,5.4,8.4,8.41,117.6,0.6,3.0,2.9,2.7,8.0,2.27,4.5,19.1
가막만5_환경관리,2014-11-09,127.64417,34.6975,296.3,31.72,17.0,2.72,10.2,7.9,8.11,210.5,7.7,6.3,14.0,2.7,36.1,1.9,14.5,22.0
감포연안1_연안,2014-02-17,129.5108333,35.79805556,205.6,34.46,13.22,0.03,1.4,7.05,8.25,277.5,5.3,11.3,59.5,4.0,75.9,1.3,11.1,26.5
감포연안1_연안,2014-05-17,129.5108333,35.79805556,243.4,34.27,16.6,4.99,4.0,9.7,8.22,139.2,0.3,4.1,1.6,2.0,2.0,1.59,0.1,12.9
감포연안1_연안,2014-08-20,129.5108333,35.79805556,331.7,,23.05,2.03,1.8,7.61,8.21,902.2,2.1,6.2,143.3,4.0,151.8,1.26,6.4,16.1
감포연안1_연안,2014-11-10,129.5108333,35.79805556,276.7,33.14,18.63,2.5,0.8,7.98,8.12,234.9,3.7,6.2,32.5,5.0,38.4,0.89,2.2,14.9
감포연안2_연안,2014-02-17,129.5305556,35.81555556,214.6,34.49,13.27,0.2,2.5,7.05,8.24,292.6,5.7,11.2,61.9,3.0,93.7,1.07,26.1,23.4
감포연안2_연안,2014-05-17,129.5305556,35.81555556,246.1,34.15,16.59,4.99,7.3,9.58,8.22,166.0,0.8,4.8,6.6,3.0,8.1,1.18,0.7,12.6
감포연안2_연안,2014-08-20,129.5305556,35.81555556,232.9,31.92,20.21,2.29,0.7,7.82,8.25,708.4,1.1,3.6,74.1,4.0,85.1,1.22,9.9,11.9
감포연안2_연안,2014-11-10,129.5305556,35.81555556,275.7,33.13,18.75,0.89,1.3,7.98,8.13,220.9,3.5,5.5,24.2,6.0,29.4,1.02,1.6,16.5
감포연안3_연안,2014-02-20,129.4883333,35.7075,209.6,34.49,13.84,0.38,1.6,8.64,8.26,263.0,6.0,13.3,59.2,3.0,66.7,0.24,1.5,21.5
감포연안3_연안,2014-05-20,129.4883333,35.7075,253.2,34.27,15.41,4.29,10.4,8.38,8.12,319.7,3.2,8.9,33.8,2.0,37.6,0.94,0.6,14.5
감포연안3_연안,2014-08-19,129.4883333,35.7075,265.4,,21.09,0.96,2.4,8.0,8.24,722.8,1.7,7.0,106.8,4.0,128.5,1.13,20.0,14.1
감포연안3_연안,2014-11-10,129.4883333,35.7075,282.7,33.27,19.64,1.62,1.5,7.64,8.09,273.1,4.0,7.3,46.6,5.0,55.8,0.74,5.2,16.0
감포연안4_연안,2014-02-20,129.5005556,35.74638889,205.9,34.47,13.47,0.38,2.3,8.0,8.25,272.0,5.5,13.7,60.2,3.0,87.2,0.32,21.5,21.5
감포연안4_연안,2014-05-20,129.5005556,35.74638889,277.1,34.17,15.5,4.99,7.3,8.7,8.13,348.3,3.0,8.0,31.4,2.0,36.8,1.6,2.3,15.4
감포연안4_연안,2014-08-19,129.5005556,35.74638889,366.6,28.92,24.14,0.7,2.2,8.06,8.24,1120.9,1.4,5.8,168.0,3.0,174.1,0.75,4.6,15.0
감포연안4_연안,2014-11-10,129.5005556,35.74638889,290.1,33.16,18.24,2.93,1.6,7.69,8.11,260.1,4.9,6.7,39.5,7.0,48.5,1.02,4.1,17.6
감포연안H1_항만,2014-02-17,129.5055556,35.80694444,432.9,34.26,12.74,1.65,2.1,8.82,8.23,361.2,3.7,21.6,112.6,4.0,118.9,1.45,2.6,34.3
감포연안H1_항만,2014-08-19,129.5055556,35.80694444,1272.1,,23.57,0.29,4.9,6.44,8.13,2422.5,9.4,52.4,1104.9,2.0,1173.9,2.15,59.6,62.4
강구연안1_연안,2014-02-22,129.4205556,36.38055556,243.8,34.48,13.07,0.43,2.0,9.76,8.25,242.4,4.9,10.7,58.9,10.0,65.7,0.11,1.9,25.2
강구연안1_연안,2014-05-22,129.4205556,36.38055556,200.1,34.28,15.36,2.47,4.8,9.19,8.21,124.2,0.7,4.5,5.4,6.0,6.3,0.52,0.2,13.5
강구연안1_연안,2014-08-19,129.4205556,36.38055556,909.9,31.04,21.32,18.82,26.0,10.08,8.39,264.5,0.3,2.3,3.2,2.0,199.2,6.32,195.7,104.2
강구연안1_연안,2014-11-10,129.4205556,36.38055556,243.6,33.22,17.57,2.26,1.3,8.35,8.16,75.3,1.7,3.0,10.4,10.0,18.2,0.89,6.1,10.9
강구연안2_연안,2014-02-22,129.3975,36.35,254.1,33.78,12.88,0.22,0.8,7.72,8.25,242.1,5.4,10.6,63.5,10.0,71.2,0.33,2.4,23.9
강구연안2_연안,2014-05-22,129.3975,36.35,237.4,33.61,17.25,1.26,2.9,9.35,8.2,149.5,0.8,3.7,12.5,4.0,14.6,0.67,1.3,10.9
강구연안2_연안,2014-08-19,129.3975,36.35,332.5,,22.51,0.67,3.8,8.65,8.31,572.3,1.9,3.1,94.7,6.0,103.1,1.57,6.5,21.0
강구연안2_연안,2014-11-10,129.3975,36.35,254.5,33.02,17.39,1.14,1.9,8.4,8.17,71.9,1.8,2.7,13.7,8.0,21.0,0.97,5.5,12.7
강구연안H1_항만,2014-02-22,129.3905556,36.35666667,693.4,33.19,12.77,1.56,0.9,9.15,8.2,686.1,7.7,26.6,360.6,3.5,383.7,0.02,15.4,40.9
강구연안H1_항만,2014-08-19,129.3905556,36.35666667,2112.6,2.32,20.31,0.96,9.8,9.56,7.8,3097.2,4.8,33.4,1020.0,1.0,1033.6,4.96,8.8,41.1
강릉연안1_연안,2014-02-25,128.9616667,37.78166667,379.3,33.68,8.63,0.37,1.2,8.49,8.21,316.4,4.5,12.1,85.8,9.0,156.6,0.34,66.2,19.1
강릉연안1_연안,2014-05-25,128.9616667,37.78166667,201.5,34.19,13.31,2.03,3.9,9.57,8.19,46.2,0.5,4.2,2.1,6.0,7.7,1.18,5.0,14.8
강릉연안1_연안,2014-08-14,128.9616667,37.78166667,221.1,33.25,23.68,0.49,1.9,8.0,8.23,100.6,0.6,2.6,17.5,6.0,18.5,1.03,0.4,12.6
강릉연안1_연안,2014-11-06,128.9616667,37.78166667,195.5,33.51,17.26,0.93,1.3,8.06,8.15,172.6,1.5,3.9,18.0,10.0,31.3,0.7,11.7,8.9
강릉연안2_연안,2014-02-25,128.9555556,37.78,289.7,34.05,8.64,0.87,3.6,9.9,8.23,285.9,3.7,8.8,73.5,10.0,92.6,0.16,15.3,14.2
강릉연안2_연안,2014-05-25,128.9555556,37.78,196.6,34.19,13.08,2.0,3.3,9.78,8.21,54.0,0.3,21.2,1.1,5.0,6.2,1.02,4.8,21.4
강릉연안2_연안,2014-08-14,128.9555556,37.78,200.9,33.21,23.88,0.5,1.9,8.24,8.25,6.5,0.0,2.3,1.0,7.0,3.5,1.3,2.5,6.7
강릉연안2_연안,2014-11-06,128.9555556,37.78,181.6,33.5,17.08,1.39,1.1,8.9,8.15,131.2,0.9,3.3,10.1,10.0,13.7,0.84,2.7,8.8
강릉연안3_연안,2014-02-25,128.9761111,37.76972222,419.9,33.74,8.24,0.67,4.3,9.56,8.19,337.8,5.0,13.6,92.6,9.0,192.3,0.4,94.7,18.8
강릉연안3_연안,2014-05-25,128.9761111,37.76972222,201.9,34.27,13.07,0.67,3.6,9.44,8.2,67.9,0.3,18.6,0.9,7.0,5.8,1.36,4.7,18.9
강릉연안3_연안,2014-08-14,128.9761111,37.76972222,205.3,33.2,23.82,0.49,1.8,8.27,8.25,21.0,0.1,2.2,6.1,7.0,6.4,0.77,0.2,8.9
강릉연안3_연안,2014-11-06,128.9761111,37.76972222,278.6,32.84,16.94,0.96,1.3,7.49,8.14,259.5,3.8,8.3,51.8,7.0,100.8,0.85,45.2,15.1
강릉연안4_연안,2014-02-25,128.9316667,37.80638889,292.0,34.19,8.73,1.13,2.0,9.92,8.22,273.7,3.6,8.9,68.5,11.0,73.4,0.19,1.4,15.5
강릉연안4_연안,2014-05-25,128.9316667,37.80638889,198.2,34.17,13.0,1.36,4.6,9.8,8.19,70.2,1.2,2.9,2.8,7.0,7.7,1.18,3.8,14.3
강릉연안4_연안,2014-08-14,128.9316667,37.80638889,177.1,33.27,23.69,0.29,1.7,8.05,8.24,6.3,0.1,1.9,0.9,8.0,1.5,0.86,0.5,5.8
강릉연안4_연안,2014-11-06,128.9316667,37.80638889,184.0,33.53,17.14,0.47,0.2,8.11,8.15,133.7,0.8,3.3,8.9,11.0,11.3,1.02,1.5,8.7
강릉연안5_연안,2014-02-25,129.0808333,37.66444444,280.0,34.17,8.87,0.64,3.2,9.6,8.21,287.4,3.8,9.6,73.9,12.0,80.2,0.89,2.5,15.7
강릉연안5_연안,2014-05-25,129.0808333,37.66444444,200.1,34.21,12.98,1.12,5.5,9.84,8.2,83.5,0.1,16.4,1.9,6.0,6.0,1.31,4.0,16.9
강릉연안5_연안,2014-08-14,129.0808333,37.66444444,201.9,33.35,23.32,0.72,1.5,8.33,8.24,2.5,0.2,1.8,0.7,8.0,2.3,0.93,1.4,7.3
강릉연안5_연안,2014-11-06,129.0808333,37.66444444,180.8,33.43,17.74,0.29,3.7,8.13,8.14,109.9,1.2,3.1,8.9,9.0,14.0,0.77,3.9,7.4
강릉연안6_연안,2014-02-25,129.0372222,37.71666667,291.4,34.23,9.21,0.87,1.3,8.3,8.22,261.1,3.7,8.5,63.4,12.0,68.6,0.36,1.4,15.5
강릉연안6_연안,2014-05-25,129.0372222,37.71666667,204.9,34.25,13.96,0.65,4.5,9.08,8.18,69.4,0.1,16.1,0.8,8.0,5.9,1.02,5.0,16.3
강릉연안6_연안,2014-08-14,129.0372222,37.71666667,201.9,33.14,23.75,0.93,1.9,8.71,8.25,5.4,0.2,2.0,0.7,7.0,1.3,1.22,0.4,7.8
강릉연안6_연안,2014-11-06,129.0372222,37.71666667,177.8,33.42,17.53,2.96,1.0,8.62,8.17,69.5,0.4,2.6,2.9,8.0,4.2,1.12,0.9,8.9
강릉연안7_연안,2014-02-25,128.9952778,37.75083333,299.7,34.18,8.95,0.69,2.2,8.95,8.21,280.2,3.6,9.9,71.6,13.0,76.0,0.05,0.8,16.5
강릉연안7_연안,2014-05-25,128.9952778,37.75083333,259.2,34.1,13.13,2.9,3.4,9.63,8.21,76.1,0.2,15.2,1.7,6.0,6.3,0.83,4.5,20.8
강릉연안7_연안,2014-08-14,128.9952778,37.75083333,208.0,33.07,23.87,0.73,1.8,8.36,8.26,2.1,0.2,2.0,0.5,7.0,0.9,0.83,0.3,8.8
강릉연안7_연안,2014-11-06,128.9952778,37.75083333,176.6,33.39,17.63,2.53,0.4,8.62,8.17,53.1,0.2,2.7,1.8,9.0,2.3,0.94,0.3,8.1
거제도남안1_연안,2014-02-24,128.5580556,34.81333333,214.9,34.25,8.59,4.79,4.5,11.04,8.42,400.1,0.3,6.0,0.5,2.8,4.2,1.28,3.5,25.2
거제도남안1_연안,2014-05-24,128.5580556,34.81333333,221.2,33.73,18.26,4.99,14.6,7.96,8.2,117.3,1.3,6.4,6.3,4.8,12.9,0.97,5.3,26.8
거제도남안1_연안,2014-08-23,128.5580556,34.81333333,465.8,29.52,24.2,5.78,4.8,,8.61,890.9,7.0,5.2,113.0,1.4,127.6,2.79,7.6,28.1
거제도남안1_연안,2014-11-07,128.5580556,34.81333333,261.7,32.25,18.66,4.06,2.8,8.33,8.18,752.8,15.9,15.8,51.4,4.5,70.7,1.17,3.4,26.0
거제도남안2_연안,2014-02-24,128.52,34.78083333,199.4,34.34,9.83,6.93,4.4,10.39,8.34,308.6,1.3,6.9,3.5,3.0,8.4,0.75,3.7,23.0
거제도남안2_연안,2014-05-24,128.52,34.78083333,222.6,33.88,17.71,4.52,13.4,7.94,8.21,163.7,1.3,7.3,2.9,3.6,10.4,1.22,6.3,27.2
거제도남안2_연안,2014-08-23,128.52,34.78083333,336.4,29.68,24.28,8.27,3.6,13.74,8.48,135.6,2.3,6.3,9.8,2.9,19.0,3.02,6.9,25.1
거제도남안2_연안,2014-11-07,128.52,34.78083333,337.8,33.2,18.55,1.29,3.6,9.22,8.15,646.1,22.1,24.3,112.6,4.9,162.3,1.26,27.5,31.2
거제도남안3_연안,2014-02-24,128.5402778,34.72277778,225.5,34.36,11.14,1.33,3.4,8.84,8.21,246.4,5.8,11.9,50.8,7.0,60.6,0.78,4.0,20.3
거제도남안3_연안,2014-05-24,128.5402778,34.72277778,215.6,34.13,15.99,5.45,6.7,8.57,8.24,157.3,1.4,6.5,1.5,5.0,6.3,0.72,3.5,25.2
거제도남안3_연안,2014-08-23,128.5402778,34.72277778,256.7,31.69,23.54,2.06,5.4,10.26,8.28,117.5,0.7,4.4,4.0,2.8,9.5,1.93,4.8,19.6
거제도남안3_연안,2014-11-07,128.5402778,34.72277778,288.4,32.86,19.04,4.01,8.2,7.63,8.15,487.0,14.0,16.4,110.2,4.5,124.7,1.24,0.5,25.8
거제도남안4_연안,2014-02-24,128.6427778,34.67388889,232.0,34.37,11.42,0.69,3.9,8.62,8.15,243.1,7.0,12.3,58.0,10.5,69.7,0.31,4.7,20.3
거제도남안4_연안,2014-05-24,128.6427778,34.67388889,231.7,34.2,15.35,4.11,1.8,8.28,8.22,219.0,3.7,7.3,14.3,6.0,22.3,0.69,4.3,25.9
거제도남안4_연안,2014-08-23,128.6427778,34.67388889,211.3,32.65,22.79,2.7,3.2,8.95,8.27,182.2,0.8,4.6,4.8,4.9,8.5,0.98,2.9,13.0
거제도남안4_연안,2014-11-07,128.6427778,34.67388889,298.9,32.33,18.71,1.34,22.6,7.95,8.14,498.6,11.4,17.1,113.8,4.7,125.4,0.89,0.2,25.0
거제도동안1_연안,2014-02-23,128.7333333,34.90944444,223.4,34.27,11.49,0.93,4.0,8.78,8.23,237.3,5.2,11.1,54.0,4.0,61.9,1.32,2.7,20.0
거제도동안1_연안,2014-05-23,128.7333333,34.90944444,204.3,33.42,18.52,1.62,10.5,9.15,8.33,131.6,0.7,5.3,1.1,6.4,4.1,1.58,2.3,20.3
거제도동안1_연안,2014-08-23,128.7333333,34.90944444,1580.2,,24.35,2.76,8.2,9.07,8.15,2633.6,41.2,22.1,,0.9,1571.0,2.74,27.9,55.6
거제도동안1_연안,2014-11-15,128.7333333,34.90944444,212.2,32.79,16.03,5.86,7.4,8.38,8.07,236.1,8.7,4.5,42.3,6.3,54.6,1.29,3.6,22.4
거제도동안2_연안,2014-02-23,128.6797222,34.79861111,456.8,34.42,12.03,0.7,2.1,8.23,8.22,332.7,9.5,33.1,82.9,8.5,247.0,1.22,154.6,45.7
거제도동안2_연안,2014-05-23,128.6797222,34.79861111,202.6,34.15,15.62,2.95,8.5,8.81,8.25,210.8,1.3,6.4,2.2,4.8,6.8,0.97,3.3,22.5
거제도동안2_연안,2014-08-23,128.6797222,34.79861111,319.6,30.39,23.56,2.7,3.2,9.32,8.23,585.4,9.2,5.0,98.2,3.4,118.8,1.67,11.4,19.1
거제도동안2_연안,2014-11-15,128.6797222,34.79861111,217.3,33.16,16.86,0.79,5.8,6.7,8.0,314.2,5.8,6.0,36.1,3.0,44.3,0.96,2.4,18.0
거제도동안3_연안,2014-02-23,128.7744444,34.76805556,200.4,34.46,12.97,1.13,2.6,7.44,8.22,219.8,5.3,9.9,47.8,8.0,60.5,0.45,7.3,20.8
거제도동안3_연안,2014-05-23,128.7744444,34.76805556,196.9,34.19,15.26,2.72,2.4,8.54,8.25,209.0,3.0,6.9,8.2,3.5,15.4,0.85,4.2,20.7
거제도동안3_연안,2014-08-23,128.7744444,34.76805556,798.5,28.78,23.35,2.09,3.4,8.21,8.17,1635.4,31.2,10.0,,4.0,729.5,1.46,17.9,28.5
거제도동안3_연안,2014-11-07,128.7744444,34.76805556,212.6,33.38,18.13,2.93,3.5,6.36,8.05,362.1,10.3,6.4,39.1,2.2,51.2,0.78,1.8,16.1
거제도동안4_연안,2014-02-23,128.7502778,34.87916667,220.3,34.42,12.74,0.46,2.1,8.58,8.22,222.5,5.4,11.1,50.7,6.0,66.9,0.34,10.8,20.2
거제도동안4_연안,2014-05-23,128.7502778,34.87916667,218.0,33.45,17.93,1.16,7.2,8.97,8.3,157.9,0.8,5.8,1.2,6.2,6.0,1.18,3.9,22.5
거제도동안4_연안,2014-08-23,128.7502778,34.87916667,1399.4,,23.44,0.96,8.2,8.6,8.12,2552.0,37.0,22.1,,1.1,1382.4,1.67,33.5,43.9
거제도동안4_연안,2014-11-07,128.7502778,34.87916667,264.7,33.38,17.92,4.12,5.8,6.05,8.04,301.8,11.7,6.0,45.5,2.8,62.1,1.16,4.9,20.5
거제도동안H1_항만,2014-02-23,128.7155556,34.88527778,305.9,34.09,10.04,1.13,5.3,8.86,8.19,299.0,6.6,18.5,76.0,2.0,110.2,0.19,27.5,29.5
거제도동안H1_항만,2014-08-23,128.7155556,34.88527778,940.8,,23.93,2.26,4.2,8.14,8.14,1740.8,31.9,13.6,,1.9,862.1,1.35,28.2,42.1
거제도동안H2_항만,2014-02-23,128.7272222,34.86472222,215.7,34.12,11.54,0.49,5.4,7.82,8.15,242.2,5.1,11.6,51.5,2.0,72.4,1.32,15.9,21.5
거제도동안H2_항만,2014-08-23,128.7272222,34.86472222,1108.5,,24.27,2.03,3.4,8.54,8.18,1972.4,39.0,17.4,,1.7,1069.4,1.9,41.6,44.9
거진연안1_연안,2014-02-26,128.5055556,38.40833333,185.8,34.04,6.76,0.87,2.3,9.74,8.17,211.8,2.6,12.6,55.8,12.0,58.9,0.36,0.5,13.3
거진연안1_연안,2014-05-26,128.5055556,38.40833333,191.1,34.2,13.44,0.87,3.8,9.23,8.19,76.5,0.3,4.2,1.4,7.0,17.7,0.39,16.0,16.4
거진연안1_연안,2014-08-13,128.5055556,38.40833333,170.1,32.32,22.2,0.98,0.9,7.94,8.19,103.9,0.0,1.6,9.7,7.0,9.8,1.63,0.1,8.2
거진연안1_연안,2014-11-05,128.5055556,38.40833333,121.5,33.53,17.4,0.47,0.9,7.98,8.16,120.0,0.4,2.5,4.4,12.0,6.4,0.8,1.5,8.7
거진연안2_연안,2014-02-26,128.4597222,38.44027778,183.2,33.37,4.69,0.44,3.7,10.97,8.19,132.8,1.2,6.5,29.5,10.0,31.9,0.32,1.2,13.9
거진연안2_연안,2014-05-26,128.4597222,38.44027778,233.5,34.11,12.44,0.9,4.2,9.46,8.18,63.4,0.3,4.2,1.6,7.0,33.7,0.47,31.8,15.8
거진연안2_연안,2014-08-13,128.4597222,38.44027778,170.5,33.22,23.39,0.58,0.5,8.15,8.25,24.7,0.3,1.5,0.7,10.0,1.2,1.29,0.3,8.4
거진연안2_연안,2014-11-05,128.4597222,38.44027778,129.5,33.46,17.33,0.26,1.8,8.03,8.16,109.4,0.3,2.2,3.7,13.0,5.2,0.7,1.2,7.5
거진연안H1_항만,2014-02-26,128.4597222,38.44638889,203.9,32.99,4.93,0.57,1.2,10.58,8.22,115.6,1.4,2.7,31.4,6.0,35.0,1.2,2.1,8.0
거진연안H1_항만,2014-08-13,128.4597222,38.44638889,189.7,32.53,23.81,17.64,2.2,9.23,8.31,13.9,0.0,2.0,0.6,4.0,0.8,2.66,0.2,19.3
고성자란만1_연안,2014-02-15,128.3147222,34.9275,115.1,33.82,6.12,0.46,24.7,7.44,8.13,156.8,0.9,8.7,1.9,4.5,6.2,0.36,3.4,17.3
고성자란만1_연안,2014-05-15,128.3147222,34.9275,188.5,33.44,20.68,1.57,9.8,7.37,8.14,300.0,0.1,2.4,1.1,2.5,4.6,1.41,3.3,17.4
