station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L]
가막만3_환경관리,2009-02-01,127.69028,34.62139,764.4,33.67,8.86,1.47,19.6,8.07,7.96,258.0,4.0,17.0,79.0,2.2,94.0,0.59,11.0,,20.0
가막만3_환경관리,2009-05-01,127.69028,34.62139,480.0,33.76,16.48,3.48,16.4,8.42,8.08,297.0,5.0,15.0,66.0,2.3,83.0,0.77,12.0,,23.0
가막만3_환경관리,2009-08-01,127.69028,34.62139,379.0,30.56,23.69,3.5,10.4,8.97,8.18,392.0,0.0,3.0,19.0,3.8,31.0,1.18,12.0,,29.0
가막만3_환경관리,2009-11-01,127.69028,34.62139,249.0,31.94,16.98,1.64,20.4,7.88,8.01,565.0,29.0,19.0,71.0,1.2,121.0,0.69,21.0,,51.0
가막만4_환경관리,2009-02-01,127.66111,34.7325,676.2,33.38,7.26,1.16,165.6,8.59,7.97,225.0,2.0,13.0,22.0,7.2,34.0,0.53,10.0,,21.0
가막만4_환경관리,2009-05-01,127.66111,34.7325,613.0,33.67,19.81,3.4,80.8,7.29,8.01,620.0,4.0,10.0,100.0,3.9,120.0,0.72,16.0,,28.0
가막만4_환경관리,2009-08-01,127.66111,34.7325,346.0,30.9,23.25,1.59,7.6,8.38,8.12,423.0,7.0,4.0,66.0,3.3,102.0,0.7,29.0,,30.0
가막만4_환경관리,2009-11-01,127.66111,34.7325,96.0,31.54,16.8,3.15,94.0,7.96,8.01,241.0,2.0,17.0,35.0,3.5,55.0,1.23,18.0,,27.0
가막만5_환경관리,2009-02-01,127.64417,34.6975,612.0,33.49,7.15,4.3,28.4,8.84,8.0,86.0,1.0,7.0,22.0,1.2,40.0,0.78,17.0,,33.0
가막만5_환경관리,2009-05-01,127.64417,34.6975,393.0,33.74,20.01,2.15,82.0,8.0,8.05,406.0,2.0,4.0,55.0,2.5,69.0,0.37,12.0,,22.0
가막만5_환경관리,2009-08-01,127.64417,34.6975,274.0,30.69,25.31,2.18,7.2,8.84,8.2,64.0,1.0,1.0,34.0,8.0,45.0,0.78,10.0,,23.0
가막만5_환경관리,2009-11-01,127.64417,34.6975,303.0,31.56,16.89,2.39,14.8,7.84,8.02,220.0,1.0,12.0,24.0,4.0,39.0,1.07,14.0,,44.0
감포연안1_연안,2009-02-01,129.5108333,35.79805556,131.863,34.29,12.68,1.816,1.8,8.18936,8.22,203.76,4.462,11.492,72.281,3.5,80.838,0.725333,4.095,,37.853
감포연안1_연안,2009-05-01,129.5108333,35.79805556,241.161,34.01,14.73,1.238,4.2,9.44205,8.18,227.065,1.493,6.362,21.266,4.0,30.659,0.490667,7.9,,22.281
감포연안1_연안,2009-08-01,129.5108333,35.79805556,204.642,31.22,24.6,2.46,2.6,7.36455,8.3,54.954,0.45,39.1712,6.59854,5.0,7.64862,1.12533,0.60008,,42.6656
감포연안1_연안,2009-11-01,129.5108333,35.79805556,169.0,32.62,16.23,1.018,4.0,7.62207,8.1,267.0,13.0,12.0,71.0,6.0,109.0,0.416,25.0,,37.0
감포연안2_연안,2009-02-01,129.5305556,35.81555556,241.213,34.29,12.95,1.84,2.6,8.17261,8.22,202.51,4.773,11.275,81.692,4.5,89.376,0.821333,2.911,,32.024
감포연안2_연안,2009-05-01,129.5305556,35.81555556,420.256,33.89,15.38,2.58,5.8,9.19954,8.25,35.358,0.314,4.189,27.583,4.0,36.089,0.474667,8.192,,18.592
감포연안2_연안,2009-08-01,129.5305556,35.81555556,197.655,31.22,24.5,1.7,5.6,7.48542,8.28,55.956,0.258,37.4972,8.39466,6.0,42.2187,0.949333,33.566,,41.8792
감포연안2_연안,2009-11-01,129.5305556,35.81555556,174.0,32.5,16.51,1.028,5.0,7.62207,8.1,266.0,10.0,10.0,58.0,6.0,87.0,0.368,19.0,,33.0
감포연안3_연안,2009-02-01,129.4883333,35.7075,181.12,34.23,12.52,1.326,3.0,8.01447,8.19,260.011,4.645,15.888,99.44,2.0,108.875,0.325333,4.79,,27.859
감포연안3_연안,2009-05-01,129.4883333,35.7075,118.274,34.06,15.4,1.264,3.0,9.91207,8.19,199.948,1.331,7.391,21.284,4.0,42.112,0.441867,19.497,,22.046
감포연안3_연안,2009-08-01,129.4883333,35.7075,239.855,31.31,25.03,3.4,4.0,7.27861,8.26,71.42,0.369,35.2145,15.8149,6.0,34.9349,0.949333,18.751,,50.5296
감포연안3_연안,2009-11-01,129.4883333,35.7075,208.0,33.0,16.38,0.622,5.6,7.5264,8.08,303.0,10.0,13.0,73.0,3.0,105.0,0.464,22.0,,17.0
감포연안4_연안,2009-02-01,129.5005556,35.74638889,148.13,34.23,12.63,1.416,3.6,8.13664,8.2,238.068,4.985,14.288,87.027,2.5,94.694,0.917333,2.682,,34.557
감포연안4_연안,2009-05-01,129.5005556,35.74638889,425.74,33.93,15.74,3.66,2.2,9.37783,8.2,127.808,0.302,6.865,11.695,4.0,18.606,0.682667,6.609,,39.017
감포연안4_연안,2009-08-01,129.5005556,35.74638889,202.256,31.23,24.52,2.62,4.6,7.52301,8.28,67.042,0.238,15.8876,3.92794,6.0,5.17594,0.725333,1.01,,44.6316
감포연안4_연안,2009-11-01,129.5005556,35.74638889,188.0,33.03,16.57,0.81,4.6,7.97288,8.1,291.0,7.0,9.0,50.0,3.5,70.0,0.4,13.0,,33.0
감포연안H1_항만,2009-02-01,129.5055556,35.80694444,294.383,33.93,11.65,0.752,6.0,8.20555,8.13,353.591,8.106,15.202,157.357,3.5,186.098,0.789333,20.635,,48.45
감포연안H1_항만,2009-05-01,129.5055556,35.80694444,294.383,33.93,11.65,0.752,6.0,8.20555,8.13,353.591,8.106,15.202,157.357,3.5,186.098,1.97333,20.635,,48.45
감포연안H1_항만,2009-08-01,129.5055556,35.80694444,267.354,31.27,24.9,9.22,8.6,7.32707,8.23,103.307,2.694,14.2136,16.6146,3.0,143.537,1.44,124.228,,33.4254
강구연안1_연안,2009-02-01,129.4205556,36.38055556,217.232,34.27,10.13,1.326,5.0,8.46727,8.2,436.782,4.731,12.242,133.332,9.0,149.922,0.906667,11.859,,22.781
강구연안1_연안,2009-05-01,129.4205556,36.38055556,90.99,34.02,16.23,1.294,3.0,9.52186,8.23,21.968,0.632,13.24,6.859,7.5,10.125,0.464,2.634,,49.327
강구연안1_연안,2009-08-01,129.4205556,36.38055556,314.6,31.21,25.27,1.646,6.4,8.07882,8.28,51.371,0.891,13.6049,4.03608,7.0,16.4341,1.14133,11.507,,30.2798
강구연안1_연안,2009-11-01,129.4205556,36.38055556,240.0,33.59,18.11,1.086,2.4,7.9091,8.14,177.0,7.0,3.0,40.0,8.0,59.0,0.293333,12.0,,10.0
강구연안2_연안,2009-02-01,129.3975,36.35,335.738,34.28,9.93,1.128,2.4,8.29898,8.18,404.127,4.819,16.514,134.236,10.0,145.857,0.938667,6.802,,17.787
강구연안2_연안,2009-05-01,129.3975,36.35,143.114,34.01,16.06,2.48,4.8,8.72035,8.25,16.046,0.39,0.4,4.95,5.0,6.377,0.512,1.037,,26.936
강구연안2_연안,2009-08-01,129.3975,36.35,276.095,29.98,26.59,3.96,4.8,8.50582,8.31,202.418,0.966,14.0615,128.908,5.0,132.483,1.47733,2.609,,30.8696
강구연안2_연안,2009-11-01,129.3975,36.35,430.0,33.26,17.0,0.966,3.6,8.06856,8.12,237.0,10.0,6.0,61.0,5.5,88.0,0.309333,17.0,,14.0
강구연안H1_항만,2009-02-01,129.3905556,36.35666667,299.107,33.73,8.91,0.84,5.4,8.50742,8.16,382.42,14.247,21.343,160.561,5.0,261.724,0.837333,86.916,,48.202
강구연안H1_항만,2009-05-01,129.3905556,36.35666667,299.107,33.73,8.91,0.84,5.4,8.50742,8.16,382.42,14.247,21.343,160.561,5.0,261.724,2.09333,86.916,,48.202
강구연안H1_항만,2009-08-01,129.3905556,36.35666667,1634.86,14.51,24.5,0.806,10.8,7.33415,7.79,2814.18,17.193,48.9107,1113.38,1.5,1198.79,2.448,68.219,,56.6242
강릉연안1_연안,2009-02-01,128.9616667,37.78166667,222.773,34.22,9.89,2.88,4.8,8.26943,8.22,558.487,8.228,40.368,148.986,8.0,161.369,1.03467,4.155,,46.7979
강릉연안1_연안,2009-05-01,128.9616667,37.78166667,196.99,33.83,12.44,2.26,9.8,8.49775,8.12,186.352,0.731,3.113,9.112,4.5,13.131,0.821333,3.288,,27.208
강릉연안1_연안,2009-08-01,128.9616667,37.78166667,219.188,32.6,22.96,0.702,2.6,7.22349,8.13,108.633,2.076,1.12616,13.7474,11.0,22.7304,0.741333,6.907,,47.1874
강릉연안1_연안,2009-11-01,128.9616667,37.78166667,212.0,33.15,15.0,0.732,2.2,7.7337,8.1,284.0,7.0,12.0,80.0,8.5,134.0,0.522667,47.0,,16.0
강릉연안2_연안,2009-02-01,128.9555556,37.78,160.377,34.26,10.09,0.906,6.0,8.49841,8.27,376.577,5.376,15.508,99.508,12.0,107.955,0.698667,3.071,,23.142
강릉연안2_연안,2009-05-01,128.9555556,37.78,178.56,33.99,12.23,1.896,7.8,8.56329,8.11,75.562,0.835,6.403,9.495,5.5,15.872,0.597333,5.542,,23.729
강릉연안2_연안,2009-08-01,128.9555556,37.78,272.045,32.78,22.54,0.42,4.0,7.19303,8.13,90.098,1.201,3.56104,3.005,11.0,4.807,0.773333,0.601,,27.5274
강릉연안2_연안,2009-11-01,128.9555556,37.78,191.0,33.45,15.28,0.808,2.4,7.55829,8.1,279.0,8.0,11.0,81.0,9.5,114.0,0.714667,25.0,,34.0
강릉연안3_연안,2009-02-01,128.9761111,37.76972222,177.654,34.18,9.85,1.072,0.8,8.39616,8.27,352.172,4.777,11.831,102.579,12.0,109.508,0.588,2.152,,14.822
강릉연안3_연안,2009-05-01,128.9761111,37.76972222,313.994,34.02,12.39,2.32,8.4,8.92919,8.12,219.121,1.318,8.692,0.005,6.0,4.234,0.588533,2.911,,26.804
강릉연안3_연안,2009-08-01,128.9761111,37.76972222,167.666,32.45,23.17,0.458,2.6,7.19063,8.13,86.396,1.411,3.71322,9.12448,11.0,28.7965,0.773333,18.261,,31.2628
강릉연안3_연안,2009-11-01,128.9761111,37.76972222,201.0,33.24,15.01,0.978,2.4,7.9091,8.1,294.0,8.0,25.0,89.0,10.0,143.0,0.490667,46.0,,33.0
강릉연안4_연안,2009-02-01,128.9316667,37.80638889,255.343,34.25,10.23,0.744,3.0,8.66547,8.28,355.289,5.626,17.544,88.3,12.0,97.901,0.586667,3.975,,32.681
강릉연안4_연안,2009-05-01,128.9316667,37.80638889,79.72,33.83,12.15,1.932,7.0,9.18532,8.11,192.433,0.744,5.715,14.848,4.5,23.995,0.390773,8.403,,21.33
강릉연안4_연안,2009-08-01,128.9316667,37.80638889,304.701,32.34,22.99,0.726,2.8,7.3644,8.14,92.752,1.234,3.1045,5.33554,13.0,34.5325,0.677333,27.963,,14.5518
강릉연안4_연안,2009-11-01,128.9316667,37.80638889,189.0,33.45,14.92,0.908,1.8,7.86126,8.1,298.0,5.0,8.0,60.0,9.0,88.0,0.266667,23.0,,30.0
강릉연안5_연안,2009-02-01,129.0808333,37.66444444,129.769,34.33,12.09,1.216,1.8,8.34649,8.29,333.558,5.268,17.012,74.007,11.0,81.25,0.714667,1.975,,44.693
강릉연안5_연안,2009-05-01,129.0808333,37.66444444,365.162,34.06,14.76,0.1506,6.8,9.2897,8.16,186.619,0.466,5.84,48.197,8.5,57.605,0.421333,8.942,,22.479
강릉연안5_연안,2009-08-01,129.0808333,37.66444444,197.726,32.38,22.48,1.314,4.4,7.4295,8.14,80.728,1.129,1.12616,6.56222,11.0,12.1092,0.821333,4.418,,15.5348
강릉연안5_연안,2009-11-01,129.0808333,37.66444444,183.0,33.32,16.45,1.46,3.8,7.78153,8.1,232.0,4.0,6.0,41.0,8.0,59.0,0.538667,14.0,,32.0
강릉연안6_연안,2009-02-01,129.0372222,37.71666667,147.325,34.32,11.83,0.818,2.4,8.13161,8.28,344.503,5.247,15.23,105.338,10.0,116.488,0.794667,5.903,,16.867
강릉연안6_연안,2009-05-01,129.0372222,37.71666667,43.809,33.95,14.3,1.112,5.6,9.25139,8.15,191.837,0.338,7.99,3.527,7.5,12.927,0.517333,9.062,,14.056
강릉연안6_연안,2009-08-01,129.0372222,37.71666667,238.067,32.5,22.53,0.328,4.8,7.5247,8.14,58.432,1.234,2.95232,7.65902,12.0,13.024,0.661333,4.131,,13.7654
강릉연안6_연안,2009-11-01,129.0372222,37.71666667,205.0,33.35,15.98,1.384,3.0,7.66991,8.1,255.0,6.0,10.0,72.0,7.5,95.0,0.426667,17.0,,36.0
강릉연안7_연안,2009-02-01,128.9952778,37.75083333,153.761,34.28,10.63,0.666,2.6,8.20555,8.26,251.5,5.958,13.207,116.114,14.0,128.164,0.858667,6.092,,25.935
강릉연안7_연안,2009-05-01,128.9952778,37.75083333,183.847,33.84,12.85,1.654,7.2,9.1375,8.13,221.205,1.44,4.38,3.139,7.5,6.274,0.456693,1.695,,20.889
강릉연안7_연안,2009-08-01,128.9952778,37.75083333,289.691,32.4,22.55,0.374,5.4,7.38114,8.15,75.453,1.265,0.51744,5.5449,12.0,7.8199,0.725333,1.01,,28.3138
강릉연안7_연안,2009-11-01,128.9952778,37.75083333,191.0,33.35,14.97,0.73,4.4,7.82937,8.09,267.0,6.0,10.0,77.0,10.0,108.0,0.554667,25.0,,29.0
거제도남안1_연안,2009-02-01,128.5580556,34.81333333,399.6,34.04,10.76,0.3952,7.2,11.68,7.9,422.0,0.0,9.0,17.0,5.0,25.0,0.56,8.0,,30.0
거제도남안1_연안,2009-05-01,128.5580556,34.81333333,586.0,33.65,19.3,1.446,1.4,8.12,8.05,138.0,1.0,3.0,19.0,5.0,39.0,0.3,19.0,,25.0
거제도남안1_연안,2009-08-01,128.5580556,34.81333333,547.0,30.99,24.06,1.72,22.8,6.25,8.03,626.0,9.0,1.0,16.0,6.0,36.0,0.66,11.0,,31.0
거제도남안1_연안,2009-11-01,128.5580556,34.81333333,241.0,33.02,17.08,1.79,10.2,7.3,7.86,517.0,5.0,4.0,28.0,5.5,43.0,0.48,10.0,,39.0
거제도남안2_연안,2009-02-01,128.52,34.78083333,417.0,34.02,11.49,1.175,3.0,10.58,8.14,405.0,3.0,14.0,41.0,5.3,52.0,0.18,8.0,,24.0
거제도남안2_연안,2009-05-01,128.52,34.78083333,403.0,33.92,17.39,0.9649,1.6,6.87,8.1,87.0,6.0,2.0,27.0,4.0,58.0,0.51,25.0,,24.0
거제도남안2_연안,2009-08-01,128.52,34.78083333,387.0,30.96,23.88,0.37,7.4,5.7,8.07,572.0,9.0,15.0,27.0,2.0,94.0,0.77,58.0,,33.0
거제도남안2_연안,2009-11-01,128.52,34.78083333,268.0,33.22,16.82,1.3,7.6,6.44,7.94,613.0,8.0,4.0,129.0,4.0,146.0,0.46,9.0,,42.0
거제도남안3_연안,2009-02-01,128.5402778,34.72277778,386.4,34.18,12.61,0.2141,14.6,9.5,8.01,367.0,8.0,12.0,118.0,8.0,130.0,0.3,4.0,,26.0
거제도남안3_연안,2009-05-01,128.5402778,34.72277778,345.0,33.96,15.41,1.1293,1.0,8.51,8.13,137.0,5.0,3.0,19.0,7.0,41.0,0.45,17.0,,20.0
거제도남안3_연안,2009-08-01,128.5402778,34.72277778,330.0,30.94,23.99,4.57,5.2,6.56,8.2,358.0,5.0,3.0,17.0,4.5,34.0,0.8,12.0,,27.0
거제도남안3_연안,2009-11-01,128.5402778,34.72277778,306.0,33.22,16.56,1.22,4.4,6.8,7.98,586.0,13.0,8.0,93.0,4.5,116.0,0.4,10.0,,37.0
거제도남안4_연안,2009-02-01,128.6427778,34.67388889,481.2,34.19,12.66,0.1267,4.2,9.82,7.86,373.0,7.0,18.0,128.0,7.0,153.0,0.27,18.0,,24.0
거제도남안4_연안,2009-05-01,128.6427778,34.67388889,359.0,33.97,14.39,0.7786,3.2,8.4,8.1,179.0,2.0,4.0,47.0,5.0,65.0,0.9,16.0,,22.0
거제도남안4_연안,2009-08-01,128.6427778,34.67388889,238.0,30.94,24.0,1.87,11.2,6.64,8.21,335.0,9.0,3.0,10.0,4.0,31.0,0.86,12.0,,22.0
거제도남안4_연안,2009-11-01,128.6427778,34.67388889,325.0,33.22,16.54,2.1,3.0,6.25,7.97,479.0,7.0,4.0,119.0,4.0,135.0,0.37,9.0,,37.0
거제도동안1_연안,2009-02-01,128.7333333,34.90944444,280.8,33.7702,12.46,1.79367,7.6,8.50897,8.19,408.565,7.52803,19.1555,122.561,1.5,135.816,0.49044,5.72776,,22.3242
거제도동안1_연안,2009-05-01,128.7333333,34.90944444,252.64,33.58,15.9,3.49765,10.4,10.325,8.22,86.3079,0.0,8.6583,20.0831,3.0,52.2301,1.7597,32.147,,13.2053
거제도동안1_연안,2009-08-01,128.7333333,34.90944444,451.011,,23.8315,18.7587,10.45,10.3721,8.53,212.851,8.6085,2.97412,41.3739,2.5,52.1868,4.22222,2.20436,,24.7285
거제도동안1_연안,2009-11-01,128.7333333,34.90944444,253.045,32.8316,17.7829,5.70983,5.15,7.37236,7.91,463.897,5.3748,18.7453,56.3377,2.5,77.3129,1.5163,15.6004,,40.5036
거제도동안2_연안,2009-02-01,128.6797222,34.79861111,249.781,34.1749,12.8,0.807149,8.1,8.44697,8.21,399.601,5.74578,11.6811,115.171,3.5,131.571,0.32964,10.6545,,18.4669
거제도동안2_연안,2009-05-01,128.6797222,34.79861111,146.371,34.1,14.15,6.26288,6.7,9.075,8.13,182.525,-0.43395,1.0633,22.6206,3.5,58.5367,1.37224,36.35,,3.14986
거제도동안2_연안,2009-08-01,128.6797222,34.79861111,186.847,30.8782,23.7267,3.99091,8.9,7.49366,8.24,80.3143,-0.409674,1.07039,3.40283,5.0,9.52423,1.69344,6.53108,,10.108
거제도동안2_연안,2009-11-01,128.6797222,34.79861111,235.458,33.1306,16.8865,2.89229,5.0,6.88087,7.86,456.298,2.01761,20.5966,105.847,2.5,114.052,0.969184,6.18723,,29.4756
거제도동안3_연안,2009-02-01,128.7744444,34.76805556,348.565,34.1202,12.65,1.13599,7.5,8.44697,8.19,400.161,7.24514,15.7173,115.667,2.0,127.994,0.58692,5.08164,,16.7136
거제도동안3_연안,2009-05-01,128.7744444,34.76805556,219.615,34.17,14.2,3.64712,6.05,8.91265,8.11,180.326,0.617294,7.8988,41.8912,7.0,90.6644,1.13008,48.1559,,12.5668
거제도동안3_연안,2009-08-01,128.7744444,34.76805556,144.507,31.0142,23.6271,3.09407,14.1,7.42933,8.22,84.3845,-0.0576128,0.158227,,5.0,4.12414,1.7248,4.5223,,35.739
거제도동안3_연안,2009-11-01,128.7744444,34.76805556,202.24,33.001,17.2795,4.26743,3.0,7.18211,7.87,378.279,5.87543,17.9739,76.4079,2.8,87.1258,1.20366,4.84249,,22.3074
거제도동안4_연안,2009-02-01,128.7502778,34.87916667,240.217,34.2197,12.64,0.597888,7.85,8.58646,8.19,409.406,7.27343,15.5678,119.937,2.0,136.33,0.69948,9.11994,,17.4149
거제도동안4_연안,2009-05-01,128.7502778,34.87916667,212.094,33.74,15.56,7.02519,11.05,10.1627,8.22,76.9611,0.29608,13.0634,8.69917,3.0,35.951,1.69512,26.9557,,14.1629
거제도동안4_연안,2009-08-01,128.7502778,34.87916667,495.191,29.3932,23.8745,11.1357,9.35,8.18513,8.42,139.332,1.45896,4.77062,54.7844,3.5,62.8581,1.14464,6.61478,,7.83392
거제도동안4_연안,2009-11-01,128.7502778,34.87916667,207.125,33.0397,17.2379,4.61869,3.5,7.21382,7.9,386.892,6.28771,18.8996,69.24,2.5,81.9671,1.32872,6.43937,,33.5192
거제도동안H1_항만,2009-02-01,128.7155556,34.88527778,316.098,32.9207,11.54,2.15987,9.95,8.92744,8.2,372.147,7.6129,11.9801,120.941,1.5,142.681,0.42612,14.1274,,21.0969
거제도동안H1_항만,2009-05-01,128.7155556,34.88527778,316.098,32.9207,11.54,2.15987,9.95,8.92744,8.2,372.147,7.6129,11.9801,120.941,1.5,142.681,0.42612,14.1274,,21.0969
거제도동안H1_항만,2009-08-01,128.7155556,34.88527778,636.017,,23.5445,23.2429,12.7,11.1922,8.54,83.6213,7.11901,1.37444,79.5809,3.0,89.9045,5.65056,3.20454,,39.71
거제도동안H2_항만,2009-02-01,128.7272222,34.86472222,564.003,33.7791,12.41,0.979042,9.6,7.51703,8.09,480.281,11.9978,38.29,174.236,1.0,337.987,0.55476,151.753,,53.1823
거제도동안H2_항만,2009-05-01,128.7272222,34.86472222,564.003,33.7791,12.41,0.979042,9.6,7.51703,8.09,480.281,11.9978,38.29,174.236,1.0,337.987,0.55476,151.753,,53.1823
거제도동안H2_항만,2009-08-01,128.7272222,34.86472222,315.707,28.5242,24.3539,21.7482,8.0,8.23337,8.37,60.2176,3.32759,3.80688,19.6222,1.0,50.4922,3.61008,27.5425,,38.0855
거진연안1_연안,2009-02-01,128.5055556,38.40833333,172.13,34.11,7.01,0.534,2.8,9.85876,8.21,380.029,4.585,20.745,124.865,14.0,136.184,0.469333,6.734,,35.015
거진연안1_연안,2009-05-01,128.5055556,38.40833333,307.269,33.75,12.48,1.974,2.8,9.07349,8.14,174.842,0.671,4.96,22.454,4.5,30.546,0.473813,7.421,,20.849
거진연안1_연안,2009-08-01,128.5055556,38.40833333,203.714,32.35,22.7,0.542,4.2,7.60266,8.2,47.738,0.404,5.84374,6.12548,12.0,17.2025,0.650667,10.673,,19.6634
거진연안1_연안,2009-11-01,128.5055556,38.40833333,154.0,33.11,13.31,0.866,4.6,8.54693,8.14,172.0,2.0,18.0,29.0,9.0,58.0,0.56,27.0,,23.0
거진연안2_연안,2009-02-01,128.4597222,38.44027778,188.922,34.06,6.07,0.596,3.0,10.1098,8.21,427.678,4.45,21.204,127.459,8.0,134.246,0.453333,2.337,,28.508
거진연안2_연안,2009-05-01,128.4597222,38.44027778,322.577,33.84,13.09,2.0,4.0,9.45638,8.13,171.692,0.842,4.253,20.57,5.0,27.162,0.307413,5.75,,20.865
거진연안2_연안,2009-08-01,128.4597222,38.44027778,225.195,32.27,23.33,0.224,4.8,7.90375,8.15,71.15,0.865,3.56104,2.9404,9.0,15.2764,0.970667,11.471,,9.047
거진연안2_연안,2009-11-01,128.4597222,38.44027778,103.0,33.41,13.25,0.94,3.4,8.6426,8.08,139.0,1.0,3.0,10.0,8.5,18.0,0.608,7.0,,6.0
거진연안H1_항만,2009-02-01,128.4597222,38.44638889,231.318,33.64,6.68,1.342,6.0,10.1232,8.2,406.163,5.388,26.251,199.444,6.0,216.457,0.661333,11.625,,42.342
거진연안H1_항만,2009-05-01,128.4597222,38.44638889,231.318,33.64,6.68,1.342,6.0,10.1232,8.2,406.163,5.388,26.251,199.444,6.0,216.457,1.65333,11.625,,42.342
거진연안H1_항만,2009-08-01,128.4597222,38.44638889,235.693,32.35,22.7,4.2,9.6,9.32928,8.2,171.888,0.36,18.779,6.48996,3.0,7.36596,1.23733,0.516,,52.4956
고성자란만1_연안,2009-02-01,128.3147222,34.9275,328.2,33.55,5.72,0.7829,1.4,10.9,8.28,294.0,1.0,5.0,15.0,6.0,22.0,0.44,6.0,,30.0
고성자란만1_연안,2009-05-01,128.3147222,34.9275,397.0,33.67,19.44,1.8811,6.4,8.51,8.03,374.0,2.0,2.0,25.0,2.0,38.0,0.69,11.0,,30.0
