station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L]
가막만1_환경관리,2010-08-01,127.73417,34.7225,86.0,31.6,24.85,10.01,6.0,7.48,8.04,330.0,0.0,0.0,3.0,1.5,4.0,1.14,1.0,,26.0
가막만1_환경관리,2010-11-01,127.73417,34.7225,192.0,31.69,13.85,20.14,16.0,9.88,7.97,571.0,2.0,10.0,3.0,1.2,5.0,0.74,0.0,,31.0
가막만2_환경관리,2010-02-01,127.68833,34.68917,118.0,32.9,5.5,2.89,36.0,10.89,8.12,115.0,1.0,3.0,18.0,2.4,24.0,0.23,5.0,,15.0
가막만2_환경관리,2010-05-01,127.68833,34.68917,76.0,33.27,17.69,1.67,15.2,8.63,8.23,58.0,2.0,5.0,22.0,1.0,30.0,0.65,5.0,,9.0
가막만2_환경관리,2010-08-01,127.68833,34.68917,91.0,31.45,27.39,5.89,5.4,7.69,8.14,220.0,1.0,7.0,41.0,3.0,42.0,1.18,1.0,,17.0
가막만2_환경관리,2010-11-01,127.68833,34.68917,194.0,31.67,14.56,13.17,9.8,9.59,8.0,312.0,2.0,6.0,2.0,1.7,4.0,0.81,0.0,,23.0
가막만3_환경관리,2010-02-01,127.69028,34.62139,158.0,33.11,7.09,2.03,10.4,9.58,8.05,280.0,3.0,11.0,67.0,2.9,79.0,0.17,9.0,,21.0
가막만3_환경관리,2010-05-01,127.69028,34.62139,196.0,33.34,16.51,1.31,13.6,8.67,8.23,31.0,8.0,4.0,3.0,4.0,17.0,0.63,6.0,,15.0
가막만3_환경관리,2010-08-01,127.69028,34.62139,75.0,31.63,27.49,2.08,4.6,7.98,8.1,172.0,0.0,1.0,1.0,4.0,3.0,0.81,1.0,,14.0
가막만3_환경관리,2010-11-01,127.69028,34.62139,185.0,32.2,16.03,2.49,9.2,9.75,7.82,609.0,20.0,19.0,60.0,1.2,81.0,0.47,1.0,,22.0
가막만4_환경관리,2010-02-01,127.66111,34.7325,114.0,32.86,6.02,2.52,6.4,10.85,8.08,172.0,2.0,6.0,33.0,4.0,42.0,0.25,7.0,,15.0
가막만4_환경관리,2010-05-01,127.66111,34.7325,100.0,33.15,17.41,2.28,13.2,9.38,8.2,49.0,2.0,6.0,23.0,3.5,30.0,0.76,4.0,,11.0
가막만4_환경관리,2010-08-01,127.66111,34.7325,76.0,31.1,29.22,1.92,4.0,7.56,8.16,117.0,0.0,0.0,1.0,3.5,1.0,1.07,0.0,,13.0
가막만4_환경관리,2010-11-01,127.66111,34.7325,155.0,31.63,14.67,11.92,9.4,9.55,8.1,259.0,0.0,4.0,3.0,2.4,3.0,0.76,0.0,,17.0
가막만5_환경관리,2010-02-01,127.64417,34.6975,157.0,32.48,4.72,2.63,5.6,11.14,8.18,129.0,1.0,5.0,23.0,6.0,45.0,0.33,21.0,,16.0
가막만5_환경관리,2010-05-01,127.64417,34.6975,89.0,33.13,17.9,0.66,10.0,8.42,8.1,47.0,2.0,10.0,6.0,6.0,12.0,0.43,4.0,,10.0
가막만5_환경관리,2010-08-01,127.64417,34.6975,58.0,31.48,28.6,3.31,6.6,7.44,8.13,170.0,0.0,0.0,1.0,4.3,3.0,1.42,2.0,,10.0
가막만5_환경관리,2010-11-01,127.64417,34.6975,199.0,31.52,14.56,13.98,6.6,9.17,7.95,418.0,5.0,8.0,10.0,3.0,16.0,0.66,0.0,,21.0
감포연안1_연안,2010-02-01,129.5108333,35.79805556,296.0,34.23,12.55,1.412,7.4,8.43531,8.14,278.0,6.0,15.0,85.0,4.5,108.0,0.32,17.0,,25.0
감포연안1_연안,2010-05-01,129.5108333,35.79805556,186.965,34.15,13.6,4.44,11.2,9.95016,8.23,59.0,1.0,1.0,1.0,5.0,3.0,0.410667,1.0,,14.0
감포연안1_연안,2010-08-01,129.5108333,35.79805556,1337.48,32.42,22.43,5.64,14.4,10.9388,8.22,193.0,1.0,0.0,6.0,2.0,29.0,1.808,22.0,,35.0
감포연안1_연안,2010-11-01,129.5108333,35.79805556,295.193,33.52,19.14,1.272,9.8,8.00477,8.21,157.0,4.0,7.0,41.0,4.5,107.0,0.688,62.0,,38.0
감포연안2_연안,2010-02-01,129.5305556,35.81555556,272.0,34.18,12.55,1.392,4.6,8.45125,8.14,282.0,6.0,14.0,83.0,4.5,99.0,0.352,10.0,,35.0
감포연안2_연안,2010-05-01,129.5305556,35.81555556,352.83,34.16,13.8,2.444,9.8,10.0139,8.25,52.0,1.0,1.0,6.0,5.0,8.0,0.394667,1.0,,32.0
감포연안2_연안,2010-08-01,129.5305556,35.81555556,1729.75,32.96,20.59,6.16,14.6,9.9661,8.11,153.0,0.0,0.0,8.0,3.5,23.0,1.36,15.0,,18.0
감포연안2_연안,2010-11-01,129.5305556,35.81555556,285.979,33.38,19.21,1.3,12.0,7.55829,8.22,153.0,4.0,4.0,42.0,7.0,76.0,0.976,30.0,,34.0
감포연안3_연안,2010-02-01,129.4883333,35.7075,191.0,34.24,12.85,0.936,13.2,8.41936,8.13,287.0,6.0,15.0,86.0,4.5,104.0,0.336,12.0,,32.0
감포연안3_연안,2010-05-01,129.4883333,35.7075,402.251,34.01,14.3,3.716,16.2,9.42395,8.21,153.0,1.0,3.0,8.0,4.5,10.0,0.394667,1.0,,12.0
감포연안3_연안,2010-08-01,129.4883333,35.7075,1066.38,32.88,21.04,7.12,21.2,11.162,8.24,184.0,0.0,0.0,8.0,2.5,27.0,1.66933,19.0,,31.0
감포연안3_연안,2010-11-01,129.4883333,35.7075,405.073,33.24,20.32,0.928,14.2,7.98883,8.19,201.0,4.0,7.0,46.0,4.0,102.0,0.416,52.0,,13.0
감포연안4_연안,2010-02-01,129.5005556,35.74638889,200.0,34.28,12.34,1.256,20.0,8.30774,8.13,295.0,6.0,15.0,88.0,4.5,108.0,0.282667,14.0,,23.0
감포연안4_연안,2010-05-01,129.5005556,35.74638889,353.708,34.0,13.8,4.92,10.0,9.87043,8.22,123.0,2.0,3.0,8.0,5.0,15.0,0.154667,5.0,,36.0
감포연안4_연안,2010-08-01,129.5005556,35.74638889,1395.31,32.66,22.78,5.84,20.4,12.2463,8.26,146.0,0.0,0.0,6.0,2.5,32.0,2.14933,26.0,,33.0
감포연안4_연안,2010-11-01,129.5005556,35.74638889,454.517,33.56,19.28,1.384,10.8,8.69044,8.2,185.0,4.0,6.0,47.0,5.0,88.0,0.368,37.0,,8.0
감포연안H1_항만,2010-02-01,129.5055556,35.80694444,247.0,34.12,12.31,0.948,12.6,8.51504,8.14,349.0,6.0,23.0,96.0,4.5,128.0,0.938667,26.0,,47.0
감포연안H1_항만,2010-08-01,129.5055556,35.80694444,505.03,33.3,20.72,8.94,16.6,9.87043,8.18,279.0,1.0,1.0,17.0,2.5,46.0,1.44533,28.0,,40.0
강구연안1_연안,2010-02-01,129.4205556,36.38055556,176.0,34.23,10.61,1.052,11.0,9.05719,8.12,311.0,4.0,15.0,91.0,11.0,112.0,0.512,17.0,,36.0
강구연안1_연안,2010-05-01,129.4205556,36.38055556,403.058,34.19,12.2,3.536,10.4,11.4809,8.29,9.0,1.0,1.0,1.0,5.0,9.0,1.30133,7.0,,13.0
강구연안1_연안,2010-08-01,129.4205556,36.38055556,380.823,32.98,22.67,0.796,16.2,8.67449,8.19,14.0,0.0,0.0,8.0,8.0,39.0,0.544,31.0,,20.0
강구연안1_연안,2010-11-01,129.4205556,36.38055556,308.512,32.96,17.36,0.776,8.2,8.18018,8.19,198.0,4.0,5.0,42.0,10.5,90.0,0.810667,44.0,,9.0
강구연안2_연안,2010-02-01,129.3975,36.35,219.0,34.25,10.56,1.308,4.8,8.80206,8.12,312.0,4.0,15.0,90.0,11.0,106.0,0.432,12.0,,35.0
강구연안2_연안,2010-05-01,129.3975,36.35,278.332,33.9,13.4,3.82,14.2,10.891,8.27,23.0,1.0,1.0,6.0,4.5,13.0,1.09333,6.0,,36.0
강구연안2_연안,2010-08-01,129.3975,36.35,674.089,32.74,22.41,1.56,12.8,8.94557,8.19,208.0,1.0,0.0,52.0,6.0,94.0,0.8,41.0,,28.0
강구연안2_연안,2010-11-01,129.3975,36.35,157.431,33.0,17.46,1.012,6.6,8.19612,8.19,221.0,4.0,6.0,56.0,9.0,105.0,0.826667,45.0,,38.0
강구연안H1_항만,2010-02-01,129.3905556,36.35666667,453.0,32.93,10.42,1.676,12.2,9.16881,8.12,539.0,6.0,26.0,283.0,3.5,335.0,0.938667,46.0,,49.0
강구연안H1_항만,2010-08-01,129.3905556,36.35666667,1542.0,30.57,20.89,1.788,8.2,8.54693,8.21,,11.0,25.0,1368.0,2.0,1499.0,1.82933,120.0,,52.0
강릉연안1_연안,2010-02-01,128.9616667,37.78166667,391.0,33.89,7.04,1.324,8.8,9.47178,8.1,301.0,2.0,18.0,106.0,9.5,135.0,0.309333,27.0,,43.0
강릉연안1_연안,2010-05-01,128.9616667,37.78166667,401.13,34.05,11.0,1.716,6.8,10.2053,8.21,39.0,4.0,3.0,9.0,5.0,81.0,0.832,68.0,,35.0
강릉연안1_연안,2010-08-01,128.9616667,37.78166667,161.214,32.42,20.84,0.908,16.4,8.38747,8.15,34.0,1.0,0.0,3.0,9.0,11.0,1.136,7.0,,25.0
강릉연안1_연안,2010-11-01,128.9616667,37.78166667,360.118,32.89,17.05,1.284,6.8,8.45125,8.18,150.0,3.0,5.0,41.0,11.0,68.0,0.490667,24.0,,33.0
강릉연안2_연안,2010-02-01,128.9555556,37.78,327.0,33.84,7.15,0.992,10.4,9.34422,8.11,281.0,2.0,16.0,97.0,9.5,109.0,0.453333,10.0,,37.0
강릉연안2_연안,2010-05-01,128.9555556,37.78,447.526,33.71,11.3,1.568,8.6,9.66313,8.21,44.0,4.0,5.0,11.0,5.0,78.0,0.832,63.0,,31.0
강릉연안2_연안,2010-08-01,128.9555556,37.78,248.705,33.53,17.07,0.74,6.8,8.53098,8.15,44.0,1.0,0.0,5.0,9.0,47.0,1.088,41.0,,24.0
강릉연안2_연안,2010-11-01,128.9555556,37.78,459.209,32.99,16.99,1.3,6.6,8.51504,8.18,157.0,4.0,5.0,40.0,11.0,90.0,0.906667,46.0,,36.0
강릉연안3_연안,2010-02-01,128.9761111,37.76972222,194.0,33.95,7.22,0.936,12.0,9.5834,8.1,281.0,2.0,16.0,98.0,9.5,111.0,0.309333,11.0,,37.0
강릉연안3_연안,2010-05-01,128.9761111,37.76972222,310.28,33.89,11.0,1.484,9.0,9.95016,8.21,26.0,2.0,1.0,2.0,5.0,25.0,0.832,21.0,,20.0
강릉연안3_연안,2010-08-01,128.9761111,37.76972222,167.402,32.79,22.82,0.648,8.8,9.87043,8.14,33.0,1.0,0.0,2.0,11.0,48.0,1.28,45.0,,27.0
강릉연안3_연안,2010-11-01,128.9761111,37.76972222,333.633,32.98,17.06,1.432,5.8,8.91368,8.18,166.0,4.0,4.0,38.0,12.5,86.0,0.442667,44.0,,33.0
강릉연안4_연안,2010-02-01,128.9316667,37.80638889,273.0,33.71,6.98,0.648,11.6,9.50367,8.11,284.0,2.0,16.0,98.0,9.5,105.0,0.352,5.0,,35.0
강릉연안4_연안,2010-05-01,128.9316667,37.80638889,396.437,33.98,10.7,1.016,18.6,9.99799,8.22,23.0,1.0,1.0,1.0,6.0,8.0,0.629333,6.0,,14.0
강릉연안4_연안,2010-08-01,128.9316667,37.80638889,250.536,32.52,21.93,0.656,16.6,7.66991,8.16,22.0,1.0,0.0,10.0,9.0,49.0,0.693333,38.0,,31.0
강릉연안4_연안,2010-11-01,128.9316667,37.80638889,215.537,33.0,17.15,1.288,6.2,8.2599,8.19,187.0,4.0,10.0,44.0,10.0,87.0,0.314667,39.0,,18.0
강릉연안5_연안,2010-02-01,129.0808333,37.66444444,236.0,33.61,7.34,1.628,12.6,9.28043,8.11,273.0,2.0,15.0,95.0,9.0,99.0,0.730667,2.0,,40.0
강릉연안5_연안,2010-05-01,129.0808333,37.66444444,521.914,33.79,11.2,1.28,10.2,9.51962,8.2,15.0,1.0,3.0,1.0,6.5,26.0,0.773333,24.0,,18.0
강릉연안5_연안,2010-08-01,129.0808333,37.66444444,284.408,33.26,22.19,0.628,11.6,7.74964,8.14,49.0,1.0,0.0,14.0,13.0,47.0,0.533333,32.0,,25.0
강릉연안5_연안,2010-11-01,129.0808333,37.66444444,326.209,32.86,17.14,1.492,5.2,9.0253,8.19,188.0,4.0,5.0,32.0,13.0,88.0,0.666667,52.0,,16.0
강릉연안6_연안,2010-02-01,129.0372222,37.71666667,200.0,33.96,7.68,1.028,10.6,9.43989,8.11,254.0,2.0,14.0,89.0,10.5,94.0,0.5493,3.0,,19.0
강릉연안6_연안,2010-05-01,129.0372222,37.71666667,244.421,34.01,10.7,1.352,7.6,9.95016,8.21,21.0,2.0,1.0,1.0,7.0,32.0,0.837333,29.0,,30.0
강릉연안6_연안,2010-08-01,129.0372222,37.71666667,239.475,32.68,22.49,2.176,8.4,8.94557,8.15,42.0,1.0,0.0,7.0,9.5,34.0,1.15733,26.0,,35.0
강릉연안6_연안,2010-11-01,129.0372222,37.71666667,243.074,32.96,17.0,1.644,6.0,8.57882,8.19,152.0,3.0,4.0,36.0,12.0,87.0,0.730667,48.0,,34.0
강릉연안7_연안,2010-02-01,128.9952778,37.75083333,235.0,33.86,6.91,0.972,11.6,9.74286,8.09,291.0,2.0,17.0,102.0,9.0,116.0,0.3893,12.0,,19.0
강릉연안7_연안,2010-05-01,128.9952778,37.75083333,268.724,33.9,10.5,1.352,9.4,9.98205,8.21,23.0,2.0,3.0,14.0,6.0,37.0,1.09333,21.0,,31.0
강릉연안7_연안,2010-08-01,128.9952778,37.75083333,247.004,32.8,21.51,1.132,19.0,8.33963,8.15,45.0,1.0,0.0,6.0,10.5,54.0,1.04533,47.0,,19.0
강릉연안7_연안,2010-11-01,128.9952778,37.75083333,211.557,32.91,17.06,1.348,4.0,8.78612,8.18,154.0,4.0,6.0,47.0,12.0,134.0,0.714667,83.0,,41.0
거제도남안1_연안,2010-02-01,128.5580556,34.81333333,137.0,33.58,7.54,5.1126,7.8,9.9,8.21,267.0,1.0,3.0,12.0,7.0,21.0,0.4,8.0,,23.0
거제도남안1_연안,2010-05-01,128.5580556,34.81333333,70.3094,33.27,17.38,2.104,12.6,7.76,8.23,104.821,1.0,5.8094,12.7,8.0,21.0598,1.61333,7.3598,,8.618
거제도남안1_연안,2010-08-01,128.5580556,34.81333333,128.064,31.8,24.77,2.3905,8.4,7.06,7.89,283.542,0.98,0.31,2.64429,4.0,36.2023,1.19,32.578,,6.3178
거제도남안1_연안,2010-11-01,128.5580556,34.81333333,474.058,32.57,16.1,1.1338,1.6,8.04,7.76,663.583,8.2264,21.6473,65.268,8.0,92.8704,1.12,19.376,,53.7354
거제도남안2_연안,2010-02-01,128.52,34.78083333,138.0,34.1,9.14,4.2154,6.0,9.45,8.14,317.0,6.0,11.0,49.0,5.0,66.0,0.3,11.0,,22.0
거제도남안2_연안,2010-05-01,128.52,34.78083333,49.2058,33.62,16.06,1.8688,8.0,8.26,8.24,21.378,1.0808,3.2798,21.1,6.0,34.2222,1.57333,12.0414,,17.7847
거제도남안2_연안,2010-08-01,128.52,34.78083333,161.401,28.29,27.36,2.4351,7.8,6.93,8.17,174.476,0.8274,0.31,1.70967,4.5,35.2145,0.11,32.6774,,9.0954
거제도남안2_연안,2010-11-01,128.52,34.78083333,291.498,32.75,16.72,1.1523,5.0,9.04,7.33,588.58,9.5522,22.4595,89.7946,3.5,117.957,0.88,18.6102,,28.1511
거제도남안3_연안,2010-02-01,128.5402778,34.72277778,164.0,34.13,10.8,3.2399,8.8,8.62,8.12,342.0,10.0,9.0,52.0,5.0,62.0,0.25,0.0,,23.0
거제도남안3_연안,2010-05-01,128.5402778,34.72277778,28.938,33.91,13.77,2.8426,5.8,8.1,8.19,52.1752,2.7118,10.5276,14.0,5.5,24.766,1.13333,8.0542,,13.4106
거제도남안3_연안,2010-08-01,128.5402778,34.72277778,117.699,32.01,24.08,1.3135,4.0,8.15,7.98,98.7224,0.5054,0.31,0.14,6.0,29.1298,1.99,28.4844,,4.0765
거제도남안3_연안,2010-11-01,128.5402778,34.72277778,180.524,32.8,18.3,0.8533,6.8,7.51,7.51,309.257,9.926,5.5645,50.323,5.0,72.4276,0.08,12.1786,,40.3
거제도남안4_연안,2010-02-01,128.6427778,34.67388889,164.0,34.13,10.09,3.1578,11.0,9.03,8.13,360.0,5.0,9.0,63.0,4.5,68.0,0.33,0.0,,23.0
거제도남안4_연안,2010-05-01,128.6427778,34.67388889,30.7412,33.98,13.46,1.7124,45.2,8.55,8.2,69.034,1.582,4.0517,11.9,5.5,20.734,1.41333,7.252,,13.0045
거제도남안4_연안,2010-08-01,128.6427778,34.67388889,191.936,31.04,22.73,4.5616,7.2,8.7,7.93,373.554,5.6042,5.02027,52.6893,5.5,91.8459,1.27,33.5524,,7.9453
거제도남안4_연안,2010-11-01,128.6427778,34.67388889,231.574,32.92,18.45,0.784,5.4,7.34,7.94,268.702,8.2208,0.31,72.1336,4.0,93.912,0.76,13.5576,,27.3172
거제도동안1_연안,2010-02-01,128.7333333,34.90944444,487.191,34.127,11.6645,1.14346,10.4,8.87295,8.03,293.83,6.29595,19.8592,88.0408,3.0,100.457,1.05494,6.12066,,24.062
거제도동안1_연안,2010-05-01,128.7333333,34.90944444,88.8368,33.0364,14.546,2.87734,3.5,10.761,8.11,14.9989,0.0381864,2.99244,3.77092,0.6,5.4432,1.05768,1.6341,,27.901
거제도동안1_연안,2010-08-01,128.7333333,34.90944444,391.894,31.2658,23.4152,2.58587,5.1,10.0814,8.21,38.8287,1.18308,7.48328,0.901537,2.8,47.9916,3.7127,45.907,,20.4101
거제도동안1_연안,2010-11-01,128.7333333,34.90944444,253.51,32.8434,15.9114,2.21219,3.05,7.99341,8.06,466.032,13.5635,24.188,76.8485,5.0,100.093,1.13381,9.681,,38.45
거제도동안2_연안,2010-02-01,128.6797222,34.79861111,316.725,34.2073,12.4692,0.612836,5.9,8.69678,8.04,322.106,5.75166,11.0252,97.6079,3.0,105.705,1.35864,2.34552,,24.2477
거제도동안2_연안,2010-05-01,128.6797222,34.79861111,81.8496,34.24,13.3438,2.18977,2.35,9.63271,8.0,73.2492,0.0663488,4.20191,3.22917,0.5,5.01285,0.927504,1.71733,,17.9438
거제도동안2_연안,2010-08-01,128.6797222,34.79861111,221.038,32.4944,24.8229,0.581447,2.35,8.70953,8.09,183.248,0.73369,0.668732,0.007938,7.0,135.767,1.68898,135.025,,5.38926
거제도동안2_연안,2010-11-01,128.6797222,34.79861111,278.402,33.7151,16.1442,1.18083,2.25,6.76874,8.03,541.109,9.3685,21.9287,140.113,3.5,153.477,0.90376,3.9956,,36.7783
거제도동안3_연안,2010-02-01,128.7744444,34.76805556,291.508,34.2363,12.8222,0.411048,10.2,8.69678,8.04,317.878,6.61107,14.2672,98.053,2.0,113.682,0.895104,9.01786,,28.7057
거제도동안3_연안,2010-05-01,128.7744444,34.76805556,76.8588,34.0309,13.2688,1.41999,2.85,9.43063,8.02,63.0619,0.714084,5.86494,10.2282,0.7,14.9068,0.943776,3.96458,,13.2367
거제도동안3_연안,2010-08-01,128.7744444,34.76805556,271.224,32.3366,23.5291,0.687572,4.5,8.26289,8.12,72.6959,0.765789,11.9747,32.4368,6.0,169.529,1.71941,136.326,,11.9813
거제도동안3_연안,2010-11-01,128.7744444,34.76805556,231.818,33.262,16.7405,1.56198,0.8,7.62932,8.1,318.639,9.85137,10.331,92.9696,8.5,107.0,1.03522,4.179,,29.1625
거제도동안4_연안,2010-02-01,128.7502778,34.87916667,269.317,34.1928,12.0417,1.18083,9.65,8.85694,8.12,285.637,5.75166,15.8109,91.9913,3.0,102.547,0.991008,4.80375,,25.9195
거제도동안4_연안,2010-05-01,128.7502778,34.87916667,79.8533,33.2686,14.6111,2.22713,2.0,10.4916,8.06,13.6928,0.010024,5.41139,4.2984,0.6,6.9413,1.46448,2.63288,,8.89176
거제도동안4_연안,2010-08-01,128.7502778,34.87916667,329.529,32.0581,23.328,1.28546,3.7,8.58191,8.19,46.5697,0.765789,1.13336,31.5197,4.5,82.4206,2.52586,50.1352,,18.6219
거제도동안4_연안,2010-11-01,128.7502778,34.87916667,272.89,32.9783,15.9422,2.75029,2.25,7.84446,8.06,450.213,13.8653,17.8619,84.5159,5.0,103.844,1.21597,5.4628,,40.679
거제도동안H1_항만,2010-02-01,128.7155556,34.88527778,675.814,34.0845,11.2807,1.62925,7.9,9.33742,8.05,301.229,5.43655,21.0597,96.4735,4.0,109.699,0.87912,7.78875,,26.6625
거제도동안H1_항만,2010-08-01,128.7155556,34.88527778,285.616,32.0681,22.2564,2.5485,4.2,8.85309,8.17,43.4249,0.990483,5.62476,2.24059,3.5,96.6242,4.24526,93.3932,,12.8997
거제도동안H2_항만,2010-02-01,128.7272222,34.86472222,552.755,33.3937,11.4669,0.627783,14.55,8.3284,8.01,359.368,7.84288,15.6565,120.628,2.0,194.555,1.45454,66.084,,45.2375
거제도동안H2_항만,2010-08-01,128.7272222,34.86472222,275.468,31.91,24.4261,1.56946,3.55,9.36354,8.22,14.8797,0.926285,0.823608,0.25327,4.0,80.3702,2.05416,79.1907,,17.3702
거진연안1_연안,2010-02-01,128.5055556,38.40833333,267.0,34.12,3.78,0.576,14.0,10.1734,8.09,329.0,2.0,19.0,109.0,11.0,123.0,0.272,12.0,,38.0
거진연안1_연안,2010-05-01,128.5055556,38.40833333,247.776,33.77,9.7,0.764,6.6,9.85448,8.19,31.0,2.0,6.0,1.0,10.0,16.0,0.432,13.0,,26.0
거진연안1_연안,2010-08-01,128.5055556,38.40833333,281.524,32.75,20.03,1.052,15.6,8.51504,8.18,26.0,1.0,2.0,2.0,8.5,26.0,1.072,23.0,,20.0
거진연안1_연안,2010-11-01,128.5055556,38.40833333,354.373,33.31,14.8,3.308,2.2,8.18018,8.18,154.0,3.0,2.0,33.0,8.0,53.0,0.64,17.0,,29.0
거진연안2_연안,2010-02-01,128.4597222,38.44027778,268.0,33.85,3.39,1.26786,11.2,11.2258,8.11,318.0,2.0,17.0,100.0,8.0,112.0,0.64,10.0,,22.0
거진연안2_연안,2010-05-01,128.4597222,38.44027778,358.93,33.72,9.9,1.432,15.2,9.45584,8.19,40.0,2.0,2.0,1.0,6.0,21.0,0.784,18.0,,29.0
거진연안2_연안,2010-08-01,128.4597222,38.44027778,175.111,32.87,20.38,1.44,10.2,8.57882,8.2,26.0,1.0,0.0,7.0,7.5,32.0,1.264,24.0,,22.0
거진연안2_연안,2010-11-01,128.4597222,38.44027778,204.734,32.9,13.96,4.96,11.2,8.53098,8.19,59.0,1.0,2.0,23.0,4.5,43.0,0.624,19.0,,36.0
거진연안H1_항만,2010-02-01,128.4597222,38.44638889,247.0,32.58,2.91,0.666,13.2,11.6245,7.98,245.0,1.0,14.0,65.0,6.0,81.0,1.008,15.0,,33.0
거진연안H1_항만,2010-08-01,128.4597222,38.44638889,1420.71,32.8,18.66,2.472,11.2,8.70639,8.18,114.0,1.0,0.0,14.0,3.0,34.0,1.14133,19.0,,15.0
고성자란만1_연안,2010-02-01,128.3147222,34.9275,142.0,33.43,5.13,3.4307,6.6,11.19,8.16,67.0,0.0,2.0,1.0,5.0,2.0,0.43,1.0,,17.0
고성자란만1_연안,2010-05-01,128.3147222,34.9275,36.2712,33.2,17.27,2.831,6.2,6.95,8.14,225.828,0.595,4.8732,11.6,3.0,20.2968,1.17333,8.1018,,16.5664
고성자란만1_연안,2010-08-01,128.3147222,34.9275,187.454,29.94,27.22,16.7122,17.6,9.52,8.19,255.839,2.0286,1.503,0.392693,1.6,25.9567,0.99,23.5354,,24.4466
고성자란만1_연안,2010-11-01,128.3147222,34.9275,513.458,32.3,15.75,3.2689,14.2,9.62,7.54,459.819,4.6494,22.568,37.6642,2.0,60.0264,1.56,17.7128,,82.6708
고성자란만2_연안,2010-02-01,128.2233333,34.90944444,112.0,33.45,6.46,3.7431,5.0,10.65,8.13,50.0,1.0,1.0,7.0,7.0,23.0,0.43,15.0,,14.0
고성자란만2_연안,2010-05-01,128.2233333,34.90944444,37.5056,33.03,17.15,2.5816,1.8,7.16,8.14,97.5548,0.1414,1.9871,15.1,8.2,23.5658,1.73333,8.3244,,2.9016
고성자란만2_연안,2010-08-01,128.2233333,34.90944444,120.22,31.31,26.19,0.9245,1.4,7.6,7.9,244.118,0.84,0.31,1.24235,5.0,23.165,1.95,21.0826,,7.1021
