project_name,station,일시,longitude,latitude,dep_flag,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],year,month,quarter,year_quarter
해양환경측정망,가막만2_환경관리,2019-11-12 15:58:00,127.68833,34.68917,0,180.0,30.9,16.7,5.92,9.6,6.4,8.19,,1.5,1.2,4.3,2.5,9.5,1.26,3.7,20.1,2019,11,4,20194
해양환경측정망,가막만3_환경관리,2019-02-13 00:00:00,127.69028,34.62139,0,113.2,33.96,7.92,2.48,11.5,9.05,8.26,,2.6,,35.1,3.0,42.4,1.1,4.7,17.1,2019,2,1,20191
해양환경측정망,가막만3_환경관리,2019-05-06 00:00:00,127.69028,34.62139,0,178.7,33.62,14.71,0.53,17.1,8.54,8.21,,7.2,,35.6,1.2,47.7,1.22,4.9,30.7,2019,5,2,20192
해양환경측정망,가막만3_환경관리,2019-08-10 09:34:00,127.69028,34.62139,0,126.1,31.91,26.2,1.33,19.7,8.72,8.15,105.6,0.8,3.4,0.9,5.0,4.8,0.7,3.2,19.7,2019,8,3,20193
해양환경측정망,가막만3_환경관리,2019-11-12 15:20:00,127.69028,34.62139,0,249.2,31.55,17.23,1.07,17.2,5.41,8.1,,14.1,,45.5,2.5,101.3,1.25,41.7,28.4,2019,11,4,20194
해양환경측정망,가막만4_환경관리,2019-02-13 00:00:00,127.66111,34.7325,0,117.7,33.69,5.66,1.22,5.7,11.07,8.24,38.1,0.6,2.5,4.6,5.0,10.0,1.55,4.8,14.3,2019,2,1,20191
해양환경측정망,가막만4_환경관리,2019-05-06 00:00:00,127.66111,34.7325,0,140.3,33.54,17.93,0.54,5.2,9.32,8.23,38.0,0.2,1.9,0.4,5.3,1.4,1.59,0.7,21.5,2019,5,2,20192
해양환경측정망,가막만4_환경관리,2019-08-10 14:01:00,127.66111,34.7325,0,183.4,31.51,29.4,2.88,27.7,9.28,8.18,103.0,0.5,,0.6,5.0,30.8,1.57,29.7,27.7,2019,8,3,20193
해양환경측정망,가막만4_환경관리,2019-11-12 08:32:00,127.66111,34.7325,0,191.5,30.75,16.7,5.9,5.5,6.98,8.2,76.6,2.4,1.2,15.0,3.0,24.5,1.42,7.1,20.2,2019,11,4,20194
해양환경측정망,가막만5_환경관리,2019-02-13 00:00:00,127.64417,34.6975,0,110.2,33.71,5.49,0.71,6.4,10.41,8.22,31.8,0.6,2.6,4.6,6.0,5.3,0.98,0.0,11.4,2019,2,1,20191
해양환경측정망,가막만5_환경관리,2019-05-06 00:00:00,127.64417,34.6975,0,154.7,33.58,17.31,0.3,5.1,9.27,8.24,29.3,0.4,0.5,1.8,5.8,2.3,1.43,0.1,18.4,2019,5,2,20192
해양환경측정망,가막만5_환경관리,2019-08-10 13:45:00,127.64417,34.6975,0,185.0,31.64,28.96,0.87,17.8,9.55,8.23,26.9,0.2,3.9,0.7,7.0,7.0,1.11,6.0,17.8,2019,8,3,20193
해양환경측정망,가막만5_환경관리,2019-11-12 09:00:00,127.64417,34.6975,0,180.2,30.83,16.59,4.5,8.8,6.47,8.2,,1.9,0.4,3.1,3.0,8.1,1.51,3.1,18.6,2019,11,4,20194
해양환경측정망,감포연안1_연안,2019-02-12 00:00:00,129.5108333,35.79805556,0,184.9,34.39,13.0,0.77,3.4,8.31,8.26,,6.2,,,4.0,72.6,0.99,0.6,22.1,2019,2,1,20191
해양환경측정망,감포연안1_연안,2019-05-07 00:00:00,129.5108333,35.79805556,0,150.2,34.15,14.93,0.96,2.9,8.47,8.17,,4.6,,27.7,5.0,38.3,1.25,6.1,16.5,2019,5,2,20192
해양환경측정망,감포연안1_연안,2019-08-29 12:30:00,129.5108333,35.79805556,0,131.2,32.18,24.95,1.3,4.5,7.16,8.18,106.6,0.9,2.0,2.6,8.0,4.6,1.14,1.2,11.3,2019,8,3,20193
해양환경측정망,감포연안1_연안,2019-11-06 11:20:00,129.5108333,35.79805556,0,116.6,33.26,19.81,1.42,4.3,7.7,8.15,,6.2,,22.9,6.0,33.6,0.86,4.5,12.3,2019,11,4,20194
해양환경측정망,감포연안2_연안,2019-02-12 00:00:00,129.5305556,35.81555556,0,181.0,34.38,13.09,0.87,6.0,8.44,8.25,,6.5,,,8.5,71.0,0.74,0.1,21.1,2019,2,1,20191
해양환경측정망,감포연안2_연안,2019-05-07 00:00:00,129.5305556,35.81555556,0,152.5,34.22,14.98,0.43,4.4,8.12,8.17,,4.5,,36.5,5.5,43.0,1.08,2.0,17.0,2019,5,2,20192
해양환경측정망,감포연안2_연안,2019-08-29 11:15:00,129.5305556,35.81555556,0,104.1,32.14,25.4,1.38,4.4,7.13,8.17,120.1,1.1,1.0,4.2,8.0,5.4,1.73,0.0,8.2,2019,8,3,20193
해양환경측정망,감포연안2_연안,2019-11-06 11:05:00,129.5305556,35.81555556,0,135.9,33.3,20.16,1.61,4.3,7.88,8.18,,3.2,2.3,12.9,7.5,20.7,0.74,4.6,11.7,2019,11,4,20194
해양환경측정망,감포연안3_연안,2019-02-12 00:00:00,129.4883333,35.7075,0,462.3,34.39,13.5,0.66,4.8,8.44,8.25,,6.0,,,4.5,73.4,0.94,1.0,22.2,2019,2,1,20191
해양환경측정망,감포연안3_연안,2019-05-07 00:00:00,129.4883333,35.7075,0,161.6,34.1,14.41,0.44,5.4,8.43,8.17,,4.6,,28.4,3.6,35.6,1.36,2.7,19.3,2019,5,2,20192
해양환경측정망,감포연안3_연안,2019-08-29 13:15:00,129.4883333,35.7075,0,127.2,32.32,25.18,0.97,4.0,7.3,8.17,129.1,0.4,1.1,1.5,7.5,2.8,1.43,0.9,7.3,2019,8,3,20193
해양환경측정망,감포연안3_연안,2019-11-06 12:40:00,129.4883333,35.7075,0,139.0,33.22,20.25,1.4,3.7,7.76,8.13,,5.9,,25.7,6.5,42.5,0.68,10.9,13.3,2019,11,4,20194
해양환경측정망,감포연안4_연안,2019-02-12 00:00:00,129.5005556,35.74638889,0,177.4,34.39,13.18,0.84,5.9,7.25,8.25,,6.1,,,3.8,74.0,1.06,1.4,22.7,2019,2,1,20191
해양환경측정망,감포연안4_연안,2019-05-07 00:00:00,129.5005556,35.74638889,0,146.3,34.1,14.85,0.45,4.9,8.53,8.15,,4.8,,31.9,3.8,42.6,1.35,5.9,21.6,2019,5,2,20192
해양환경측정망,감포연안4_연안,2019-08-29 12:55:00,129.5005556,35.74638889,0,103.1,32.32,25.36,1.0,3.2,7.29,8.16,140.3,0.7,1.1,3.7,6.0,4.4,1.47,0.0,8.1,2019,8,3,20193
해양환경측정망,감포연안4_연안,2019-11-06 12:20:00,129.5005556,35.74638889,0,142.5,33.25,19.73,1.27,5.6,7.67,8.13,,6.6,,26.2,8.5,42.4,0.79,9.6,11.7,2019,11,4,20194
해양환경측정망,감포연안H1_항만,2019-02-12 00:00:00,129.5055556,35.80694444,0,236.3,34.31,11.61,0.63,11.5,8.34,8.24,,5.0,,,4.0,121.5,1.32,30.9,28.1,2019,2,1,20191
해양환경측정망,감포연안H1_항만,2019-08-29 11:32:00,129.5055556,35.80694444,0,196.9,31.8,25.53,2.14,4.6,6.68,8.12,,2.5,,30.3,4.5,52.1,1.31,19.3,17.6,2019,8,3,20193
해양환경측정망,강구연안1_연안,2019-02-11 00:00:00,129.4205556,36.38055556,0,184.9,34.42,13.51,0.68,3.9,8.59,8.12,,6.5,,,15.0,80.0,1.14,13.6,20.1,2019,2,1,20191
해양환경측정망,강구연안1_연안,2019-05-09 00:00:00,129.4205556,36.38055556,0,140.3,34.19,14.39,0.96,11.2,8.87,8.25,,0.8,,8.5,6.1,13.3,0.54,3.9,16.5,2019,5,2,20192
해양환경측정망,강구연안1_연안,2019-08-12 15:42:00,129.4205556,36.38055556,0,120.7,33.06,25.15,0.76,13.0,5.69,8.22,53.4,0.0,0.6,4.1,10.2,8.4,1.54,4.3,12.6,2019,8,3,20193
해양환경측정망,강구연안1_연안,2019-11-15 13:55:00,129.4205556,36.38055556,0,164.9,33.56,16.62,2.12,4.5,8.95,8.11,,4.1,,39.6,4.0,46.8,1.03,3.1,18.0,2019,11,4,20194
해양환경측정망,강구연안2_연안,2019-02-11 00:00:00,129.3975,36.35,0,214.8,34.39,13.27,0.74,3.5,8.33,8.3,,6.4,,,12.0,67.7,1.49,0.2,20.2,2019,2,1,20191
해양환경측정망,강구연안2_연안,2019-05-09 00:00:00,129.3975,36.35,0,145.4,33.97,14.42,0.53,5.7,8.97,8.24,,1.1,,13.2,6.2,14.7,0.65,0.4,17.5,2019,5,2,20192
해양환경측정망,강구연안2_연안,2019-08-12 15:25:00,129.3975,36.35,0,142.5,32.96,25.09,0.66,10.5,8.52,8.23,37.1,0.1,0.2,7.5,9.8,10.4,1.17,2.8,11.9,2019,8,3,20193
해양환경측정망,강구연안2_연안,2019-11-15 14:20:00,129.3975,36.35,0,195.5,33.53,16.4,2.08,6.1,8.12,8.12,,5.3,,,13.0,56.7,1.29,2.8,18.1,2019,11,4,20194
해양환경측정망,강구연안H1_항만,2019-02-11 00:00:00,129.3905556,36.35666667,0,261.4,33.47,11.92,0.96,3.3,8.66,8.29,,5.8,,,1.8,200.1,1.03,49.2,24.5,2019,2,1,20191
해양환경측정망,강구연안H1_항만,2019-08-12 15:12:00,129.3905556,36.35666667,0,194.1,32.46,24.23,1.41,27.6,8.16,8.03,,0.8,1.6,,4.0,64.8,1.58,4.1,14.2,2019,8,3,20193
해양환경측정망,강릉연안1_연안,2019-02-18 00:00:00,128.9616667,37.78166667,0,172.8,34.34,10.27,0.35,2.4,8.85,8.29,,4.2,,,13.5,89.3,1.04,5.4,23.4,2019,2,1,20191
해양환경측정망,강릉연안1_연안,2019-05-04 00:00:00,128.9616667,37.78166667,0,99.8,34.12,13.15,0.12,9.4,9.31,8.19,53.1,0.0,0.0,2.1,8.2,3.2,0.89,1.1,13.7,2019,5,2,20192
해양환경측정망,강릉연안1_연안,2019-08-06 13:30:00,128.9616667,37.78166667,0,102.7,33.35,25.73,0.59,12.3,8.05,8.2,80.1,0.1,1.3,0.4,8.8,0.8,1.06,0.3,8.8,2019,8,3,20193
해양환경측정망,강릉연안1_연안,2019-11-10 11:43:00,128.9616667,37.78166667,0,122.2,33.2,18.03,1.42,3.0,8.08,8.2,,4.4,2.0,16.7,11.5,26.4,0.96,5.3,14.0,2019,11,4,20194
해양환경측정망,강릉연안2_연안,2019-02-18 00:00:00,128.9555556,37.78,0,172.1,34.33,10.21,0.44,2.8,8.92,8.28,,4.1,,,10.5,88.4,0.92,5.0,23.0,2019,2,1,20191
해양환경측정망,강릉연안2_연안,2019-05-04 00:00:00,128.9555556,37.78,0,115.8,34.08,12.92,0.12,10.7,9.27,8.17,60.6,0.2,1.1,2.9,7.6,4.1,0.85,1.0,13.2,2019,5,2,20192
해양환경측정망,강릉연안2_연안,2019-08-06 13:10:00,128.9555556,37.78,0,110.2,33.34,25.76,0.54,8.9,7.81,8.2,92.3,0.2,1.9,0.7,10.2,1.1,0.96,0.1,9.0,2019,8,3,20193
해양환경측정망,강릉연안2_연안,2019-11-10 11:35:00,128.9555556,37.78,0,128.0,33.21,17.98,1.57,4.0,8.09,8.23,,4.3,1.1,16.9,8.5,27.3,0.94,6.2,10.5,2019,11,4,20194
해양환경측정망,강릉연안3_연안,2019-02-18 00:00:00,128.9761111,37.76972222,0,150.1,34.35,10.72,0.41,1.6,8.74,8.3,,4.3,,,10.5,84.1,0.71,4.3,22.8,2019,2,1,20191
해양환경측정망,강릉연안3_연안,2019-05-04 00:00:00,128.9761111,37.76972222,0,120.5,34.13,13.22,0.17,11.1,9.84,8.2,56.6,0.1,0.5,3.0,7.1,12.2,1.2,9.0,13.7,2019,5,2,20192
해양환경측정망,강릉연안3_연안,2019-08-06 12:40:00,128.9761111,37.76972222,0,114.9,33.37,26.08,0.42,10.8,7.65,8.21,109.9,0.2,2.0,0.4,10.5,0.8,0.8,0.2,7.6,2019,8,3,20193
해양환경측정망,강릉연안3_연안,2019-11-10 11:05:00,128.9761111,37.76972222,0,135.7,33.21,18.02,1.44,3.6,8.16,8.21,,4.9,1.9,18.1,8.5,32.1,0.83,9.1,12.2,2019,11,4,20194
해양환경측정망,강릉연안4_연안,2019-02-18 00:00:00,128.9316667,37.80638889,0,163.3,34.33,10.31,0.31,1.9,8.87,8.31,,4.5,,,14.0,112.1,0.82,20.3,24.2,2019,2,1,20191
해양환경측정망,강릉연안4_연안,2019-05-04 00:00:00,128.9316667,37.80638889,0,125.3,34.15,13.54,0.03,6.2,8.97,8.17,100.5,0.5,0.4,16.3,10.0,17.2,0.82,0.4,12.5,2019,5,2,20192
해양환경측정망,강릉연안4_연안,2019-08-09 13:40:00,128.9316667,37.80638889,0,115.8,32.45,26.77,0.99,8.7,7.91,8.04,124.7,0.2,1.7,0.8,6.8,1.0,1.02,0.0,10.0,2019,8,3,20193
해양환경측정망,강릉연안4_연안,2019-11-10 12:02:00,128.9316667,37.80638889,0,133.6,33.22,18.04,1.6,3.3,8.64,8.2,,4.2,2.5,16.5,10.0,29.0,0.85,8.3,12.9,2019,11,4,20194
해양환경측정망,강릉연안5_연안,2019-02-18 00:00:00,129.0808333,37.66444444,0,155.1,34.36,11.2,0.56,2.7,8.82,8.31,,4.3,,,13.0,78.1,0.85,3.1,22.3,2019,2,1,20191
해양환경측정망,강릉연안5_연안,2019-05-02 00:00:00,129.0808333,37.66444444,0,116.0,34.08,11.84,0.53,5.2,9.69,8.23,27.5,0.0,0.5,2.9,9.8,3.3,1.3,0.4,10.9,2019,5,2,20192
해양환경측정망,강릉연안5_연안,2019-08-06 11:15:00,129.0808333,37.66444444,0,109.6,33.45,23.62,0.4,3.6,8.13,8.19,109.3,0.4,1.2,1.3,9.5,2.0,1.04,0.3,9.3,2019,8,3,20193
해양환경측정망,강릉연안5_연안,2019-11-10 09:45:00,129.0808333,37.66444444,0,145.5,33.2,18.04,1.37,3.0,8.06,8.21,,5.2,2.0,16.6,10.0,33.0,0.78,11.2,13.3,2019,11,4,20194
해양환경측정망,강릉연안6_연안,2019-02-18 00:00:00,129.0372222,37.71666667,0,156.1,34.36,11.19,0.7,4.2,8.69,8.31,,4.3,,,13.5,78.2,0.61,2.3,23.1,2019,2,1,20191
해양환경측정망,강릉연안6_연안,2019-05-02 00:00:00,129.0372222,37.71666667,0,144.2,34.09,12.93,0.31,3.5,9.57,8.22,46.9,0.7,0.6,2.5,10.0,5.1,1.25,1.9,14.8,2019,5,2,20192
해양환경측정망,강릉연안6_연안,2019-08-06 11:50:00,129.0372222,37.71666667,0,107.0,33.38,24.87,0.4,9.3,8.1,8.17,145.2,0.4,2.1,0.8,12.1,4.8,0.9,3.6,8.4,2019,8,3,20193
해양환경측정망,강릉연안6_연안,2019-11-10 10:23:00,129.0372222,37.71666667,0,174.8,33.14,17.96,1.47,3.2,7.99,8.18,,4.3,,19.2,8.0,34.0,0.59,10.4,17.3,2019,11,4,20194
해양환경측정망,강릉연안7_연안,2019-02-18 00:00:00,128.9952778,37.75083333,0,166.2,34.35,10.93,0.48,2.6,8.8,8.29,,4.3,,,13.0,80.4,0.72,3.6,21.3,2019,2,1,20191
해양환경측정망,강릉연안7_연안,2019-05-04 00:00:00,128.9952778,37.75083333,0,110.7,34.08,12.97,0.2,6.9,9.09,8.2,57.5,0.1,0.3,1.8,6.3,6.0,1.09,4.1,14.8,2019,5,2,20192
해양환경측정망,강릉연안7_연안,2019-08-06 12:25:00,128.9952778,37.75083333,0,134.0,33.09,25.04,3.08,9.9,8.47,8.15,,5.7,,,5.8,128.7,1.49,0.1,23.9,2019,8,3,20193
해양환경측정망,강릉연안7_연안,2019-11-10 10:49:00,128.9952778,37.75083333,0,146.3,33.18,17.97,1.56,2.9,8.05,8.19,,4.9,1.1,21.5,9.5,34.1,0.63,7.7,13.9,2019,11,4,20194
해양환경측정망,거제도남안1_연안,2019-02-25 00:00:00,128.5580556,34.81333333,0,110.6,34.14,10.59,0.77,4.4,12.45,8.33,,1.0,,6.5,6.0,10.4,0.96,3.0,15.4,2019,2,1,20191
해양환경측정망,거제도남안1_연안,2019-05-01 00:00:00,128.5580556,34.81333333,0,131.7,34.02,16.07,0.67,3.3,8.41,8.13,,0.1,,2.3,5.9,2.6,1.42,0.2,18.6,2019,5,2,20192
해양환경측정망,거제도남안1_연안,2019-08-08 16:06:00,128.5580556,34.81333333,0,229.3,32.11,25.68,6.86,5.6,7.87,8.03,,7.1,,30.1,2.5,58.6,1.28,21.4,46.2,2019,8,3,20193
해양환경측정망,거제도남안1_연안,2019-11-07 09:01:00,128.5580556,34.81333333,0,407.2,32.24,18.64,3.7,3.1,4.65,8.0,,5.7,,9.8,7.6,33.8,1.15,18.4,21.7,2019,11,4,20194
해양환경측정망,거제도남안2_연안,2019-02-25 00:00:00,128.52,34.78083333,0,181.2,34.37,12.57,0.8,4.8,11.58,8.26,,4.0,,33.3,4.0,55.5,0.73,18.1,22.6,2019,2,1,20191
해양환경측정망,거제도남안2_연안,2019-05-01 00:00:00,128.52,34.78083333,0,142.5,34.08,15.21,1.01,4.6,8.6,8.17,,0.9,,6.5,5.6,9.1,1.32,1.8,19.6,2019,5,2,20192
해양환경측정망,거제도남안2_연안,2019-08-08 15:42:00,128.52,34.78083333,0,139.2,32.43,23.9,2.84,4.3,8.46,8.09,,1.6,,7.2,6.0,19.3,2.0,10.6,19.2,2019,8,3,20193
해양환경측정망,거제도남안2_연안,2019-11-07 09:29:00,128.52,34.78083333,0,191.2,32.37,18.78,5.98,4.2,8.36,8.11,,6.6,,15.3,5.3,30.8,0.88,8.9,24.2,2019,11,4,20194
해양환경측정망,거제도남안3_연안,2019-02-25 00:00:00,128.5402778,34.72277778,0,165.0,34.45,13.75,0.72,5.5,10.73,8.27,,4.6,,39.9,3.7,51.3,0.81,6.7,19.9,2019,2,1,20191
해양환경측정망,거제도남안3_연안,2019-05-01 00:00:00,128.5402778,34.72277778,0,144.9,34.08,14.61,1.15,3.2,9.13,8.21,,0.5,,3.6,7.2,4.6,1.45,0.5,16.7,2019,5,2,20192
해양환경측정망,거제도남안3_연안,2019-08-08 15:00:00,128.5402778,34.72277778,0,157.8,32.73,23.12,2.26,4.7,8.78,8.17,,0.6,1.4,3.9,5.5,13.0,2.02,8.5,20.5,2019,8,3,20193
해양환경측정망,거제도남안3_연안,2019-11-06 15:43:00,128.5402778,34.72277778,0,302.4,32.88,19.36,4.08,6.0,7.53,8.17,,9.6,,31.9,4.3,45.7,0.93,4.1,24.2,2019,11,4,20194
해양환경측정망,거제도남안4_연안,2019-02-25 00:00:00,128.6427778,34.67388889,0,154.8,34.59,15.4,1.35,4.6,11.5,8.29,,3.5,,23.1,7.3,28.9,0.84,2.3,17.9,2019,2,1,20191
해양환경측정망,거제도남안4_연안,2019-05-01 00:00:00,128.6427778,34.67388889,0,166.8,33.94,14.0,0.79,1.5,9.26,8.2,,0.3,,5.3,10.6,6.9,1.28,1.3,15.8,2019,5,2,20192
해양환경측정망,거제도남안4_연안,2019-08-08 14:10:00,128.6427778,34.67388889,0,118.1,32.42,25.0,0.62,5.8,9.14,8.23,62.6,0.3,0.7,1.5,10.0,54.4,1.46,52.7,11.1,2019,8,3,20193
해양환경측정망,거제도남안4_연안,2019-11-06 14:33:00,128.6427778,34.67388889,0,142.6,32.83,19.99,1.78,19.7,6.87,8.09,,13.2,,27.0,6.5,44.3,1.28,4.1,19.3,2019,11,4,20194
해양환경측정망,거제도동안1_연안,2019-02-25 00:00:00,128.7333333,34.90944444,0,158.6,34.26,12.38,0.93,5.1,9.24,8.28,,4.3,,39.0,4.1,48.5,0.83,5.1,18.8,2019,2,1,20191
해양환경측정망,거제도동안1_연안,2019-05-01 00:00:00,128.7333333,34.90944444,0,240.4,32.63,15.01,0.5,2.1,8.63,8.25,50.8,1.4,2.1,65.7,6.8,83.8,1.61,16.7,19.7,2019,5,2,20192
해양환경측정망,거제도동안1_연안,2019-08-08 10:31:00,128.7333333,34.90944444,0,130.6,31.83,24.24,1.79,4.0,9.39,8.09,41.4,0.5,2.1,2.5,6.0,3.2,0.86,0.2,13.5,2019,8,3,20193
