"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","유분[mg/L]","fra_qc"
"해양환경측정망","가로림연안3_연안","2000-11-01 00:00:00","126.2","36.94166667","0","0","표층","31.26","1","16.31","1","0.28","1","3.4","2","6.24255","1","7.71","2","13.104","2","16.4405","1","106.904","1","3.2","2","129.84","2","0.57","2","9.83206","2","",""
"해양환경측정망","가로림연안3_연안","2000-11-01 00:00:00","126.2","36.94166667","0","33","저층","31.27","1","16.31","1","","","","","6.04255","1","7.72","2","13.664","2","16.0666","1","107.744","1","","","133.49","2","0.44","2","12.0817","2","",""
"해양환경측정망","가막만1_환경관리","2000-02-01 00:00:00","127.73417","34.7225","0","0","표층","33.7","1","6.23","1","0.262885","1","12.4","2","11.16","1","8.18","2","0.691176","2","22.2913","1","2.07835","1","1.8","2","17.4344","2","2.54451","2","14.6649","2","",""
"해양환경측정망","가막만1_환경관리","2000-02-01 00:00:00","127.73417","34.7225","0","10","저층","33.74","1","6.11","1","","","","","10.69","1","8.36","2","1.32706","2","24.3912","1","2.29776","1","","","17.3026","2","2.28846","2","13.6778","2","",""
"해양환경측정망","가막만1_환경관리","2000-05-01 00:00:00","127.73417","34.7225","0","0","표층","32.4","1","17.42","1","1.09","1","7.4","2","8.94","1","8.15","2","1.19239","2","47","1","11.1464","1","1.6","2","57.9629","2","2.09642","2","45.6241","2","",""
"해양환경측정망","가막만1_환경관리","2000-05-01 00:00:00","127.73417","34.7225","0","11","저층","33.88","1","17.2","1","","","","","6.75","1","8.26","2","4.18867","2","56","1","11.7735","1","","","146.002","2","2.11242","2","130.039","2","",""
"해양환경측정망","가막만1_환경관리","2000-08-01 00:00:00","127.73417","34.7225","0","0","표층","30.08","1","25.6","1","5.28527","1","42.8","2","4.97","1","8.41","2","8.62319","2","32.3452","1","10.4754","1","2","2","30.4832","2","1.68528","2","11.3846","2","",""
"해양환경측정망","가막만1_환경관리","2000-08-01 00:00:00","127.73417","34.7225","0","12","저층","30.65","1","24.6","1","","","","","4.1","1","8.3","2","5.31884","2","35.9959","1","40.743","1","","","53.1387","2","1.23728","2","7.07692","2","",""
"해양환경측정망","가막만1_환경관리","2000-11-01 00:00:00","127.73417","34.7225","0","0","표층","31.58","1","14.9","1","1.35857","1","9.8","2","8.13","1","8.34","2","3.1114","2","19.3447","1","61.4209","1","1.8","2","111.403","2","2.736","2","46.8709","2","",""
"해양환경측정망","가막만1_환경관리","2000-11-01 00:00:00","127.73417","34.7225","0","16","저층","31.75","1","14.83","1","","","","","8.73","1","8.31","2","5.89105","2","21.6978","1","71.4655","1","","","96.6057","2","2.304","2","19.2491","2","",""
"해양환경측정망","가막만2_환경관리","2000-02-01 00:00:00","127.68833","34.68917","0","0","표층","34.07","1","7.11","1","0.237299","1","11.2","2","10.4","1","8.26","2","0.829412","2","7.59197","1","3.12123","1","1.1","2","10.6485","2","1.72034","2","6.6979","2","",""
"해양환경측정망","가막만2_환경관리","2000-02-01 00:00:00","127.68833","34.68917","0","6","저층","34.02","1","6.65","1","","","","","10.23","1","8.35","2","0.801765","2","9.04575","1","0.705182","1","","","10.179","2","1.68834","2","8.67202","2","",""
"해양환경측정망","가막만2_환경관리","2000-05-01 00:00:00","127.68833","34.68917","0","0","표층","33.88","1","16.83","1","0.41","1","5.6","2","9.96","1","8.27","2","7.30724","2","90","4","33.8711","1","1.7","2","70.1472","2","2.14443","2","28.9688","2","",""
"해양환경측정망","가막만2_환경관리","2000-05-01 00:00:00","127.68833","34.68917","0","5","저층","33.88","1","16.27","1","","","","","7.48","1","8.32","2","1.43699","2","34","1","7.13164","1","","","28.9963","2","1.68034","2","20.4276","2","",""
"해양환경측정망","가막만2_환경관리","2000-08-01 00:00:00","127.68833","34.68917","0","0","표층","30.86","1","27.1","1","3.56649","1","9","2","6.01","1","8.48","2","4.76812","2","18.0345","1","6.3838","1","1.7","2","14.9212","2","1.58928","2","3.76923","2","",""
"해양환경측정망","가막만2_환경관리","2000-08-01 00:00:00","127.68833","34.68917","0","6","저층","31.51","1","25","1","","","","","4.77","1","8.28","2","4.5942","2","36.1419","1","5.00352","1","","","31.5208","2","1.23728","2","21.9231","2","",""
"해양환경측정망","가막만2_환경관리","2000-11-01 00:00:00","127.68833","34.68917","0","0","표층","32.13","1","15.51","1","0.723433","1","12.6","2","8.1","1","8.3","2","9.24863","2","34.5615","1","97.3368","1","1.3","2","128.352","2","1.536","2","21.7666","2","",""
"해양환경측정망","가막만2_환경관리","2000-11-01 00:00:00","127.68833","34.68917","0","7","저층","32.11","1","15.4","1","","","","","7.98","1","8.26","2","113.747","2","34.8752","1","114.345","1","","","249.299","2","1.696","2","21.2071","2","",""
"해양환경측정망","가막만3_환경관리","2000-02-01 00:00:00","127.69028","34.62139","0","0","표층","34.11","1","6.86","1","0.461053","1","14.4","2","11.15","1","7.94","2","0.746471","2","10.338","1","4.54821","1","1.3","2","15.5883","2","1.58432","2","10.2936","2","",""
"해양환경측정망","가막만3_환경관리","2000-02-01 00:00:00","127.69028","34.62139","0","9","저층","34.08","1","6.9","1","","","","","10.55","1","8.14","2","0.746471","2","12.761","1","3.2449","1","","","12.8749","2","1.44029","2","8.88353","2","",""
"해양환경측정망","가막만3_환경관리","2000-05-01 00:00:00","127.69028","34.62139","0","0","표층","33.84","1","15.92","1","0.37","1","48.2","2","9.21","1","8.16","2","4.24982","2","24.8147","1","41.727","1","2.1","2","66.1909","2","1.26425","2","20.2141","2","",""
"해양환경측정망","가막만3_환경관리","2000-05-01 00:00:00","127.69028","34.62139","0","7","저층","33.85","1","14.82","1","","","","","7.64","1","8.28","2","4.55556","2","21.5061","1","40.344","1","","","74.2243","2","1.23225","2","29.3247","2","",""
"해양환경측정망","가막만3_환경관리","2000-08-01 00:00:00","127.69028","34.62139","0","0","표층","31.55","1","24.3","1","0.479111","1","6.4","2","5.06","1","8.24","2","6.5942","2","22.2693","1","39.5599","1","2.3","2","98.9233","2","0.458672","2","52.7692","2","",""
"해양환경측정망","가막만3_환경관리","2000-08-01 00:00:00","127.69028","34.62139","0","9","저층","31.87","1","23.5","1","","","","","4.62","1","8.26","2","10.3043","2","25.0438","1","57.1585","1","","","89.4628","2","0.490672","2","22","2","",""
"해양환경측정망","가막만3_환경관리","2000-11-01 00:00:00","127.69028","34.62139","0","0","표층","32.38","1","16.26","1","0.574933","1","8.2","2","8.14","1","8.33","2","12.6062","2","28.6003","1","130.383","1","1.5","2","166.224","2","1.12","2","23.2351","2","",""
"해양환경측정망","가막만3_환경관리","2000-11-01 00:00:00","127.69028","34.62139","0","9","저층","32.43","1","16.15","1","","","","","7.59","1","8.3","2","12.276","2","32.2084","1","126.205","1","","","179.967","2","1.664","2","41.4864","2","",""
"해양환경측정망","감포연안1_연안","2000-02-01 00:00:00","129.5108333","35.79805556","0","0","표층","32.59","1","11.98","1","0.82","1","2.4","2","8.35845","1","8.21","2","3.5742","2","9.7712","1","26.4712","1","6.5","2","95.2364","2","0.43","2","65.191","2","",""
"해양환경측정망","감포연안1_연안","2000-02-01 00:00:00","129.5108333","35.79805556","0","26","저층","33.05","1","11.48","1","","","","","8.38768","1","8.18","2","1.883","2","4.9662","1","15.6422","1","","","88.571","2","0.64","2","71.0458","2","",""
"해양환경측정망","감포연안1_연안","2000-05-01 00:00:00","129.5108333","35.79805556","0","0","표층","33.81","1","14.71","1","3.05","1","1.3","2","10.2674","1","8.21","2","1.057","2","14.2569","1","12.0092","1","6","2","19.432","2","0.34","2","6.3658","2","",""
"해양환경측정망","감포연안1_연안","2000-05-01 00:00:00","129.5108333","35.79805556","0","29","저층","33.69","1","13.12","1","","","","","10.0748","1","8.14","2","1.127","2","8.9559","1","18.9896","1","","","27.6038","2","1.31","2","7.4872","2","",""
"해양환경측정망","감포연안1_연안","2000-08-01 00:00:00","129.5108333","35.79805556","0","0","표층","32.33","1","23.18","1","1.2017","1","4","2","7.34","1","8.02","2","3.4097","2","0.3782","1","19.1569","1","6.5","2","61.9724","2","1.408","2","39.4058","2","",""
"해양환경측정망","감포연안1_연안","2000-08-01 00:00:00","129.5108333","35.79805556","0","29","저층","31.7","1","15.22","1","","","","","7.67","1","7.85","2","1.4903","2","0.4433","1","11.1741","1","","","88.1062","2","0.848","2","75.4418","2","",""
"해양환경측정망","감포연안1_연안","2000-11-01 00:00:00","129.5108333","35.79805556","0","0","표층","32.81","1","16.37","1","0.62","1","1.2","2","6.34","1","8.05","2","17.0152","2","11.7831","1","1.32622","1","8","2","41.2132","2","1.31","2","22.8718","2","",""
"해양환경측정망","감포연안1_연안","2000-11-01 00:00:00","129.5108333","35.79805556","0","30","저층","33.12","1","14.69","1","","","","","5.39","1","7.94","2","16.4552","2","4.2191","1","18.3096","1","","","50.0724","2","1.21","2","15.3076","2","",""
"해양환경측정망","감포연안2_연안","2000-02-01 00:00:00","129.5305556","35.81555556","0","0","표층","32.84","1","13.27","1","","","5","2","8.42894","1","8.22","2","2.2638","2","5.6916","1","10.8626","1","5","2","77.6874","2","0.44","2","64.561","2","",""
"해양환경측정망","감포연안2_연안","2000-02-01 00:00:00","129.5305556","35.81555556","0","44","저층","33.29","1","11.68","1","","","","","8.7284","1","8.26","2","2.3254","2","4.34","1","12.7176","1","","","99.057","2","0.56","2","84.014","2","",""
"해양환경측정망","감포연안2_연안","2000-05-01 00:00:00","129.5305556","35.81555556","0","0","표층","33.66","1","14.79","1","","","1.8","2","10.296","1","8.2","2","0","2","9.6906","1","0","1","5.5","2","24.5042","2","0.66","2","24.5042","2","",""
"해양환경측정망","감포연안2_연안","2000-05-01 00:00:00","129.5305556","35.81555556","0","44","저층","33.39","1","13.58","1","","","","","10.4021","1","8.15","2","0","2","8.4072","1","0","1","","","7.9562","2","1.06","2","7.9562","2","",""
"해양환경측정망","감포연안2_연안","2000-08-01 00:00:00","129.5305556","35.81555556","0","0","표층","31.84","1","22.8","1","1.3165","1","6.8","2","7.53","1","8.07","2","1.3083","2","2.7466","1","11.4443","1","11.5","2","91.4032","2","1.984","2","78.6506","2","",""
"해양환경측정망","감포연안2_연안","2000-08-01 00:00:00","129.5305556","35.81555556","0","43","저층","32.48","1","15.45","1","","","","","7.68","1","7.88","2","2.2505","2","1.6957","1","11.5535","1","","","85.7318","2","1.216","2","71.9278","2","",""
"해양환경측정망","감포연안2_연안","2000-11-01 00:00:00","129.5305556","35.81555556","0","0","표층","32.62","1","16.3","1","0.44","1","2.7","2","6.07","1","8.04","2","14.9712","2","20.8351","1","12.9364","1","8","2","80.7016","2","1.41","2","52.794","2","",""
"해양환경측정망","감포연안2_연안","2000-11-01 00:00:00","129.5305556","35.81555556","0","44","저층","33.09","1","15.6","1","","","","","4.05","1","8.06","2","14.1046","2","4.5167","1","1.44522","1","","","32.1986","2","1.72","2","16.6488","2","",""
"해양환경측정망","감포연안H1_항만","2000-02-01 00:00:00","129.5055556","35.80694444","0","0","표층","32.73","1","11.33","1","","","8","2","7.52261","1","8.16","2","5.3522","2","20.3701","1","62.4778","1","4","2","138.222","2","0.46","2","70.392","2","",""
"해양환경측정망","감포연안H1_항만","2000-02-01 00:00:00","129.5055556","35.80694444","0","7","저층","33.27","1","10.68","1","","","","","8.11711","1","8.12","2","2.2554","2","6.6774","1","23.1644","1","","","146.982","2","0.86","2","121.562","2","",""
"해양환경측정망","감포연안H1_항만","2000-05-01 00:00:00","129.5055556","35.80694444","0","0","표층","33.21","1","14.67","1","","","1.2","2","9.5524","1","8.15","2","29.1004","2","3.3077","1","12.5944","1","4","2","62.9594","2","0.54","2","21.2646","2","",""
"해양환경측정망","감포연안H1_항만","2000-05-01 00:00:00","129.5055556","35.80694444","0","7","저층","33.69","1","14.37","1","","","","","9.27796","1","8.15","2","1.3776","2","14.2569","1","11.7754","1","","","23.9008","2","0.51","2","10.7478","2","",""
"해양환경측정망","감포연안H1_항만","2000-08-01 00:00:00","129.5055556","35.80694444","0","0","표층","31.12","1","22.83","1","3.45883","1","5.4","2","7.08","1","8.09","2","3.6085","2","1.9902","1","13.8761","1","4.2","2","59.444","2","0.848","2","41.9594","2","",""
"해양환경측정망","감포연안H1_항만","2000-08-01 00:00:00","129.5055556","35.80694444","0","7","저층","31.56","1","22.43","1","","","","","6.45","1","8.1","2","3.0121","2","0.6417","1","11.8433","1","","","87.941","2","1.36","2","73.0856","2","",""
"해양환경측정망","감포연안H1_항만","2000-11-01 00:00:00","129.5055556","35.80694444","0","0","표층","32.14","1","14.83","1","0.9","1","11.6","2","4.52","1","7.92","2","16.7982","2","14.2259","1","44.8354","1","4","2","77.133","2","2.2","2","15.4994","2","",""
"해양환경측정망","감포연안H1_항만","2000-11-01 00:00:00","129.5055556","35.80694444","0","7","저층","32.64","1","14.72","1","","","","","4.14","1","7.91","2","15.6502","2","11.904","1","27.8842","1","","","70.5236","2","1.82","2","26.9892","2","",""
"해양환경측정망","강구연안1_연안","2000-02-01 00:00:00","129.4205556","36.38055556","0","0","표층","32.29","1","11.88","1","0.06","1","1.8","2","8.49944","1","8.18","2","3.892","2","8.029","1","30.1","1","12","2","102.966","2","0.4","2","68.9738","2","",""
"해양환경측정망","강구연안1_연안","2000-02-01 00:00:00","129.4205556","36.38055556","0","53","저층","33.28","1","11.32","1","","","","","8.71838","1","8.23","2","4.2994","2","6.5782","1","40.2962","1","","","100.331","2","0.46","2","55.7354","2","",""
"해양환경측정망","강구연안1_연안","2000-05-01 00:00:00","129.4205556","36.38055556","0","0","표층","34.35","1","15.21","1","1.65","1","1.6","2","9.5095","1","8.15","2","1.1088","2","10.0936","1","23.9078","1","9","2","36.1718","2","1.2","2","11.1552","2","",""
"해양환경측정망","강구연안1_연안","2000-05-01 00:00:00","129.4205556","36.38055556","0","53","저층","33.74","1","14.6","1","","","","","9.17835","1","8.13","2","1.8102","2","10.3137","1","84.847","1","","","99.1578","2","1.2","2","12.5006","2","",""
"해양환경측정망","강구연안1_연안","2000-08-01 00:00:00","129.4205556","36.38055556","0","0","표층","30.97","1","23.66","1","4.64857","1","2.6","2","8","1","8.07","2","0.6335","2","0.2201","1","28.5201","1","9","2","165.756","2","0.992","2","136.602","2","",""
"해양환경측정망","강구연안1_연안","2000-08-01 00:00:00","129.4205556","36.38055556","0","60","저층","32.28","1","15.78","1","","","","","6.82","1","7.84","2","3.0401","2","1.6988","1","32.3995","1","","","172.042","2","0.016","2","136.602","2","",""
"해양환경측정망","강구연안1_연안","2000-11-01 00:00:00","129.4205556","36.38055556","0","0","표층","32.31","1","15.72","1","3.41","1","2.3","2","7.11","1","8.01","2","7.791","2","3.8378","1","9.6124","1","7","2","22.9866","2","0.79","2","5.5832","2","",""
"해양환경측정망","강구연안1_연안","2000-11-01 00:00:00","129.4205556","36.38055556","0","60","저층","32.88","1","15.35","1","","","","","6.52","1","8.01","2","4.3386","2","3.6394","1","10.094","1","","","29.7542","2","1.11","2","15.3216","2","",""
"해양환경측정망","강구연안H1_항만","2000-02-01 00:00:00","129.3905556","36.35666667","0","0","표층","31.92","1","10.83","1","","","4.4","2","8.20739","1","8.12","2","5.4768","2","9.9696","1","45.2088","1","2.5","2","109.033","2","0.53","2","58.3478","2","",""
"해양환경측정망","강구연안H1_항만","2000-02-01 00:00:00","129.3905556","36.35666667","0","8","저층","32.61","1","10.83","1","","","","","8.71838","1","8.14","2","2.9456","2","4.2408","1","12.3228","1","","","121.436","2","0.46","2","106.168","2","",""
"해양환경측정망","강구연안H1_항만","2000-05-01 00:00:00","129.3905556","36.35666667","0","0","표층","32.99","1","14.85","1","","","2.9","2","9.438","1","8.11","2","1.876","2","20.0353","1","27.5394","1","3.5","2","75.3396","2","0.19","2","45.9242","2","",""
"해양환경측정망","강구연안H1_항만","2000-05-01 00:00:00","129.3905556","36.35666667","0","8","저층","32.91","1","15.27","1","","","","","9.22104","1","8.13","2","1.5162","2","8.8102","1","27.3686","1","","","45.9102","2","1.31","2","17.0254","2","",""
"해양환경측정망","강구연안H1_항만","2000-08-01 00:00:00","129.3905556","36.35666667","0","0","표층","29.95","1","23.41","1","4.3207","1","4.4","2","7.63","1","8.06","2","1.0521","2","0.589","1","30.2967","1","4.8","2","148.501","2","1.136","2","117.152","2","",""
"해양환경측정망","강구연안H1_항만","2000-08-01 00:00:00","129.3905556","36.35666667","0","9","저층","31.9","1","22.77","1","","","","","7.49","1","8.05","2","1.2089","2","0.062","1","28.0455","1","","","165.857","2","1.504","2","136.602","2","",""
"해양환경측정망","강구연안H1_항만","2000-11-01 00:00:00","129.3905556","36.35666667","0","0","표층","23.79","1","13.74","1","2.61","1","3.6","2","6.67","1","7.87","2","35.2912","2","30.2126","1","216.205","1","3","2","442.984","2","1.38","2","191.488","2","",""
"해양환경측정망","강구연안H1_항만","2000-11-01 00:00:00","129.3905556","36.35666667","0","9","저층","32.76","1","15.13","1","","","","","7.18","1","8","2","9.3198","2","4.0393","1","122.158","1","","","162.278","2","0.9","2","30.8","2","",""
"해양환경측정망","강릉연안1_연안","2000-02-01 00:00:00","128.9616667","37.78166667","0","0","표층","33.71","1","8.91","1","","","4.2","2","8.48937","1","8.06","2","0","2","42.7573","1","0","1","10","2","180.977","2","0.57","2","0","2","",""
"해양환경측정망","강릉연안1_연안","2000-02-01 00:00:00","128.9616667","37.78166667","0","16","저층","33.8","1","8.68","1","","","","","8.32756","1","8.04","2","0","2","40.5738","1","0","1","","","159.441","2","0.35","2","0","2","",""
"해양환경측정망","강릉연안1_연안","2000-05-01 00:00:00","128.9616667","37.78166667","0","0","표층","34.12","1","12.03","1","","","0.8","2","9.4523","1","8.1","2","5.7848","2","10.0006","1","28.1414","1","9","2","38.2256","2","0.69","2","4.2994","2","",""
"해양환경측정망","강릉연안1_연안","2000-05-01 00:00:00","128.9616667","37.78166667","0","20","저층","33.79","1","9.45","1","","","","","10.0243","1","8.02","2","4.8216","2","7.006","1","26.1562","1","","","51.0188","2","0.27","2","20.041","2","",""
"해양환경측정망","강릉연안1_연안","2000-08-01 00:00:00","128.9616667","37.78166667","0","0","표층","33.12","1","16.7","1","3.9997","1","1.6","2","9.01","1","8.21","2","2.8133","2","6.3488","1","30.9309","1","11.2","2","96.7582","2","1.056","2","63.014","2","",""
"해양환경측정망","강릉연안1_연안","2000-08-01 00:00:00","128.9616667","37.78166667","0","19","저층","33.4","1","9.38","1","","","","","10.42","1","8.16","2","2.5697","2","9.6255","1","30.4759","1","","","96.2668","2","0.992","2","63.2212","2","",""
"해양환경측정망","강릉연안1_연안","2000-11-01 00:00:00","128.9616667","37.78166667","0","0","표층","33.05","1","13.88","1","0.893968","1","1.9","2","8.21","1","8.1","2","20.6724","2","3.5588","1","124.142","1","8","2","179.663","2","1.408","2","34.8488","2","",""
"해양환경측정망","강릉연안1_연안","2000-11-01 00:00:00","128.9616667","37.78166667","0","20","저층","33.3","1","11.85","1","","","","","7.85","1","8.02","2","19.1716","2","6.1504","1","44.31","1","","","84.2674","2","1.808","2","20.7858","2","",""
"해양환경측정망","강릉연안2_연안","2000-02-01 00:00:00","128.9555556","37.78","0","0","표층","33.16","1","8.77","1","","","4.1","2","8.42894","1","8.06","2","6.3266","2","24.4869","1","76.0536","1","10","2","120.105","2","0.46","2","37.7244","2","",""
"해양환경측정망","강릉연안2_연안","2000-02-01 00:00:00","128.9555556","37.78","0","24","저층","33.67","1","8.52","1","","","","","8.00688","1","8.04","2","5.5118","2","18.5287","1","71.3426","1","","","105.213","2","0.5","2","28.3584","2","",""
"해양환경측정망","강릉연안2_연안","2000-05-01 00:00:00","128.9555556","37.78","0","0","표층","34.13","1","12.3","1","","","1.5","2","9.3379","1","8.1","2","4.34","2","6.3457","1","13.412","1","9.5","2","51.8546","2","0.13","2","34.1026","2","",""
"해양환경측정망","강릉연안2_연안","2000-05-01 00:00:00","128.9555556","37.78","0","31","저층","33.57","1","4.71","1","","","","","10.3532","1","7.88","2","6.5436","2","8.1065","1","35.693","1","","","108.56","2","1.6","2","66.3236","2","",""
"해양환경측정망","강릉연안2_연안","2000-08-01 00:00:00","128.9555556","37.78","0","0","표층","33.64","1","22.69","1","3.2487","1","1.6","2","7.78","1","8.22","2","2.0979","2","6.4542","1","28.9513","1","9.5","2","115.542","2","1.088","2","84.4928","2","",""
"해양환경측정망","강릉연안2_연안","2000-08-01 00:00:00","128.9555556","37.78","0","24","저층","33.57","1","8.14","1","","","","","10.29","1","8.12","2","1.7325","2","4.34","1","36.6009","1","","","108.993","2","2","2","70.6594","2","",""
"해양환경측정망","강릉연안2_연안","2000-11-01 00:00:00","128.9555556","37.78","0","0","표층","33.38","1","14.72","1","0.363939","1","0.5","2","8.02","1","8.1","2","10.0142","2","5.7505","1","23.233","1","12","2","60.7796","2","1.36","2","27.5324","2","",""
"해양환경측정망","강릉연안2_연안","2000-11-01 00:00:00","128.9555556","37.78","0","22","저층","33.24","1","2.15","1","","","","","7.88","1","7.8","2","12.2108","2","4.1571","1","41.9636","1","","","72.7748","2","1.216","2","18.6004","2","",""
