station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L]
가로림연안2_연안,2010-05-01,126.3133333,36.99,0,0.0,표층,344.0,31.96,8.76,1.7388,7.6,10.4375,8.03,234.0,5.0,18.0,158.0,2.1,170.0,0.852383,7.0,,32.0
가로림연안2_연안,2010-05-01,126.3133333,36.99,0,20.0,저층,312.0,31.8,8.54,1.47588,9.6,10.5582,8.09,240.0,6.0,23.0,164.0,,200.0,1.05802,30.0,,31.0
가로림연안2_연안,2010-08-01,126.3133333,36.99,0,0.0,표층,624.0,31.6,22.08,2.00438,12.2,8.22,7.89,80.0,4.0,7.0,11.0,3.2,24.0,0.902267,9.0,,18.1159
가로림연안2_연안,2010-08-01,126.3133333,36.99,0,17.0,저층,66.0,31.63,21.67,1.32596,12.4,8.2,7.91,8.0,4.0,1.0,13.0,,49.0,1.38168,32.0,,59.9548
가로림연안2_연안,2010-11-01,126.3133333,36.99,0,0.0,표층,172.0,30.29,13.17,0.22288,50.4,8.43,8.17,189.0,17.0,23.0,103.0,4.0,128.0,1.33993,8.0,,31.8182
가로림연안2_연안,2010-11-01,126.3133333,36.99,0,13.0,저층,160.956,30.54,13.57,0.31356,57.4,8.36,8.11,184.0,14.0,22.0,92.0,,120.0,0.6666,14.0,,30.2691
가로림연안3_연안,2010-02-01,126.2,36.94166667,0,0.0,표층,291.0,31.99,3.9,0.24972,30.2,10.86,8.04,562.0,2.0,27.0,198.0,0.5,202.0,1.58508,2.0,,43.0
가로림연안3_연안,2010-02-01,126.2,36.94166667,0,35.0,저층,258.0,32.0,3.84,0.21344,51.8,10.53,8.02,518.0,1.0,23.0,173.0,,177.0,1.28538,3.0,,60.6742
가로림연안3_연안,2010-05-01,126.2,36.94166667,0,0.0,표층,286.0,32.1,8.08,1.43636,8.2,11.0821,8.15,267.0,6.0,22.0,214.0,2.1,227.0,0.494183,7.0,,47.0
가로림연안3_연안,2010-05-01,126.2,36.94166667,0,34.0,저층,313.0,31.83,8.02,1.66404,12.0,10.4778,8.11,262.0,8.0,20.0,165.0,,181.0,0.978417,8.0,,37.0
가로림연안3_연안,2010-08-01,126.2,36.94166667,0,0.0,표층,557.0,31.67,21.61,1.84666,7.2,8.64,8.05,15.0,1.0,2.0,6.0,5.5,54.0,0.821467,47.0,,13.587
가로림연안3_연안,2010-08-01,126.2,36.94166667,0,30.0,저층,30.0,31.65,20.9,1.21852,16.6,8.13,7.97,8.0,5.0,8.0,8.0,,21.0,0.45248,8.0,,62.2172
가로림연안3_연안,2010-11-01,126.2,36.94166667,0,0.0,표층,146.0,30.79,13.76,0.06488,54.2,8.35,7.98,182.0,9.0,19.0,88.0,5.7,102.0,1.96613,5.0,,30.6818
가로림연안3_연안,2010-11-01,126.2,36.94166667,0,33.0,저층,134.661,30.8,13.75,0.38072,53.0,8.13,7.97,182.0,9.0,25.0,86.0,,102.0,1.0908,7.0,,26.9058
가막만1_환경관리,2010-02-01,127.73417,34.7225,0,0.0,표층,156.0,32.66,5.59,3.6,19.2,10.93,8.1,123.0,3.0,11.0,61.0,2.3,104.0,0.12,40.0,,19.0
가막만1_환경관리,2010-02-01,127.73417,34.7225,0,10.0,저층,128.0,32.87,5.03,4.81,10.8,11.06,8.11,130.0,3.0,4.0,49.0,,63.0,0.28,11.0,,17.0
가막만1_환경관리,2010-05-01,127.73417,34.7225,0,0.0,표층,136.0,33.2,17.62,2.12,16.0,9.42,8.17,15.0,3.0,7.0,7.0,2.8,21.0,0.78,11.0,,11.0
가막만1_환경관리,2010-05-01,127.73417,34.7225,0,11.0,저층,161.0,33.19,17.38,2.46,15.6,8.5,8.25,26.0,5.0,5.0,8.0,,20.0,0.73,7.0,,14.0
가막만1_환경관리,2010-08-01,127.73417,34.7225,0,0.0,표층,86.0,31.6,24.85,10.01,6.0,7.48,8.04,330.0,0.0,0.0,3.0,1.5,4.0,1.14,1.0,,26.0
가막만1_환경관리,2010-08-01,127.73417,34.7225,0,12.0,저층,84.0,32.28,23.05,6.63,9.0,6.48,7.87,414.0,0.0,4.0,3.0,,8.0,0.98,5.0,,25.0
가막만1_환경관리,2010-11-01,127.73417,34.7225,0,0.0,표층,192.0,31.69,13.85,20.14,16.0,9.88,7.97,571.0,2.0,10.0,3.0,1.2,5.0,0.74,0.0,,31.0
가막만1_환경관리,2010-11-01,127.73417,34.7225,0,16.0,저층,229.0,31.69,13.81,20.86,21.2,9.55,7.91,604.0,4.0,12.0,5.0,,12.0,0.65,3.0,,37.0
가막만2_환경관리,2010-02-01,127.68833,34.68917,0,0.0,표층,118.0,32.9,5.5,2.89,36.0,10.89,8.12,115.0,1.0,3.0,18.0,2.4,24.0,0.23,5.0,,15.0
가막만2_환경관리,2010-02-01,127.68833,34.68917,0,6.0,저층,110.0,33.0,4.94,4.56,12.4,10.55,8.1,156.0,1.0,7.0,19.0,,25.0,0.34,5.0,,17.0
가막만2_환경관리,2010-05-01,127.68833,34.68917,0,0.0,표층,76.0,33.27,17.69,1.67,15.2,8.63,8.23,58.0,2.0,5.0,22.0,1.0,30.0,0.65,5.0,,9.0
가막만2_환경관리,2010-05-01,127.68833,34.68917,0,5.0,저층,90.0,33.35,17.24,1.75,13.6,8.55,8.23,67.0,2.0,5.0,15.0,,22.0,0.82,5.0,,12.0
가막만2_환경관리,2010-08-01,127.68833,34.68917,0,0.0,표층,91.0,31.45,27.39,5.89,5.4,7.69,8.14,220.0,1.0,7.0,41.0,3.0,42.0,1.18,1.0,,17.0
가막만2_환경관리,2010-08-01,127.68833,34.68917,0,6.0,저층,92.0,32.35,22.69,2.99,6.6,6.23,7.97,216.0,0.0,2.0,2.0,,6.0,1.15,4.0,,16.0
가막만2_환경관리,2010-11-01,127.68833,34.68917,0,0.0,표층,194.0,31.67,14.56,13.17,9.8,9.59,8.0,312.0,2.0,6.0,2.0,1.7,4.0,0.81,0.0,,23.0
가막만2_환경관리,2010-11-01,127.68833,34.68917,0,7.0,저층,161.0,31.7,14.53,10.59,12.2,9.26,7.91,315.0,4.0,6.0,3.0,,11.0,1.05,4.0,,25.0
가막만3_환경관리,2010-02-01,127.69028,34.62139,0,0.0,표층,158.0,33.11,7.09,2.03,10.4,9.58,8.05,280.0,3.0,11.0,67.0,2.9,79.0,0.17,9.0,,21.0
가막만3_환경관리,2010-02-01,127.69028,34.62139,0,9.0,저층,174.0,33.1,6.87,2.14,9.6,9.88,8.04,277.0,3.0,11.0,61.0,,83.0,0.25,19.0,,20.0
가막만3_환경관리,2010-05-01,127.69028,34.62139,0,0.0,표층,196.0,33.34,16.51,1.31,13.6,8.67,8.23,31.0,8.0,4.0,3.0,4.0,17.0,0.63,6.0,,15.0
가막만3_환경관리,2010-05-01,127.69028,34.62139,0,7.0,저층,98.0,33.5,14.56,2.57,15.6,8.5,8.17,46.0,5.0,7.0,2.0,,12.0,0.46,5.0,,11.0
가막만3_환경관리,2010-08-01,127.69028,34.62139,0,0.0,표층,75.0,31.63,27.49,2.08,4.6,7.98,8.1,172.0,0.0,1.0,1.0,4.0,3.0,0.81,1.0,,14.0
가막만3_환경관리,2010-08-01,127.69028,34.62139,0,9.0,저층,59.0,32.62,21.19,3.98,5.6,6.81,8.08,231.0,2.0,4.0,11.0,,13.0,0.77,0.0,,16.0
가막만3_환경관리,2010-11-01,127.69028,34.62139,0,0.0,표층,185.0,32.2,16.03,2.49,9.2,9.75,7.82,609.0,20.0,19.0,60.0,1.2,81.0,0.47,1.0,,22.0
가막만3_환경관리,2010-11-01,127.69028,34.62139,0,9.0,저층,180.0,32.23,15.99,2.12,15.4,7.72,8.0,576.0,16.0,21.0,67.0,,87.0,0.45,3.0,,29.0
가막만4_환경관리,2010-02-01,127.66111,34.7325,0,0.0,표층,114.0,32.86,6.02,2.52,6.4,10.85,8.08,172.0,2.0,6.0,33.0,4.0,42.0,0.25,7.0,,15.0
가막만4_환경관리,2010-02-01,127.66111,34.7325,0,9.0,저층,98.0,32.86,3.85,1.56,8.8,10.72,8.09,94.0,1.0,5.0,17.0,,24.0,0.28,6.0,,14.0
가막만4_환경관리,2010-05-01,127.66111,34.7325,0,0.0,표층,100.0,33.15,17.41,2.28,13.2,9.38,8.2,49.0,2.0,6.0,23.0,3.5,30.0,0.76,4.0,,11.0
가막만4_환경관리,2010-05-01,127.66111,34.7325,0,8.0,저층,120.0,33.15,17.19,2.51,10.4,8.84,8.25,63.0,3.0,7.0,14.0,,21.0,0.35,4.0,,13.0
가막만4_환경관리,2010-08-01,127.66111,34.7325,0,0.0,표층,76.0,31.1,29.22,1.92,4.0,7.56,8.16,117.0,0.0,0.0,1.0,3.5,1.0,1.07,0.0,,13.0
가막만4_환경관리,2010-08-01,127.66111,34.7325,0,9.0,저층,115.0,32.21,23.17,2.13,2.8,4.45,7.9,573.0,2.0,8.0,1.0,,4.0,0.57,1.0,,24.0
가막만4_환경관리,2010-11-01,127.66111,34.7325,0,0.0,표층,155.0,31.63,14.67,11.92,9.4,9.55,8.1,259.0,0.0,4.0,3.0,2.4,3.0,0.76,0.0,,17.0
가막만4_환경관리,2010-11-01,127.66111,34.7325,0,9.0,저층,168.0,31.77,14.58,13.52,9.6,9.38,8.1,281.0,3.0,5.0,4.0,,10.0,1.08,4.0,,25.0
가막만5_환경관리,2010-02-01,127.64417,34.6975,0,0.0,표층,157.0,32.48,4.72,2.63,5.6,11.14,8.18,129.0,1.0,5.0,23.0,6.0,45.0,0.33,21.0,,16.0
가막만5_환경관리,2010-02-01,127.64417,34.6975,0,8.0,저층,103.0,32.9,4.19,1.65,5.6,10.64,8.09,124.0,1.0,5.0,14.0,,20.0,0.3,5.0,,12.0
가막만5_환경관리,2010-05-01,127.64417,34.6975,0,0.0,표층,89.0,33.13,17.9,0.66,10.0,8.42,8.1,47.0,2.0,10.0,6.0,6.0,12.0,0.43,4.0,,10.0
가막만5_환경관리,2010-05-01,127.64417,34.6975,0,8.0,저층,137.0,33.09,16.68,0.65,8.8,7.71,8.22,208.0,4.0,11.0,40.0,,69.0,0.39,25.0,,17.0
가막만5_환경관리,2010-08-01,127.64417,34.6975,0,0.0,표층,58.0,31.48,28.6,3.31,6.6,7.44,8.13,170.0,0.0,0.0,1.0,4.3,3.0,1.42,2.0,,10.0
가막만5_환경관리,2010-08-01,127.64417,34.6975,0,9.0,저층,120.0,31.95,24.18,3.54,6.8,3.53,7.72,553.0,0.0,12.0,0.0,,2.0,1.07,2.0,,30.0
가막만5_환경관리,2010-11-01,127.64417,34.6975,0,0.0,표층,199.0,31.52,14.56,13.98,6.6,9.17,7.95,418.0,5.0,8.0,10.0,3.0,16.0,0.66,0.0,,21.0
가막만5_환경관리,2010-11-01,127.64417,34.6975,0,9.0,저층,176.0,31.54,14.54,12.18,8.4,8.97,7.94,428.0,6.0,10.0,16.0,,24.0,1.02,2.0,,25.0
감포연안1_연안,2010-02-01,129.5108333,35.79805556,0,0.0,표층,296.0,34.23,12.55,1.412,7.4,8.43531,8.14,278.0,6.0,15.0,85.0,4.5,108.0,0.32,17.0,,25.0
감포연안1_연안,2010-02-01,129.5108333,35.79805556,0,26.0,저층,190.0,34.27,11.84,1.288,14.0,8.40342,8.13,288.0,5.0,15.0,84.0,,104.0,0.528,15.0,,32.0
감포연안1_연안,2010-05-01,129.5108333,35.79805556,0,0.0,표층,186.965,34.15,13.6,4.44,11.2,9.95016,8.23,59.0,1.0,1.0,1.0,5.0,3.0,0.410667,1.0,,14.0
감포연안1_연안,2010-05-01,129.5108333,35.79805556,0,29.0,저층,501.367,34.08,10.3,10.4,7.0,9.85448,8.18,104.0,1.0,4.0,28.0,,30.0,0.298667,1.0,,42.0
감포연안1_연안,2010-08-01,129.5108333,35.79805556,0,0.0,표층,1337.48,32.42,22.43,5.64,14.4,10.9388,8.22,193.0,1.0,0.0,6.0,2.0,29.0,1.808,22.0,,35.0
감포연안1_연안,2010-08-01,129.5108333,35.79805556,0,29.0,저층,929.3,34.23,13.64,3.008,3.0,6.29858,8.13,434.0,4.0,17.0,140.0,,170.0,0.688,26.0,,41.0
감포연안1_연안,2010-11-01,129.5108333,35.79805556,0,0.0,표층,295.193,33.52,19.14,1.272,9.8,8.00477,8.21,157.0,4.0,7.0,41.0,4.5,107.0,0.688,62.0,,38.0
감포연안1_연안,2010-11-01,129.5108333,35.79805556,0,30.0,저층,343.22,33.52,19.12,1.292,9.0,7.09586,8.2,164.0,4.0,7.0,41.0,,108.0,0.848,63.0,,37.0
감포연안2_연안,2010-02-01,129.5305556,35.81555556,0,0.0,표층,272.0,34.18,12.55,1.392,4.6,8.45125,8.14,282.0,6.0,14.0,83.0,4.5,99.0,0.352,10.0,,35.0
감포연안2_연안,2010-02-01,129.5305556,35.81555556,0,44.0,저층,238.0,34.25,11.07,0.788,9.8,8.13234,8.14,338.0,6.0,18.0,103.0,,127.0,0.24,18.0,,21.0
감포연안2_연안,2010-05-01,129.5305556,35.81555556,0,0.0,표층,352.83,34.16,13.8,2.444,9.8,10.0139,8.25,52.0,1.0,1.0,6.0,5.0,8.0,0.394667,1.0,,32.0
감포연안2_연안,2010-05-01,129.5305556,35.81555556,0,44.0,저층,414.712,34.06,7.3,6.0,9.4,9.2326,8.1,176.0,2.0,13.0,77.0,,79.0,0.538667,0.0,,32.0
감포연안2_연안,2010-08-01,129.5305556,35.81555556,0,0.0,표층,1729.75,32.96,20.59,6.16,14.6,9.9661,8.11,153.0,0.0,0.0,8.0,3.5,23.0,1.36,15.0,,18.0
감포연안2_연안,2010-08-01,129.5305556,35.81555556,0,43.0,저층,1152.15,33.99,8.73,0.476,13.8,6.60155,8.08,585.0,6.0,34.0,204.0,,236.0,0.624,26.0,,43.0
감포연안2_연안,2010-11-01,129.5305556,35.81555556,0,0.0,표층,285.979,33.38,19.21,1.3,12.0,7.55829,8.22,153.0,4.0,4.0,42.0,7.0,76.0,0.976,30.0,,34.0
감포연안2_연안,2010-11-01,129.5305556,35.81555556,0,44.0,저층,498.382,33.62,16.22,0.844,11.6,7.94099,8.2,229.0,5.0,10.0,59.0,,107.0,0.864,43.0,,39.0
감포연안3_연안,2010-02-01,129.4883333,35.7075,0,0.0,표층,191.0,34.24,12.85,0.936,13.2,8.41936,8.13,287.0,6.0,15.0,86.0,4.5,104.0,0.336,12.0,,32.0
감포연안3_연안,2010-02-01,129.4883333,35.7075,0,27.0,저층,271.0,34.26,11.86,1.288,12.2,8.43531,8.13,296.0,6.0,15.0,88.0,,106.0,0.4,12.0,,34.0
감포연안3_연안,2010-05-01,129.4883333,35.7075,0,0.0,표층,402.251,34.01,14.3,3.716,16.2,9.42395,8.21,153.0,1.0,3.0,8.0,4.5,10.0,0.394667,1.0,,12.0
감포연안3_연안,2010-05-01,129.4883333,35.7075,0,32.0,저층,294.539,33.82,8.6,11.28,17.8,9.50367,8.16,152.0,2.0,9.0,43.0,,46.0,0.202667,1.0,,43.0
감포연안3_연안,2010-08-01,129.4883333,35.7075,0,0.0,표층,1066.38,32.88,21.04,7.12,21.2,11.162,8.24,184.0,0.0,0.0,8.0,2.5,27.0,1.66933,19.0,,31.0
감포연안3_연안,2010-08-01,129.4883333,35.7075,0,35.0,저층,1488.17,34.04,13.36,1.372,13.2,6.01155,8.11,534.0,5.0,25.0,175.0,,206.0,0.645333,26.0,,34.0
감포연안3_연안,2010-11-01,129.4883333,35.7075,0,0.0,표층,405.073,33.24,20.32,0.928,14.2,7.98883,8.19,201.0,4.0,7.0,46.0,4.0,102.0,0.416,52.0,,13.0
감포연안3_연안,2010-11-01,129.4883333,35.7075,0,30.0,저층,430.487,33.6,16.26,0.94,12.2,6.71317,8.15,348.0,6.0,17.0,102.0,,163.0,0.448,55.0,,46.0
감포연안4_연안,2010-02-01,129.5005556,35.74638889,0,0.0,표층,200.0,34.28,12.34,1.256,20.0,8.30774,8.13,295.0,6.0,15.0,88.0,4.5,108.0,0.282667,14.0,,23.0
감포연안4_연안,2010-02-01,129.5005556,35.74638889,0,36.0,저층,201.0,34.18,11.34,1.144,7.2,8.21207,8.13,295.0,6.0,15.0,89.0,,106.0,0.362667,11.0,,24.0
감포연안4_연안,2010-05-01,129.5005556,35.74638889,0,0.0,표층,353.708,34.0,13.8,4.92,10.0,9.87043,8.22,123.0,2.0,3.0,8.0,5.0,15.0,0.154667,5.0,,36.0
감포연안4_연안,2010-05-01,129.5005556,35.74638889,0,35.0,저층,525.297,34.05,7.4,11.28,9.2,9.2326,8.13,214.0,2.0,12.0,69.0,,72.0,0.170667,1.0,,49.0
감포연안4_연안,2010-08-01,129.5005556,35.74638889,0,0.0,표층,1395.31,32.66,22.78,5.84,20.4,12.2463,8.26,146.0,0.0,0.0,6.0,2.5,32.0,2.14933,26.0,,33.0
감포연안4_연안,2010-08-01,129.5005556,35.74638889,0,37.0,저층,928.979,33.92,10.88,0.68,10.0,5.54913,8.11,574.0,4.0,28.0,188.0,,217.0,0.405333,25.0,,31.0
감포연안4_연안,2010-11-01,129.5005556,35.74638889,0,0.0,표층,454.517,33.56,19.28,1.384,10.8,8.69044,8.2,185.0,4.0,6.0,47.0,5.0,88.0,0.368,37.0,,8.0
감포연안4_연안,2010-11-01,129.5005556,35.74638889,0,35.0,저층,412.407,33.84,14.53,0.844,16.8,6.48993,8.14,449.0,6.0,22.0,139.0,,220.0,0.48,75.0,,52.0
감포연안H1_항만,2010-02-01,129.5055556,35.80694444,0,0.0,표층,247.0,34.12,12.31,0.948,12.6,8.51504,8.14,349.0,6.0,23.0,96.0,4.5,128.0,0.938667,26.0,,47.0
감포연안H1_항만,2010-02-01,129.5055556,35.80694444,0,7.0,저층,267.0,34.13,12.38,0.852,12.0,8.6426,8.14,338.0,6.0,23.0,95.0,,137.0,0.954667,36.0,,30.0
감포연안H1_항만,2010-08-01,129.5055556,35.80694444,0,0.0,표층,505.03,33.3,20.72,8.94,16.6,9.87043,8.18,279.0,1.0,1.0,17.0,2.5,46.0,1.44533,28.0,,40.0
감포연안H1_항만,2010-08-01,129.5055556,35.80694444,0,7.0,저층,546.012,33.19,16.88,11.78,11.4,8.89774,8.17,342.0,2.0,1.0,37.0,,57.0,1.33333,18.0,,45.0
강구연안1_연안,2010-02-01,129.4205556,36.38055556,0,0.0,표층,176.0,34.23,10.61,1.052,11.0,9.05719,8.12,311.0,4.0,15.0,91.0,11.0,112.0,0.512,17.0,,36.0
강구연안1_연안,2010-02-01,129.4205556,36.38055556,0,53.0,저층,229.0,34.09,8.33,0.48,10.4,8.40342,8.06,425.0,4.0,24.0,136.0,,154.0,0.656,14.0,,41.0
강구연안1_연안,2010-05-01,129.4205556,36.38055556,0,0.0,표층,403.058,34.19,12.2,3.536,10.4,11.4809,8.29,9.0,1.0,1.0,1.0,5.0,9.0,1.30133,7.0,,13.0
강구연안1_연안,2010-05-01,129.4205556,36.38055556,0,53.0,저층,539.107,34.07,8.9,11.76,13.0,10.6677,8.2,18.0,1.0,1.0,1.0,,4.0,1.01333,2.0,,20.0
강구연안1_연안,2010-08-01,129.4205556,36.38055556,0,0.0,표층,380.823,32.98,22.67,0.796,16.2,8.67449,8.19,14.0,0.0,0.0,8.0,8.0,39.0,0.544,31.0,,20.0
강구연안1_연안,2010-08-01,129.4205556,36.38055556,0,60.0,저층,369.018,34.25,5.08,0.484,14.6,8.43531,8.17,452.0,3.0,25.0,186.0,,236.0,0.192,47.0,,44.0
강구연안1_연안,2010-11-01,129.4205556,36.38055556,0,0.0,표층,308.512,32.96,17.36,0.776,8.2,8.18018,8.19,198.0,4.0,5.0,42.0,10.5,90.0,0.810667,44.0,,9.0
강구연안1_연안,2010-11-01,129.4205556,36.38055556,0,60.0,저층,335.39,34.12,6.43,0.2208,7.2,6.23479,8.02,677.0,6.0,39.0,245.0,,309.0,0.378667,58.0,,71.0
강구연안2_연안,2010-02-01,129.3975,36.35,0,0.0,표층,219.0,34.25,10.56,1.308,4.8,8.80206,8.12,312.0,4.0,15.0,90.0,11.0,106.0,0.432,12.0,,35.0
강구연안2_연안,2010-02-01,129.3975,36.35,0,22.0,저층,300.0,34.15,9.25,0.848,7.4,8.57882,8.1,351.0,4.0,19.0,107.0,,133.0,0.56,22.0,,43.0
강구연안2_연안,2010-05-01,129.3975,36.35,0,0.0,표층,278.332,33.9,13.4,3.82,14.2,10.891,8.27,23.0,1.0,1.0,6.0,4.5,13.0,1.09333,6.0,,36.0
강구연안2_연안,2010-05-01,129.3975,36.35,0,25.0,저층,303.709,34.05,9.0,9.36,15.4,11.2099,8.24,34.0,1.0,1.0,4.0,,7.0,1.17333,2.0,,21.0
강구연안2_연안,2010-08-01,129.3975,36.35,0,0.0,표층,674.089,32.74,22.41,1.56,12.8,8.94557,8.19,208.0,1.0,0.0,52.0,6.0,94.0,0.8,41.0,,28.0
강구연안2_연안,2010-08-01,129.3975,36.35,0,24.0,저층,766.47,34.14,11.89,6.4,5.6,8.72233,8.18,144.0,2.0,4.0,13.0,,72.0,0.528,57.0,,20.0
강구연안2_연안,2010-11-01,129.3975,36.35,0,0.0,표층,157.431,33.0,17.46,1.012,6.6,8.19612,8.19,221.0,4.0,6.0,56.0,9.0,105.0,0.826667,45.0,,38.0
강구연안2_연안,2010-11-01,129.3975,36.35,0,28.0,저층,166.414,33.0,17.52,0.916,11.2,7.62207,8.19,205.0,5.0,5.0,41.0,,103.0,0.666667,57.0,,10.0
강구연안H1_항만,2010-02-01,129.3905556,36.35666667,0,0.0,표층,453.0,32.93,10.42,1.676,12.2,9.16881,8.12,539.0,6.0,26.0,283.0,3.5,335.0,0.938667,46.0,,49.0
강구연안H1_항만,2010-02-01,129.3905556,36.35666667,0,8.0,저층,293.0,33.32,10.29,2.952,12.8,8.99341,8.13,429.0,6.0,20.0,203.0,,239.0,1.01867,30.0,,34.0
강구연안H1_항만,2010-08-01,129.3905556,36.35666667,0,0.0,표층,1542.0,30.57,20.89,1.788,8.2,8.54693,8.21,,11.0,25.0,1368.0,2.0,1499.0,1.82933,120.0,,52.0
강구연안H1_항만,2010-08-01,129.3905556,36.35666667,0,9.0,저층,639.421,33.31,16.6,6.4,13.8,8.83395,8.08,135.0,1.0,1.0,26.0,,77.0,1.14133,50.0,,40.0
강릉연안1_연안,2010-02-01,128.9616667,37.78166667,0,0.0,표층,391.0,33.89,7.04,1.324,8.8,9.47178,8.1,301.0,2.0,18.0,106.0,9.5,135.0,0.309333,27.0,,43.0
강릉연안1_연안,2010-02-01,128.9616667,37.78166667,0,16.0,저층,285.0,33.86,5.81,0.932,13.8,9.37611,8.09,293.0,2.0,17.0,102.0,,116.0,0.549333,12.0,,39.0
강릉연안1_연안,2010-05-01,128.9616667,37.78166667,0,0.0,표층,401.13,34.05,11.0,1.716,6.8,10.2053,8.21,39.0,4.0,3.0,9.0,5.0,81.0,0.832,68.0,,35.0
강릉연안1_연안,2010-05-01,128.9616667,37.78166667,0,20.0,저층,702.408,34.03,9.97,1.864,7.6,10.0937,8.22,27.0,1.0,1.0,10.0,,29.0,0.768,18.0,,9.0
강릉연안1_연안,2010-08-01,128.9616667,37.78166667,0,0.0,표층,161.214,32.42,20.84,0.908,16.4,8.38747,8.15,34.0,1.0,0.0,3.0,9.0,11.0,1.136,7.0,,25.0
강릉연안1_연안,2010-08-01,128.9616667,37.78166667,0,19.0,저층,198.55,33.83,7.44,1.148,10.2,7.94099,8.2,112.0,1.0,3.0,15.0,,58.0,0.88,42.0,,36.0
강릉연안1_연안,2010-11-01,128.9616667,37.78166667,0,0.0,표층,360.118,32.89,17.05,1.284,6.8,8.45125,8.18,150.0,3.0,5.0,41.0,11.0,68.0,0.490667,24.0,,33.0
강릉연안1_연안,2010-11-01,128.9616667,37.78166667,0,20.0,저층,402.778,32.93,16.91,1.764,4.6,8.40342,8.18,145.0,4.0,5.0,39.0,,84.0,0.538667,41.0,,32.0
강릉연안2_연안,2010-02-01,128.9555556,37.78,0,0.0,표층,327.0,33.84,7.15,0.992,10.4,9.34422,8.11,281.0,2.0,16.0,97.0,9.5,109.0,0.453333,10.0,,37.0
강릉연안2_연안,2010-02-01,128.9555556,37.78,0,24.0,저층,290.0,33.98,5.85,0.656,9.4,9.43989,8.08,314.0,2.0,18.0,112.0,,124.0,0.421333,10.0,,21.0
강릉연안2_연안,2010-05-01,128.9555556,37.78,0,0.0,표층,447.526,33.71,11.3,1.568,8.6,9.66313,8.21,44.0,4.0,5.0,11.0,5.0,78.0,0.832,63.0,,31.0
강릉연안2_연안,2010-05-01,128.9555556,37.78,0,31.0,저층,559.447,34.03,8.8,3.54,6.2,9.98205,8.2,52.0,1.0,1.0,11.0,,25.0,0.688,13.0,,18.0
강릉연안2_연안,2010-08-01,128.9555556,37.78,0,0.0,표층,248.705,33.53,17.07,0.74,6.8,8.53098,8.15,44.0,1.0,0.0,5.0,9.0,47.0,1.088,41.0,,24.0
강릉연안2_연안,2010-08-01,128.9555556,37.78,0,24.0,저층,160.507,33.83,7.05,0.932,8.8,10.0139,8.19,135.0,2.0,6.0,17.0,,63.0,1.84,44.0,,22.0
