station,date_time,longitude,latitude,bot.depth[m],depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가막만5_환경관리,2019-11-12 09:00:00,127.64417,34.6975,0,0.0,180.2,30.83,16.59,4.5,8.8,6.47,8.2,,1.9,0.4,3.1,3.0,8.1,1.51,3.1,18.6
가막만5_환경관리,2019-11-12 09:00:00,127.64417,34.6975,0,9.0,185.0,30.84,16.61,4.1,8.8,6.95,8.21,,1.3,2.1,3.2,,10.7,1.38,6.2,17.9
감포연안1_연안,2019-02-12 00:00:00,129.5108333,35.79805556,0,0.0,184.9,34.39,13.0,0.77,3.4,8.31,8.26,,6.2,,,4.0,72.6,0.99,0.6,22.1
감포연안1_연안,2019-02-12 00:00:00,129.5108333,35.79805556,0,21.0,177.2,34.39,12.23,0.57,5.7,8.64,8.28,,6.0,,,,67.3,1.44,2.6,21.7
감포연안1_연안,2019-05-07 00:00:00,129.5108333,35.79805556,0,0.0,150.2,34.15,14.93,0.96,2.9,8.47,8.17,,4.6,,27.7,5.0,38.3,1.25,6.1,16.5
감포연안1_연안,2019-05-07 00:00:00,129.5108333,35.79805556,0,25.0,139.2,34.11,14.11,1.11,4.9,8.27,8.17,,4.7,,30.1,,44.9,2.0,10.1,18.9
감포연안1_연안,2019-08-29 12:30:00,129.5108333,35.79805556,0,0.0,131.2,32.18,24.95,1.3,4.5,7.16,8.18,106.6,0.9,2.0,2.6,8.0,4.6,1.14,1.2,11.3
감포연안1_연안,2019-08-29 12:30:00,129.5108333,35.79805556,0,27.0,151.7,33.34,19.49,0.56,4.3,6.89,8.08,,5.6,,27.4,,33.0,1.31,0.1,17.9
감포연안1_연안,2019-11-06 11:20:00,129.5108333,35.79805556,0,0.0,116.6,33.26,19.81,1.42,4.3,7.7,8.15,,6.2,,22.9,6.0,33.6,0.86,4.5,12.3
감포연안1_연안,2019-11-06 11:20:00,129.5108333,35.79805556,0,24.0,175.7,33.31,18.61,0.99,4.3,6.37,8.12,,9.4,,,,60.8,0.66,4.2,15.1
감포연안2_연안,2019-02-12 00:00:00,129.5305556,35.81555556,0,0.0,181.0,34.38,13.09,0.87,6.0,8.44,8.25,,6.5,,,8.5,71.0,0.74,0.1,21.1
감포연안2_연안,2019-02-12 00:00:00,129.5305556,35.81555556,0,43.0,187.8,34.38,12.53,0.65,4.8,8.38,8.25,,6.6,,,,74.0,1.11,2.9,24.1
감포연안2_연안,2019-05-07 00:00:00,129.5305556,35.81555556,0,0.0,152.5,34.22,14.98,0.43,4.4,8.12,8.17,,4.5,,36.5,5.5,43.0,1.08,2.0,17.0
감포연안2_연안,2019-05-07 00:00:00,129.5305556,35.81555556,0,42.0,236.9,34.15,12.8,0.27,8.6,7.19,8.08,,8.2,,,,117.7,2.08,1.0,36.5
감포연안2_연안,2019-08-29 11:15:00,129.5305556,35.81555556,0,0.0,104.1,32.14,25.4,1.38,4.4,7.13,8.17,120.1,1.1,1.0,4.2,8.0,5.4,1.73,0.0,8.2
감포연안2_연안,2019-08-29 11:15:00,129.5305556,35.81555556,0,43.0,250.5,34.16,15.07,0.38,4.8,5.53,7.99,,6.4,,,,146.3,2.02,0.4,37.0
감포연안2_연안,2019-11-06 11:05:00,129.5305556,35.81555556,0,0.0,135.9,33.3,20.16,1.61,4.3,7.88,8.18,,3.2,2.3,12.9,7.5,20.7,0.74,4.6,11.7
감포연안2_연안,2019-11-06 11:05:00,129.5305556,35.81555556,0,41.0,265.2,33.81,15.75,0.34,4.3,6.04,8.01,,8.2,,,,136.7,0.79,4.4,30.0
감포연안3_연안,2019-02-12 00:00:00,129.4883333,35.7075,0,0.0,462.3,34.39,13.5,0.66,4.8,8.44,8.25,,6.0,,,4.5,73.4,0.94,1.0,22.2
감포연안3_연안,2019-02-12 00:00:00,129.4883333,35.7075,0,22.0,179.2,34.39,12.99,0.75,5.8,8.26,8.26,,6.2,,,,72.4,1.19,1.9,21.0
감포연안3_연안,2019-05-07 00:00:00,129.4883333,35.7075,0,0.0,161.6,34.1,14.41,0.44,5.4,8.43,8.17,,4.6,,28.4,3.6,35.6,1.36,2.7,19.3
감포연안3_연안,2019-05-07 00:00:00,129.4883333,35.7075,0,25.0,172.9,34.11,13.6,0.63,6.9,7.89,8.14,,6.5,,,,68.7,1.72,3.3,22.6
감포연안3_연안,2019-08-29 13:15:00,129.4883333,35.7075,0,0.0,127.2,32.32,25.18,0.97,4.0,7.3,8.17,129.1,0.4,1.1,1.5,7.5,2.8,1.43,0.9,7.3
감포연안3_연안,2019-08-29 13:15:00,129.4883333,35.7075,0,23.0,183.1,33.88,16.85,0.54,8.0,5.91,7.99,,10.9,,,,104.7,1.0,0.0,31.8
감포연안3_연안,2019-11-06 12:40:00,129.4883333,35.7075,0,0.0,139.0,33.22,20.25,1.4,3.7,7.76,8.13,,5.9,,25.7,6.5,42.5,0.68,10.9,13.3
감포연안3_연안,2019-11-06 12:40:00,129.4883333,35.7075,0,22.0,158.2,33.26,19.43,0.93,3.0,7.45,8.13,,7.9,,35.9,,52.8,0.39,9.0,13.0
감포연안4_연안,2019-02-12 00:00:00,129.5005556,35.74638889,0,0.0,177.4,34.39,13.18,0.84,5.9,7.25,8.25,,6.1,,,3.8,74.0,1.06,1.4,22.7
감포연안4_연안,2019-02-12 00:00:00,129.5005556,35.74638889,0,19.0,180.6,34.39,12.84,0.85,5.0,8.28,8.26,,6.4,,,,70.3,2.11,1.7,21.8
감포연안4_연안,2019-05-07 00:00:00,129.5005556,35.74638889,0,0.0,146.3,34.1,14.85,0.45,4.9,8.53,8.15,,4.8,,31.9,3.8,42.6,1.35,5.9,21.6
감포연안4_연안,2019-05-07 00:00:00,129.5005556,35.74638889,0,15.0,168.8,34.11,13.69,0.47,5.1,8.24,8.16,,4.8,,36.8,,42.1,1.65,0.6,21.2
감포연안4_연안,2019-08-29 12:55:00,129.5005556,35.74638889,0,0.0,103.1,32.32,25.36,1.0,3.2,7.29,8.16,140.3,0.7,1.1,3.7,6.0,4.4,1.47,0.0,8.1
감포연안4_연안,2019-08-29 12:55:00,129.5005556,35.74638889,0,21.0,167.5,33.65,17.79,0.6,4.8,6.27,8.05,,8.8,,,,75.7,1.57,0.1,21.8
감포연안4_연안,2019-11-06 12:20:00,129.5005556,35.74638889,0,0.0,142.5,33.25,19.73,1.27,5.6,7.67,8.13,,6.6,,26.2,8.5,42.4,0.79,9.6,11.7
감포연안4_연안,2019-11-06 12:20:00,129.5005556,35.74638889,0,21.0,186.3,33.21,19.1,0.9,4.1,7.47,8.11,,8.2,,38.5,,53.2,0.74,6.4,14.9
감포연안H1_항만,2019-02-12 00:00:00,129.5055556,35.80694444,0,0.0,236.3,34.31,11.61,0.63,11.5,8.34,8.24,,5.0,,,4.0,121.5,1.32,30.9,28.1
감포연안H1_항만,2019-02-12 00:00:00,129.5055556,35.80694444,0,6.0,233.7,34.31,11.59,0.6,4.6,8.33,8.23,,4.7,,,,96.8,1.21,31.1,29.2
감포연안H1_항만,2019-08-29 11:32:00,129.5055556,35.80694444,0,0.0,196.9,31.8,25.53,2.14,4.6,6.68,8.12,,2.5,,30.3,4.5,52.1,1.31,19.3,17.6
감포연안H1_항만,2019-08-29 11:32:00,129.5055556,35.80694444,0,7.0,184.4,32.46,24.33,1.76,5.0,6.22,8.1,,3.3,,30.3,,56.5,1.43,24.8,20.8
강구연안1_연안,2019-02-11 00:00:00,129.4205556,36.38055556,0,0.0,184.9,34.42,13.51,0.68,3.9,8.59,8.12,,6.5,,,15.0,80.0,1.14,13.6,20.1
강구연안1_연안,2019-02-11 00:00:00,129.4205556,36.38055556,0,53.0,183.6,34.38,13.04,0.6,4.0,8.76,8.26,,6.4,,,,81.8,1.05,2.4,22.5
강구연안1_연안,2019-05-09 00:00:00,129.4205556,36.38055556,0,0.0,140.3,34.19,14.39,0.96,11.2,8.87,8.25,,0.8,,8.5,6.1,13.3,0.54,3.9,16.5
강구연안1_연안,2019-05-09 00:00:00,129.4205556,36.38055556,0,52.0,310.0,34.09,3.88,0.08,5.8,7.24,7.92,,1.6,,,,255.7,0.41,18.5,47.6
강구연안1_연안,2019-08-12 15:42:00,129.4205556,36.38055556,0,0.0,120.7,33.06,25.15,0.76,13.0,5.69,8.22,53.4,0.0,0.6,4.1,10.2,8.4,1.54,4.3,12.6
강구연안1_연안,2019-08-12 15:42:00,129.4205556,36.38055556,0,48.0,300.7,34.27,11.18,0.41,5.0,6.07,8.01,,2.7,,,,166.1,0.86,4.2,42.8
강구연안1_연안,2019-11-15 13:55:00,129.4205556,36.38055556,0,0.0,164.9,33.56,16.62,2.12,4.5,8.95,8.11,,4.1,,39.6,4.0,46.8,1.03,3.1,18.0
강구연안1_연안,2019-11-15 13:55:00,129.4205556,36.38055556,0,55.0,321.3,34.27,11.94,0.55,4.5,8.78,7.89,,2.8,,,,179.1,1.08,2.0,41.3
강구연안2_연안,2019-02-11 00:00:00,129.3975,36.35,0,0.0,214.8,34.39,13.27,0.74,3.5,8.33,8.3,,6.4,,,12.0,67.7,1.49,0.2,20.2
강구연안2_연안,2019-02-11 00:00:00,129.3975,36.35,0,25.0,190.6,34.38,13.21,0.66,2.6,8.15,8.33,,6.4,,,,91.1,0.9,23.1,18.6
강구연안2_연안,2019-05-09 00:00:00,129.3975,36.35,0,0.0,145.4,33.97,14.42,0.53,5.7,8.97,8.24,,1.1,,13.2,6.2,14.7,0.65,0.4,17.5
강구연안2_연안,2019-05-09 00:00:00,129.3975,36.35,0,27.0,169.5,34.17,11.73,0.5,5.1,8.11,8.17,,4.6,,,,75.4,0.62,2.8,23.6
강구연안2_연안,2019-08-12 15:25:00,129.3975,36.35,0,0.0,142.5,32.96,25.09,0.66,10.5,8.52,8.23,37.1,0.1,0.2,7.5,9.8,10.4,1.17,2.8,11.9
강구연안2_연안,2019-08-12 15:25:00,129.3975,36.35,0,24.5,226.8,34.17,14.4,2.36,7.1,6.56,8.08,,2.8,,,,91.3,0.83,12.8,32.6
강구연안2_연안,2019-11-15 14:20:00,129.3975,36.35,0,0.0,195.5,33.53,16.4,2.08,6.1,8.12,8.12,,5.3,,,13.0,56.7,1.29,2.8,18.1
강구연안2_연안,2019-11-15 14:20:00,129.3975,36.35,0,24.0,199.6,33.5,16.12,1.9,3.3,7.94,8.09,,5.0,,,,57.5,1.1,0.2,17.5
