station,일시,Longitude,Latitude,수심(m),수심(text),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L],부유물질 농도[mg/L],year,month,quarter,year_quarter
강구연안2_연안,2010-02-01,129.3975,36.35,22.0,저층,300.0,34.15,9.25,0.848,7.4,8.57882,8.1,351.0,4.0,19.0,107.0,,133.0,0.56,22.0,,43.0,,2010,2,1,20101
강구연안2_연안,2010-05-01,129.3975,36.35,25.0,저층,303.709,34.05,9.0,9.36,15.4,11.2099,8.24,34.0,1.0,1.0,4.0,,7.0,1.17333,2.0,,21.0,,2010,5,2,20102
강구연안2_연안,2010-08-01,129.3975,36.35,24.0,저층,766.47,34.14,11.89,6.4,5.6,8.72233,8.18,144.0,2.0,4.0,13.0,,72.0,0.528,57.0,,20.0,,2010,8,3,20103
강구연안2_연안,2010-11-01,129.3975,36.35,28.0,저층,166.414,33.0,17.52,0.916,11.2,7.62207,8.19,205.0,5.0,5.0,41.0,,103.0,0.666667,57.0,,10.0,,2010,11,4,20104
강구연안H1_항만,2010-02-01,129.3905556,36.35666667,8.0,저층,293.0,33.32,10.29,2.952,12.8,8.99341,8.13,429.0,6.0,20.0,203.0,,239.0,1.01867,30.0,,34.0,,2010,2,1,20101
강구연안H1_항만,2010-08-01,129.3905556,36.35666667,9.0,저층,639.421,33.31,16.6,6.4,13.8,8.83395,8.08,135.0,1.0,1.0,26.0,,77.0,1.14133,50.0,,40.0,,2010,8,3,20103
강릉연안1_연안,2010-02-01,128.9616667,37.78166667,16.0,저층,285.0,33.86,5.81,0.932,13.8,9.37611,8.09,293.0,2.0,17.0,102.0,,116.0,0.549333,12.0,,39.0,,2010,2,1,20101
강릉연안1_연안,2010-05-01,128.9616667,37.78166667,20.0,저층,702.408,34.03,9.97,1.864,7.6,10.0937,8.22,27.0,1.0,1.0,10.0,,29.0,0.768,18.0,,9.0,,2010,5,2,20102
강릉연안1_연안,2010-08-01,128.9616667,37.78166667,19.0,저층,198.55,33.83,7.44,1.148,10.2,7.94099,8.2,112.0,1.0,3.0,15.0,,58.0,0.88,42.0,,36.0,,2010,8,3,20103
강릉연안1_연안,2010-11-01,128.9616667,37.78166667,20.0,저층,402.778,32.93,16.91,1.764,4.6,8.40342,8.18,145.0,4.0,5.0,39.0,,84.0,0.538667,41.0,,32.0,,2010,11,4,20104
강릉연안2_연안,2010-02-01,128.9555556,37.78,24.0,저층,290.0,33.98,5.85,0.656,9.4,9.43989,8.08,314.0,2.0,18.0,112.0,,124.0,0.421333,10.0,,21.0,,2010,2,1,20101
강릉연안2_연안,2010-05-01,128.9555556,37.78,31.0,저층,559.447,34.03,8.8,3.54,6.2,9.98205,8.2,52.0,1.0,1.0,11.0,,25.0,0.688,13.0,,18.0,,2010,5,2,20102
강릉연안2_연안,2010-08-01,128.9555556,37.78,24.0,저층,160.507,33.83,7.05,0.932,8.8,10.0139,8.19,135.0,2.0,6.0,17.0,,63.0,1.84,44.0,,22.0,,2010,8,3,20103
강릉연안2_연안,2010-11-01,128.9555556,37.78,22.0,저층,292.777,32.87,16.17,1.852,9.0,8.10045,8.18,143.0,4.0,5.0,37.0,,91.0,0.714667,50.0,,25.0,,2010,11,4,20104
강릉연안3_연안,2010-02-01,128.9761111,37.76972222,36.0,저층,226.0,33.96,5.7,0.564,11.6,9.45584,8.07,324.0,2.0,19.0,114.0,,119.0,0.581333,3.0,,21.0,,2010,2,1,20101
강릉연안3_연안,2010-05-01,128.9761111,37.76972222,40.0,저층,382.69,34.03,8.92,3.008,14.4,10.2212,8.2,39.0,1.0,1.0,2.0,,16.0,0.784,13.0,,35.0,,2010,5,2,20102
강릉연안3_연안,2010-08-01,128.9761111,37.76972222,35.0,저층,270.046,33.86,5.43,0.884,10.4,9.66313,8.19,181.0,5.0,10.0,55.0,,107.0,1.008,47.0,,17.0,,2010,8,3,20103
강릉연안3_연안,2010-11-01,128.9761111,37.76972222,38.0,저층,332.764,34.0,6.06,0.2768,1.4,6.761,8.03,455.0,5.0,30.0,187.0,,247.0,0.506667,55.0,,53.0,,2010,11,4,20104
강릉연안4_연안,2010-02-01,128.9316667,37.80638889,28.0,저층,225.0,33.97,6.07,0.552,17.8,9.39205,8.1,311.0,2.0,18.0,110.0,,117.0,0.512,5.0,,40.0,,2010,2,1,20101
강릉연안4_연안,2010-05-01,128.9316667,37.80638889,25.0,저층,522.973,34.03,9.86,1.468,14.4,10.2053,8.22,29.0,1.0,1.0,1.0,,18.0,0.933333,16.0,,8.0,,2010,5,2,20102
강릉연안4_연안,2010-08-01,128.9316667,37.80638889,26.0,저층,302.599,33.79,7.63,0.928,12.8,9.99799,8.21,121.0,2.0,4.0,10.0,,55.0,0.101333,43.0,,25.0,,2010,8,3,20103
강릉연안4_연안,2010-11-01,128.9316667,37.80638889,23.0,저층,203.587,33.72,11.6,0.604,1.8,7.33505,8.14,276.0,7.0,14.0,90.0,,137.0,0.362667,40.0,,41.0,,2010,11,4,20104
강릉연안5_연안,2010-02-01,129.0808333,37.66444444,70.0,저층,265.0,33.89,3.19,0.1628,15.2,9.0253,8.01,449.0,1.0,28.0,162.0,,169.0,0.586667,6.0,,48.0,,2010,2,1,20101
강릉연안5_연안,2010-05-01,129.0808333,37.66444444,66.0,저층,521.692,33.9,4.6,1.536,14.0,8.97746,8.06,300.0,3.0,20.0,110.0,,151.0,0.709333,38.0,,43.0,,2010,5,2,20102
강릉연안5_연안,2010-08-01,129.0808333,37.66444444,74.0,저층,318.73,33.9,3.18,0.3228,7.4,9.26449,8.19,224.0,3.0,16.0,96.0,,133.0,0.149333,34.0,,22.0,,2010,8,3,20103
강릉연안5_연안,2010-11-01,129.0808333,37.66444444,76.0,저층,311.325,33.96,2.36,0.0924,6.6,8.38747,7.99,497.0,3.0,37.0,215.0,,264.0,0.442667,46.0,,57.0,,2010,11,4,20104
강릉연안6_연안,2010-02-01,129.0372222,37.71666667,81.0,저층,192.0,33.93,3.65,0.192,15.2,9.47178,8.03,414.0,1.0,25.0,149.0,,160.0,0.554667,10.0,,28.0,,2010,2,1,20101
강릉연안6_연안,2010-05-01,129.0372222,37.71666667,83.0,저층,776.265,33.97,4.1,0.788,6.4,9.85448,8.03,415.0,3.0,28.0,160.0,,202.0,1.02933,39.0,,32.0,,2010,5,2,20102
강릉연안6_연안,2010-08-01,129.0372222,37.71666667,80.0,저층,367.187,33.89,3.07,0.2824,11.6,9.08908,8.18,283.0,2.0,20.0,130.0,,174.0,0.117333,42.0,,26.0,,2010,8,3,20103
강릉연안6_연안,2010-11-01,129.0372222,37.71666667,80.0,저층,330.431,33.99,1.52,0.1152,5.4,8.78612,7.97,586.0,2.0,37.0,222.0,,281.0,0.506667,57.0,,38.0,,2010,11,4,20104
강릉연안7_연안,2010-02-01,128.9952778,37.75083333,33.0,저층,308.0,33.96,5.2,0.358,11.2,9.61529,8.07,350.0,2.0,21.0,126.0,,138.0,0.6453,10.0,,23.0,,2010,2,1,20101
강릉연안7_연안,2010-05-01,128.9952778,37.75083333,37.0,저층,225.949,34.04,9.2,3.084,7.4,10.2212,8.2,39.0,2.0,1.0,0.0,,27.0,1.31733,25.0,,33.0,,2010,5,2,20102
강릉연안7_연안,2010-08-01,128.9952778,37.75083333,42.0,저층,227.687,33.88,6.05,0.736,7.2,9.36016,8.19,175.0,4.0,10.0,51.0,,104.0,0.341333,49.0,,39.0,,2010,8,3,20103
강릉연안7_연안,2010-11-01,128.9952778,37.75083333,35.0,저층,320.608,33.91,8.52,0.52,5.0,6.93641,8.05,382.0,6.0,25.0,156.0,,260.0,0.298667,98.0,,53.0,,2010,11,4,20104
거제도남안1_연안,2010-02-01,128.5580556,34.81333333,8.0,저층,105.0,33.99,7.0,6.4138,5.2,10.44,8.21,257.0,1.0,3.0,9.0,,10.0,0.38,0.0,,17.0,,2010,2,1,20101
거제도남안1_연안,2010-05-01,128.5580556,34.81333333,10.0,저층,28.14,34.18,14.59,1.2342,41.6,8.31,8.16,285.785,1.6058,16.9322,9.0,,19.3194,1.17333,8.7136,,24.5235,,2010,5,2,20102
거제도남안1_연안,2010-08-01,128.5580556,34.81333333,10.3,저층,194.737,33.01,19.31,3.0,10.34,4.43,7.65,607.001,8.1942,10.8149,39.9444,,73.4912,2.43,25.3526,,37.8882,,2010,8,3,20103
거제도남안1_연안,2010-11-01,128.5580556,34.81333333,8.0,저층,432.666,32.83,16.0,1.0078,5.4,6.37,7.48,701.168,6.8628,26.0741,65.6768,,120.61,1.24,48.0704,,32.9313,,2010,11,4,20104
거제도남안2_연안,2010-02-01,128.52,34.78083333,10.0,저층,148.0,34.12,9.02,4.2595,9.8,8.95,8.15,316.0,5.0,11.0,41.0,,48.0,0.3,2.0,,23.0,,2010,2,1,20101
거제도남안2_연안,2010-05-01,128.52,34.78083333,10.5,저층,32.7276,33.9,14.64,0.3769,7.0,8.01,8.21,47.7064,0.3514,10.2455,8.6,,24.1918,0.933333,15.2404,,13.02,,2010,5,2,20102
거제도남안2_연안,2010-08-01,128.52,34.78083333,11.8,저층,157.759,32.99,19.8,2.0,12.6,7.16,7.81,198.722,1.7584,7.81106,3.15409,,29.6407,0.35,24.7282,,20.8692,,2010,8,3,20103
거제도남안2_연안,2010-11-01,128.52,34.78083333,13.0,저층,316.109,32.83,16.69,1.5013,14.0,6.33,7.27,599.211,9.3702,22.2611,77.1806,,122.543,1.04,35.9926,,26.6538,,2010,11,4,20104
거제도남안3_연안,2010-02-01,128.5402778,34.72277778,42.0,저층,159.0,34.16,10.51,3.8141,8.8,8.62,8.13,360.0,7.0,12.0,70.0,,77.0,0.32,0.0,,22.0,,2010,2,1,20101
거제도남안3_연안,2010-05-01,128.5402778,34.72277778,39.0,저층,40.0342,33.98,13.34,0.5411,4.8,7.9,8.14,75.8184,1.2572,17.2081,27.2,,36.1936,1.85333,7.7364,,18.3535,,2010,5,2,20102
거제도남안3_연안,2010-08-01,128.5402778,34.72277778,40.0,저층,178.769,33.45,17.12,1.5108,16.6,8.04,7.87,378.829,5.6644,7.96125,56.4703,,90.0619,1.19,27.9272,,28.613,,2010,8,3,20103
거제도남안3_연안,2010-11-01,128.5402778,34.72277778,35.0,저층,198.786,33.05,18.15,1.2091,9.6,5.64,7.67,369.454,10.5434,6.1628,71.4056,,90.7326,1.0,8.7836,,29.2175,,2010,11,4,20104
거제도남안4_연안,2010-02-01,128.6427778,34.67388889,80.0,저층,155.0,34.21,10.99,3.0392,5.6,9.08,8.13,357.0,7.0,10.0,74.0,,82.0,0.35,1.0,,20.0,,2010,2,1,20101
거제도남안4_연안,2010-05-01,128.6427778,34.67388889,86.0,저층,61.4558,33.98,13.43,0.3215,14.8,7.81,8.16,71.0864,2.4472,5.4994,17.1,,27.929,0.373333,8.3818,,12.2202,,2010,5,2,20102
거제도남안4_연안,2010-08-01,128.6427778,34.67388889,85.0,저층,184.372,33.71,16.38,1.3044,8.0,5.27,7.89,290.156,2.2918,1.05242,25.8825,,50.4861,2.39,22.3118,,27.7512,,2010,8,3,20103
거제도남안4_연안,2010-11-01,128.6427778,34.67388889,75.0,저층,105.542,33.03,18.4,0.8421,12.2,5.65,7.76,300.782,9.8014,5.7412,55.8712,,74.4324,0.68,8.7598,,24.8217,,2010,11,4,20104
거제도동안1_연안,2010-02-01,128.7333333,34.90944444,20.0,저층,304.621,34.0878,11.6035,1.17336,10.0,8.77686,8.05,275.859,5.63707,22.7579,92.7943,,105.869,0.95904,7.43757,,28.1485,,2010,2,1,20101
거제도동안1_연안,2010-05-01,128.7333333,34.90944444,19.4,저층,100.815,34.2118,12.8807,6.05362,3.65,8.85805,7.97,99.3704,0.347973,6.46967,13.1052,,17.3345,0.927504,3.88135,,15.9523,,2010,5,2,20102
거제도동안1_연안,2010-08-01,128.7333333,34.90944444,20.0,저층,432.301,33.7151,15.1889,1.49472,5.5,5.47137,7.72,417.9,10.6102,24.5196,114.472,,223.788,2.22154,98.7055,,29.7088,,2010,8,3,20103
거제도동안1_연안,2010-11-01,128.7333333,34.90944444,25.0,저층,253.865,32.953,15.9521,1.78619,1.9,7.51347,8.03,472.309,14.0765,18.7657,101.174,,124.656,1.03522,9.4059,,28.4195,,2010,11,4,20104
거제도동안2_연안,2010-02-01,128.6797222,34.79861111,17.7,저층,245.109,34.175,12.3921,0.485784,6.45,8.84092,8.05,304.929,5.80896,13.4953,96.6809,,110.366,0.895104,7.87654,,23.8762,,2010,2,1,20101
거제도동안2_연안,2010-05-01,128.6797222,34.79861111,17.0,저층,88.8368,34.5393,12.7497,2.2944,2.15,9.38011,7.98,81.608,0.629597,6.46967,10.812,,16.2385,0.862416,4.7969,,14.1419,,2010,5,2,20102
거제도동안2_연안,2010-08-01,128.6797222,34.79861111,17.7,저층,376.395,34.8423,15.6961,1.7563,7.45,6.12538,7.77,415.239,8.94767,26.533,94.7749,,175.758,2.83018,72.0352,,48.1272,,2010,8,3,20103
거제도동안2_연안,2010-11-01,128.6797222,34.79861111,18.0,저층,278.224,33.715,16.1133,0.672624,3.4,6.4543,8.01,568.479,10.0626,16.3557,158.515,,172.207,0.98592,3.6288,,34.1777,,2010,11,4,20104
거제도동안3_연안,2010-02-01,128.7744444,34.76805556,68.0,저층,250.152,34.2326,12.7887,0.440943,16.0,7.91,8.05,295.944,6.66836,12.1059,96.0389,,107.511,1.00699,4.80375,,25.1765,,2010,2,1,20101
거제도동안3_연안,2010-05-01,128.7744444,34.76805556,66.0,저층,70.8698,33.9963,12.5749,0.82957,3.9,9.19486,7.99,63.0619,0.742246,6.62086,10.4568,,17.5773,0.781056,6.37829,,18.849,,2010,5,2,20102
거제도동안3_연안,2010-08-01,128.7744444,34.76805556,68.0,저층,443.003,34.1923,12.9103,0.204777,21.95,5.99777,7.75,411.61,4.5142,28.0818,183.776,,327.868,1.82592,139.578,,39.5439,,2010,8,3,20103
거제도동안3_연안,2010-11-01,128.7744444,34.76805556,70.0,저층,291.559,34.4571,16.6373,0.672624,10.5,5.21309,8.01,520.771,5.53566,25.2423,191.3,,201.748,1.05165,4.9126,,41.9793,,2010,11,4,20104
거제도동안4_연안,2010-02-01,128.7502778,34.87916667,25.0,저층,267.3,34.1854,11.8505,0.695045,10.05,8.71279,8.14,296.737,6.15272,15.3478,89.2349,,106.074,1.53446,10.6859,,26.6625,,2010,2,1,20101
거제도동안4_연안,2010-05-01,128.7502778,34.87916667,25.0,저층,83.846,34.2099,12.6933,1.42746,2.7,9.11066,7.98,99.8928,1.13652,8.58625,13.6006,,24.8608,1.35058,10.1237,,18.3058,,2010,5,2,20102
거제도동안4_연안,2010-08-01,128.7502778,34.87916667,25.0,저층,455.55,34.1303,14.041,0.605362,8.2,5.2959,7.72,631.505,11.8061,42.0206,165.106,,239.732,2.40413,62.8198,,44.7297,,2010,8,3,20103
거제도동안4_연안,2010-11-01,128.7502778,34.87916667,25.0,저층,304.894,34.2798,16.4542,0.321365,4.6,4.86555,7.98,641.799,4.69063,21.7781,191.579,,200.449,1.05165,4.179,,45.5085,,2010,11,4,20104
거제도동안H1_항만,2010-02-01,128.7155556,34.88527778,27.0,저층,741.096,34.0365,11.2701,1.82356,6.8,8.84092,8.05,311.271,5.37925,21.986,95.8786,,112.383,1.45454,11.1249,,22.3902,,2010,2,1,20101
