station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],overlap_count,유분[mg/L],부유물질 농도[mg/L]
기장연안4_연안,2007-08-01,129.2522222,35.265,23.0,382.307,34.004,13.909,2.83997,9.05,7.56262,7.82,516.029,5.5681,29.7104,138.998,,154.068,0.783998,9.5027,49.763,1,,
기장연안4_연안,2007-11-01,129.2522222,35.265,25.0,448.0,34.01,14.3,0.57,20.9,7.67,7.88,495.0,6.0,39.0,188.0,,212.0,1.67,19.0,102.0,1,,
서귀포연안1_연안,2007-02-01,126.6611111,33.2625,40.0,283.455,34.4294,15.9272,0.61597,2.0,7.81164,8.03,321.275,3.13808,10.6309,110.58,,125.763,0.721892,12.0448,30.2852,1,,
서귀포연안1_연안,2007-05-01,126.6611111,33.2625,31.0,486.509,34.3557,15.6021,0.493,2.2,8.14814,8.11,251.423,4.46674,3.89105,41.8348,,54.5025,0.05,8.20103,16.3021,1,,
서귀포연안1_연안,2007-08-01,126.6611111,33.2625,29.6,727.0,33.86,19.58,1.52,1.8,6.35,8.19,275.0,5.0,3.0,84.0,,92.0,0.54,3.0,16.0,1,,
서귀포연안1_연안,2007-11-01,126.6611111,33.2625,30.0,713.0,34.08,21.77,0.86,1.1,8.07,8.16,209.0,2.0,8.0,67.0,,78.0,0.43,8.0,24.0,1,,
속초연안1_연안,2007-02-01,128.605,38.19972222,13.0,143.428,32.96,8.33,0.784,1.8,9.95,7.99,138.846,4.433,16.127,12.997,,33.535,0.84,16.105,27.319,1,,
속초연안1_연안,2007-05-01,128.605,38.19972222,16.0,308.016,33.74,11.17,0.988,2.2,8.72,8.12,84.095,2.7,7.0,38.072,,67.327,1.0464,26.555,11.348,1,,
속초연안1_연안,2007-08-01,128.605,38.19972222,17.0,175.525,33.89,14.47,0.44894,0.8,8.17,7.89,62.0,1.578,5.429,5.38875,,19.7684,1.75789,12.8016,13.0,1,,
속초연안1_연안,2007-11-01,128.605,38.19972222,15.0,78.934,33.44,13.88,0.544,4.8,8.09965,7.96,228.616,2.195,6.652,19.357,,39.56,0.639232,18.008,20.375,1,,
속초연안2_연안,2007-02-01,128.6116667,38.21361111,24.0,88.219,32.97,8.02,0.604,3.0,8.51,7.97,132.172,4.331,18.64,14.044,,33.202,0.84,14.827,29.953,1,,
속초연안2_연안,2007-05-01,128.6116667,38.21361111,23.0,209.875,33.69,9.09,0.534,1.8,8.53,8.02,99.109,4.5,7.677,45.972,,62.446,0.86,11.974,22.0,1,,
속초연안2_연안,2007-08-01,128.6116667,38.21361111,24.0,137.192,34.11,3.51,1.57152,0.8,8.52,7.59,59.4029,1.67,7.596,12.4759,,31.3569,1.27846,17.211,17.0,1,,
속초연안2_연안,2007-11-01,128.6116667,38.21361111,22.0,120.144,33.5,14.06,0.435,5.0,8.02847,7.95,227.242,1.218,3.865,18.462,,33.499,1.0787,13.819,7.345,1,,
기장연안4_연안,2008-02-01,129.2522222,35.265,13.0,225.0,34.36,11.77,0.4,13.6,9.89,8.15,7.0,5.0,25.0,84.0,,89.0,0.32,0.0,40.0,1,,
기장연안4_연안,2008-05-01,129.2522222,35.265,12.0,287.0,34.43,14.75,1.01,30.8,8.66,8.11,242.0,15.0,12.0,41.0,,77.0,0.61,20.0,61.0,1,,
기장연안4_연안,2008-08-01,129.2522222,35.265,23.0,349.0,34.27,13.98,,,7.42,8.0,470.0,5.0,23.0,1.0,,20.0,1.13,14.0,25.0,1,,
기장연안4_연안,2008-11-01,129.2522222,35.265,25.0,153.926,33.4745,17.6333,,,6.77148,8.02,440.076,8.3688,14.4511,126.855,,141.039,3.72594,5.81531,14.7013,1,,
서귀포연안1_연안,2008-02-01,126.6611111,33.2625,40.0,295.0,34.41,15.25,0.97,1.3,7.98,8.14,337.0,3.0,7.0,90.0,,96.0,1.49,2.0,12.0,1,,
서귀포연안1_연안,2008-05-01,126.6611111,33.2625,31.0,177.0,34.37,15.03,4.57,3.7,8.13,8.11,226.0,2.0,4.0,35.0,,37.0,0.51,1.0,15.0,1,,
서귀포연안1_연안,2008-08-01,126.6611111,33.2625,29.6,417.0,34.09,16.62,,,6.62,8.1,662.0,5.0,1.0,266.0,,297.0,0.28,27.0,17.0,1,,
서귀포연안1_연안,2008-11-01,126.6611111,33.2625,30.0,93.0,33.53,22.99,,,6.91,8.14,214.0,3.0,3.0,37.0,,58.0,0.14,18.0,11.0,1,,
속초연안1_연안,2008-02-01,128.605,38.19972222,13.0,205.052,33.44,9.05,1.058,4.4,8.95623,7.73,312.265,3.429,21.3454,91.2749,,99.8542,0.426667,5.15032,23.514,1,,
속초연안1_연안,2008-05-01,128.605,38.19972222,16.0,278.368,34.24,9.57,4.26,7.8,10.9922,7.56,16.3325,1.6458,1.33295,17.9774,,29.6474,1.86,10.0242,28.0041,1,,
속초연안1_연안,2008-08-01,128.605,38.19972222,17.0,210.173,34.2,17.47,,,6.95456,8.09,207.109,0.86692,1.95674,10.943,,21.0185,1.128,9.20858,16.464,1,,
속초연안1_연안,2008-11-01,128.605,38.19972222,15.0,295.834,33.57,13.8,,,7.89277,8.08,212.177,4.099,10.869,66.021,,80.242,1.62667,10.122,12.667,1,,
속초연안2_연안,2008-02-01,128.6116667,38.21361111,24.0,208.255,33.53,9.42,0.636,5.4,8.84576,7.83,313.503,2.9687,17.9713,90.6335,,102.256,0.586667,8.6537,24.83,1,,
속초연안2_연안,2008-05-01,128.6116667,38.21361111,23.0,233.523,34.27,6.45,3.88,3.6,10.3297,7.66,18.6162,1.7724,0.8876,14.2096,,21.5976,1.82667,5.6156,23.7816,1,,
속초연안2_연안,2008-08-01,128.6116667,38.21361111,24.0,508.908,34.42,15.79,,,7.47928,8.09,93.7913,2.12212,8.80982,1.95,,11.6654,1.104,7.59324,17.805,1,,
속초연안2_연안,2008-11-01,128.6116667,38.21361111,22.0,205.814,33.58,13.8,,,7.8252,8.09,239.608,5.462,11.947,74.944,,87.988,1.30667,7.582,25.113,1,,
기장연안4_연안,2009-02-01,129.2522222,35.265,13.0,329.186,34.3643,12.9,1.28546,27.55,8.24549,8.2,363.743,6.76421,19.4545,101.526,,124.114,1.85013,15.8235,46.5197,1,,
기장연안4_연안,2009-05-01,129.2522222,35.265,12.0,236.291,34.23,11.24,0.328839,11.9,7.97106,7.77,557.498,7.88839,26.2787,145.677,,211.156,1.25085,57.5907,36.0295,1,,
기장연안4_연안,2009-08-01,129.2522222,35.265,23.0,123.468,32.1214,21.7087,3.93859,13.25,6.96299,7.93,118.473,1.18814,5.47918,23.816,,26.7084,1.50682,1.70426,21.8405,1,,
기장연안4_연안,2009-11-01,129.2522222,35.265,25.0,227.72,33.896,15.1331,0.433469,23.5,6.04058,7.84,485.682,5.22755,14.4255,145.802,,157.301,1.23493,6.27128,44.5472,1,,
서귀포연안1_연안,2009-02-01,126.6611111,33.2625,40.0,210.218,34.2773,15.4586,0.55175,2.6,8.99309,7.93,427.332,2.28409,9.04887,92.235,,107.367,0.318319,12.8478,19.0954,1,,
서귀포연안1_연안,2009-05-01,126.6611111,33.2625,31.0,233.176,34.18,15.91,0.35427,1.5,7.17,8.13,465.688,3.81426,7.91013,159.37,,171.478,0.350903,8.29292,11.3221,1,,
서귀포연안1_연안,2009-08-01,126.6611111,33.2625,29.6,555.729,32.0821,23.715,1.88229,1.1,7.49122,8.18,292.812,2.20447,2.82703,47.091,,60.407,0.914859,11.1115,9.73755,1,,
서귀포연안1_연안,2009-11-01,126.6611111,33.2625,30.0,237.106,33.9933,20.237,0.74591,1.3,6.90863,8.08,485.688,15.4541,2.77,96.3895,,127.05,0.19805,15.2063,14.4794,1,,
속초연안1_연안,2009-02-01,128.605,38.19972222,13.0,187.183,34.1,7.99,1.002,1.8,8.64918,8.23,368.581,6.47,21.574,113.422,,121.782,0.549333,1.89,41.712,1,,
속초연안1_연안,2009-05-01,128.605,38.19972222,16.0,408.04,34.0,11.33,1.788,2.8,9.12444,8.14,174.865,0.778,6.016,0.621,,6.708,0.581333,5.309,27.034,1,,
속초연안1_연안,2009-08-01,128.605,38.19972222,17.0,206.356,33.45,13.59,0.798,3.4,9.31499,8.18,77.295,1.641,6.60464,1.68368,,10.4937,0.794667,7.169,28.3138,1,,
속초연안1_연안,2009-11-01,128.605,38.19972222,15.0,148.0,33.42,12.6,1.28,3.0,8.27585,8.14,173.0,2.0,5.0,40.0,,57.0,0.64,15.0,33.0,1,,
속초연안2_연안,2009-02-01,128.6116667,38.21361111,24.0,242.688,34.07,4.06,0.212,2.2,8.2858,8.12,508.393,4.056,37.556,185.722,,197.093,0.485333,7.315,42.385,1,,
속초연안2_연안,2009-05-01,128.6116667,38.21361111,23.0,208.035,33.95,11.66,2.14,7.6,9.05702,8.16,174.409,0.699,8.278,13.738,,18.62,0.540373,4.183,20.355,1,,
속초연안2_연안,2009-08-01,128.6116667,38.21361111,24.0,196.976,33.23,13.52,1.214,4.6,9.04354,8.15,84.915,0.23,5.08284,2.3736,,8.1086,0.634667,5.505,27.5274,1,,
속초연안2_연안,2009-11-01,128.6116667,38.21361111,22.0,121.0,33.16,13.51,1.596,2.2,8.2918,8.15,169.0,2.0,5.0,34.0,,47.0,0.88,11.0,25.0,1,,
기장연안4_연안,2010-02-01,129.2522222,35.265,13.0,299.426,34.239,12.0445,0.0672624,12.2,8.63271,8.04,295.151,7.26994,16.4284,147.617,,175.67,1.2947,20.7823,27.777,1,,
기장연안4_연안,2010-05-01,129.2522222,35.265,12.0,206.454,34.2146,12.7963,0.650204,6.5,8.68965,8.02,237.552,7.4449,13.1218,55.5539,,66.0478,1.93637,3.04904,21.3835,1,,
기장연안4_연안,2010-08-01,129.2522222,35.265,23.0,337.279,34.3463,11.8202,2.96702,5.15,6.54012,7.87,310.734,4.36836,23.5904,167.134,,243.212,0.768408,71.71,39.5439,1,,
기장연안4_연안,2010-11-01,129.2522222,35.265,25.0,381.526,34.134,13.9104,0.254103,24.8,5.37859,7.91,663.393,7.10501,24.0374,224.019,,239.888,1.6384,8.764,66.684,1,,
서귀포연안1_연안,2010-02-01,126.6611111,33.2625,40.0,175.051,34.3635,15.234,1.05883,3.0,8.28868,8.18,461.064,2.05727,11.2433,80.8298,,89.0825,0.405352,6.19539,15.1298,1,,
서귀포연안1_연안,2010-05-01,126.6611111,33.2625,31.0,197.271,34.4009,15.7168,0.89947,2.3,6.88,8.10573,631.571,3.22439,14.8954,101.001,,111.792,0.484101,7.56659,21.1855,1,,
서귀포연안1_연안,2010-08-01,126.6611111,33.2625,29.6,153.594,33.2297,19.6777,0.62631,0.4,7.69014,8.11,550.268,3.89673,3.00516,49.6942,,137.93,0.799776,84.3392,12.7244,1,,
서귀포연안1_연안,2010-11-01,126.6611111,33.2625,30.0,149.551,33.872,22.4147,1.37666,0.5,6.99684,8.19,309.459,1.661,4.77106,38.9398,,45.4173,0.918594,4.81646,9.90586,1,,
속초연안1_연안,2010-02-01,128.605,38.19972222,13.0,227.0,33.98,4.73,0.22,11.4,9.75881,8.08,292.0,2.0,17.0,98.0,,126.0,0.464,26.0,44.0,1,,
속초연안1_연안,2010-05-01,128.605,38.19972222,16.0,571.475,33.8,7.9,2.728,16.4,10.6199,8.23,33.0,1.0,1.0,2.0,,25.0,0.592,22.0,18.0,1,,
속초연안1_연안,2010-08-01,128.605,38.19972222,17.0,211.295,33.69,9.53,1.604,11.4,10.0937,8.25,60.0,1.0,1.0,4.0,,34.0,0.976,29.0,33.0,1,,
속초연안1_연안,2010-11-01,128.605,38.19972222,15.0,468.16,33.27,15.18,1.788,4.4,7.71775,8.17,211.0,3.0,4.0,47.0,,73.0,0.768,23.0,31.0,1,,
속초연안2_연안,2010-02-01,128.6116667,38.21361111,24.0,246.0,33.93,5.23,0.92,13.0,9.80664,8.09,298.0,2.0,16.0,101.0,,113.0,0.576,10.0,40.0,1,,
속초연안2_연안,2010-05-01,128.6116667,38.21361111,23.0,434.001,33.97,9.4,1.824,14.4,10.0299,8.22,28.0,3.0,1.0,1.0,,37.0,0.784,33.0,9.0,1,,
속초연안2_연안,2010-08-01,128.6116667,38.21361111,24.0,261.744,33.69,8.86,1.18,12.8,10.4285,8.21,64.0,0.0,1.0,6.0,,32.0,1.024,26.0,34.0,1,,
속초연안2_연안,2010-11-01,128.6116667,38.21361111,22.0,177.737,33.3,15.42,1.82,3.0,7.81342,8.17,202.0,4.0,5.0,49.0,,91.0,0.496,38.0,36.0,1,,
기장연안4_연안,2011-02-23,129.2522222,35.265,13.0,337.195,34.4,11.12,1.044,5.5,9.02,8.09601,314.132,6.986,18.724,78.694,,122.892,0.171364,37.212,28.458,1,,
기장연안4_연안,2011-05-18,129.2522222,35.265,12.0,273.151,34.11,11.55,1.102,6.3,7.96437,8.15,361.496,11.6462,18.1699,79.9034,,107.891,0.570345,16.3417,55.0718,1,,
기장연안4_연안,2011-08-03,129.2522222,35.265,23.0,313.103,33.8365,11.4113,4.234,22.7,7.32891,8.03,1524.54,3.969,21.3125,143.962,,163.576,0.55981,15.645,45.477,1,,
기장연안4_연안,2011-11-09,129.2522222,35.265,25.0,238.749,33.3535,18.4074,0.667,9.8,7.66372,8.06,255.668,3.843,7.657,22.75,,49.833,0.51198,23.24,13.33,1,,
서귀포연안1_연안,2011-02-22,126.6611111,33.2625,40.0,349.79,34.5003,14.9892,0.841,5.0,9.12622,8.09799,290.472,4.452,9.517,37.072,,49.126,0.634432,7.602,37.944,1,,
서귀포연안1_연안,2011-05-17,126.6611111,33.2625,31.0,227.418,34.0716,14.9568,0.0,3.0,7.92,8.35775,183.348,1.3525,7.11544,15.7891,,40.9206,0.469539,23.779,20.5358,1,,
서귀포연안1_연안,2011-08-10,126.6611111,33.2625,29.6,239.12,32.25,21.17,1.2152,3.8,7.50672,8.17,520.1,3.983,5.177,69.461,,99.736,2.08671,26.292,10.261,1,,
서귀포연안1_연안,2011-11-03,126.6611111,33.2625,30.0,103.264,34.2803,21.392,2.2274,1.8,7.60068,8.29,124.936,1.211,2.604,15.169,,22.666,0.607976,6.286,11.036,1,,
속초연안1_연안,2011-03-05,128.605,38.19972222,13.0,118.34,33.8,3.92,6.699,2.2,11.0983,8.2,187.264,1.19,6.231,3.85,,23.45,1.19697,18.41,13.547,1,,
속초연안1_연안,2011-05-02,128.605,38.19972222,16.0,166.627,33.7,7.84,1.3368,5.6,10.0777,8.2,38.4362,0.335419,12.4637,4.046,,12.8577,1.50667,8.47632,27.6288,1,,
속초연안1_연안,2011-08-03,128.605,38.19972222,17.0,173.25,32.8495,17.6486,1.3602,2.2,11.0983,8.2,441.854,0.126,0.217,3.381,,14.042,0.853641,10.535,15.469,1,,
속초연안1_연안,2011-11-01,128.605,38.19972222,15.0,193.928,33.4548,15.7061,1.7718,2.6,7.71775,8.23,177.492,2.359,5.1925,28.805,,31.654,0.469643,0.49,11.78,1,,
속초연안2_연안,2011-03-05,128.6116667,38.21361111,24.0,130.671,33.81,3.92,5.8,5.4,10.5561,8.17,259.392,1.834,8.339,18.088,,33.068,0.841435,13.146,13.95,1,,
속초연안2_연안,2011-05-03,128.6116667,38.21361111,23.0,182.357,33.83,5.83,1.566,4.8,10.1575,8.17,75.7608,0.614934,13.0204,18.5555,,31.6984,1.50667,12.528,27.1952,1,,
속초연안2_연안,2011-08-03,128.6116667,38.21361111,24.0,199.906,33.0826,16.7138,1.363,3.4,10.5561,8.17,455.882,0.119,0.248,3.997,,17.136,0.565537,13.02,10.819,1,,
속초연안2_연안,2011-11-02,128.6116667,38.21361111,22.0,204.274,33.4412,15.6667,1.566,4.6,7.81342,8.22,187.432,3.255,5.332,42.973,,58.59,0.485654,12.362,12.679,1,,
기장연안4_연안,2012-02-20,129.2522222,35.265,27.0,133.7,34.39,11.83,0.67,6.2,9.45,7.97,192.9,6.2,11.1,63.6,,80.6,0.22,10.8,13.8,1,,
기장연안4_연안,2012-05-09,129.2522222,35.265,10.0,207.3,34.15,13.23,2.67,4.3,8.29,8.2,249.6,2.6,1.3,23.8,,30.1,0.89,3.7,13.3,1,,
기장연안4_연안,2012-08-09,129.2522222,35.265,17.0,144.1,32.3,27.3,1.7,8.2,6.58,8.14,201.1,1.7,6.0,4.9,,19.7,0.91,13.1,21.6,1,,
기장연안4_연안,2012-11-08,129.2522222,35.265,11.0,217.1,32.98,17.29,2.63,5.4,7.33,8.22,334.5,7.1,11.0,56.4,,71.6,0.6,8.1,22.2,1,,
서귀포연안1_연안,2012-03-07,126.6611111,33.2625,14.0,126.7,34.42,15.04,0.87,4.2,8.72,8.23,251.8,2.6,11.0,76.9,,100.0,0.76,20.4,12.1,1,,
서귀포연안1_연안,2012-05-23,126.6611111,33.2625,15.0,153.1,33.81,18.11,0.99,7.9,7.77,8.01,149.1,0.8,1.5,4.9,,11.6,0.29,6.0,10.6,1,,
서귀포연안1_연안,2012-08-22,126.6611111,33.2625,13.0,121.5,32.05,22.31,2.66,27.5,7.62,8.17,234.7,1.8,2.1,14.5,,20.4,0.94,4.1,13.1,1,,
서귀포연안1_연안,2012-11-29,126.6611111,33.2625,15.0,152.2,33.87,19.0,2.99,27.7,7.35,8.25,203.3,8.2,6.6,51.5,,65.6,0.51,5.9,11.0,1,,
속초연안1_연안,2012-02-06,128.605,38.19972222,18.0,188.6,34.2,7.63,0.87,2.8,9.14,8.23,248.3,3.6,12.6,76.0,,85.1,0.4,5.6,21.9,1,,
속초연안1_연안,2012-05-06,128.605,38.19972222,18.0,113.2,34.33,12.77,1.77,2.0,8.9,8.19,76.8,0.7,0.7,4.2,,4.9,0.58,0.0,16.1,1,,
속초연안1_연안,2012-08-06,128.605,38.19972222,18.0,177.6,33.75,21.55,1.73,2.6,6.86,8.2,49.2,0.6,1.5,10.0,,27.8,1.22,17.2,15.7,1,,
속초연안1_연안,2012-11-19,128.605,38.19972222,15.0,128.3,33.27,13.01,1.18,2.6,8.24,8.08,105.8,1.5,1.2,40.8,,49.3,0.79,6.9,10.1,1,,
속초연안2_연안,2012-02-06,128.6116667,38.21361111,21.0,176.3,34.19,7.47,0.87,1.2,9.12,8.23,247.2,3.8,12.7,75.2,,85.8,0.62,6.8,19.1,1,,
속초연안2_연안,2012-05-06,128.6116667,38.21361111,22.0,126.4,34.35,12.09,2.0,4.4,8.79,8.21,45.0,0.6,1.7,2.4,,3.0,1.09,0.1,15.6,1,,
속초연안2_연안,2012-08-06,128.6116667,38.21361111,30.0,123.9,33.95,14.71,1.28,3.2,7.61,8.16,92.4,0.5,1.0,7.4,,20.2,0.7,12.3,11.8,1,,
속초연안2_연안,2012-11-19,128.6116667,38.21361111,21.0,130.9,33.31,13.3,1.16,3.2,8.2,8.11,104.0,1.4,0.5,23.1,,31.7,0.73,7.2,10.8,1,,
기장연안4_연안,2013-02-17,129.2522222,35.265,10.5,252.3,34.09,11.58,0.84,4.1,8.54,8.24,273.1,6.1,16.2,86.6,,113.0,1.1,20.3,17.7,1,,
기장연안4_연안,2013-05-13,129.2522222,35.265,14.0,167.3,34.02,13.23,0.26,26.7,8.18,8.16,318.3,14.2,14.0,54.5,,84.0,0.87,15.3,22.1,1,,
기장연안4_연안,2013-08-02,129.2522222,35.265,18.5,211.7,34.01,13.21,5.57,10.5,7.52,8.1,281.9,3.2,16.9,72.8,,90.2,0.85,14.2,29.1,1,,
기장연안4_연안,2013-11-01,129.2522222,35.265,14.0,155.6,33.42,20.77,2.47,3.3,7.14,8.2,213.9,9.5,8.5,35.4,,53.9,0.92,9.1,16.9,1,,
서귀포연안1_연안,2013-02-16,126.6611111,33.2625,15.0,106.1,34.07,14.72,1.39,2.3,8.43,8.23,258.3,1.9,12.4,61.7,,68.8,1.09,5.3,18.6,1,,
서귀포연안1_연안,2013-05-21,126.6611111,33.2625,30.0,203.3,34.12,15.46,2.34,0.9,7.33,8.13,233.8,3.9,11.3,70.1,,82.4,0.44,8.3,14.6,1,,
서귀포연안1_연안,2013-08-17,126.6611111,33.2625,29.0,144.1,32.96,21.29,2.0,3.4,6.22,7.98,238.8,6.7,8.6,44.2,,62.5,0.45,11.5,11.1,1,,
서귀포연안1_연안,2013-11-17,126.6611111,33.2625,15.0,108.4,34.0,21.63,1.48,24.7,6.93,8.21,139.5,2.0,3.7,20.5,,27.4,1.07,4.9,24.6,1,,
속초연안1_연안,2013-02-17,128.605,38.19972222,15.0,178.5,33.99,5.93,2.9,2.8,9.39,8.03,239.7,2.4,11.4,68.2,,74.9,0.64,4.3,12.6,1,,
속초연안1_연안,2013-05-14,128.605,38.19972222,6.2,176.0,34.12,10.39,3.57,3.7,8.78,8.11,31.7,0.4,0.4,2.9,,11.2,1.03,7.9,9.7,1,,
속초연안1_연안,2013-08-13,128.605,38.19972222,16.0,143.3,33.21,22.4,6.99,0.6,7.28,8.05,37.1,0.3,0.4,0.7,,2.1,1.32,1.1,8.0,1,,
속초연안1_연안,2013-11-06,128.605,38.19972222,16.0,187.2,33.2,16.86,2.03,8.1,7.37,8.26,60.8,0.6,1.4,11.8,,26.0,1.05,13.6,15.3,1,,
속초연안2_연안,2013-02-17,128.6116667,38.21361111,24.0,198.7,33.93,5.32,1.27,1.6,9.25,8.01,239.8,2.3,13.2,77.2,,82.4,0.69,2.8,15.0,1,,
속초연안2_연안,2013-05-14,128.6116667,38.21361111,6.0,133.9,34.06,10.33,4.0,4.6,9.76,8.14,3.8,0.4,0.6,0.1,,53.2,0.89,52.7,13.0,1,,
속초연안2_연안,2013-08-13,128.6116667,38.21361111,20.0,131.1,33.79,20.0,12.36,0.9,8.32,8.04,130.6,1.2,0.2,7.8,,9.6,0.97,0.6,9.4,1,,
속초연안2_연안,2013-11-06,128.6116667,38.21361111,21.0,164.5,33.26,16.81,1.33,2.3,6.52,8.26,62.2,0.3,0.4,8.2,,22.7,1.24,14.2,12.1,1,,
가로림연안4_연안,2014-02-23,126.3336111,36.9225,8.5,387.2,31.46,4.18,1.54,31.0,11.2,8.04,357.3,1.4,23.6,106.5,,109.0,1.15,1.1,32.0,1,,
가로림연안4_연안,2014-05-23,126.3336111,36.9225,10.0,444.1,31.18,13.31,2.32,15.8,9.36,8.07,246.7,4.5,13.9,145.2,,165.0,0.87,15.2,23.6,1,,
가로림연안4_연안,2014-08-15,126.3336111,36.9225,10.5,409.6,31.28,21.98,0.93,14.9,7.03,8.11,373.9,10.3,19.3,98.6,,154.4,1.25,45.5,34.0,1,,
가로림연안4_연안,2014-11-08,126.3336111,36.9225,10.7,415.1,32.09,15.24,1.37,25.6,7.79,8.18,266.5,25.6,15.8,47.7,,84.1,1.02,10.8,37.9,1,,
기장연안4_연안,2014-02-20,129.2522222,35.265,11.0,241.6,34.38,12.15,0.84,14.1,8.52,8.15,287.8,7.5,13.7,95.8,,119.9,0.91,16.6,30.0,1,,
기장연안4_연안,2014-05-20,129.2522222,35.265,13.7,268.6,34.3,13.92,0.06,3.6,7.31,8.07,472.6,8.1,14.8,86.5,,109.4,0.62,14.9,29.1,1,,
기장연안4_연안,2014-08-16,129.2522222,35.265,13.5,256.6,32.88,19.67,0.72,12.3,7.09,8.14,384.9,4.3,7.2,71.6,,77.6,1.76,1.7,20.7,1,,
기장연안4_연안,2014-11-04,129.2522222,35.265,10.0,205.2,33.01,19.68,1.79,7.2,7.5,8.18,225.7,7.9,4.0,30.4,,40.9,0.91,2.6,13.3,1,,
서귀포연안1_연안,2014-02-06,126.6611111,33.2625,15.0,171.4,34.32,15.18,0.23,9.6,8.7,8.11,227.9,0.9,10.6,34.2,,36.8,0.41,1.7,11.4,1,,
서귀포연안1_연안,2014-05-06,126.6611111,33.2625,30.0,159.2,34.43,17.08,0.81,6.5,7.85,8.11,224.4,4.4,7.1,24.8,,45.7,0.55,16.5,8.4,1,,
서귀포연안1_연안,2014-08-13,126.6611111,33.2625,30.0,106.7,32.76,22.64,0.52,9.0,7.82,8.2,272.4,0.9,2.7,26.0,,32.2,0.77,5.3,4.5,1,,
서귀포연안1_연안,2014-11-19,126.6611111,33.2625,31.0,245.6,33.88,19.83,1.1,16.2,7.7,8.16,206.2,4.1,4.2,46.5,,53.7,0.64,3.1,9.8,1,,
속초연안1_연안,2014-02-26,128.605,38.19972222,18.0,243.9,33.99,6.18,3.13,3.0,10.13,8.23,205.1,2.6,12.6,54.7,,58.5,0.52,1.2,15.8,1,,
