project_name,station,yyyy-mm-dd hh:mm:ss,유효시간,Longitude [degrees_east],Latitude [degrees_north],수심(m),수심(text),전체수심(m),총질소[μg/L],totdisn_qc,염분[psu],sal_qc,수온[℃],wtrtmp_qc,클로로필-a[μg/L],chla_qc,부유물질 농도[mg/L],sussed_qc,용존산소[mg/L],disoxy_qc,수소이온농도[무단위],hydioncon_qc,규산염[μg/L],reasil_qc,아질산성질소[μg/L],nitnit_qc,인산염인[μg/L],po4p_qc,질산성질소[μg/L],natnit_qc,투명도[m],tr_qc,용존무기질소[μg/L],disinon_qc,화학적산소요구량[mg/L],cheoxydem_qc,암모니아성 질소[μg/L],amn_qc,총인[μg/L],totp_qc
해양환경측정망,가로림연안2_연안,2020-11-15 14:05,Minute,126.3133333,36.99,0,표층,20,225.4,2,31.0571,1,15.681,1,1.30667,1,9.1,2,8.17839,1,8.11,2,216.188,1,7.728,2,17.019,1,84.574,1,1.5,2,94.122,2,1.2987,2,1.82,2,28.551,2
해양환경측정망,가로림연안2_연안,2020-11-15 14:05,Minute,126.3133333,36.99,20,저층,20,218.792,2,31.0552,1,15.6749,1,1.58667,1,18.6,2,8.14375,1,8.11,2,242.424,1,7.574,2,16.647,1,82.992,1,,,92.428,2,1.63029,2,1.862,2,27.931,2
해양환경측정망,가로림연안3_연안,2020-02-21 10:25,Minute,126.2,36.94166667,0,표층,25,332.388,2,31.8133,1,5.8103,1,1,1,35.5,2,10.2466,1,8.08,2,399.168,1,1.106,2,26.102,1,176.554,1,1.5,2,180.138,2,1.70448,2,2.478,2,50.251,2
해양환경측정망,가로림연안3_연안,2020-02-21 10:25,Minute,126.2,36.94166667,25,저층,25,327.026,2,31.8092,1,5.7262,1,1.14,1,53.7,2,10.1823,1,8.1,2,397.544,1,1.148,2,26.722,1,189.91,1,,,193.564,2,1.72056,2,2.506,2,50.747,2
해양환경측정망,가로림연안3_연안,2020-05-14 12:56,Minute,126.2,36.94166667,0,표층,25,289.674,2,31.7912,1,10.8789,1,2.405,1,68.3333,2,9.26712,1,8.01,2,115.612,1,4.718,2,15.438,1,140.084,1,1,2,146.566,2,1.69467,2,1.764,2,35.836,2
해양환경측정망,가로림연안3_연안,2020-05-14 12:56,Minute,126.2,36.94166667,25,저층,25,260.988,2,31.7921,1,10.8395,1,2.58,1,28.6667,2,9.34532,1,8.02,2,109.564,1,4.13,2,16.12,1,144.718,1,,,148.861,2,1.72501,2,0.0133,2,34.565,2
해양환경측정망,가로림연안3_연안,2020-08-12 10:33,Minute,126.2,36.94166667,0,표층,27,219.702,2,30.4911,1,21.5576,1,1.402,1,4.95,2,7.22498,1,7.86,2,115.192,1,15.204,2,7.843,1,70.252,1,7,2,99.596,2,1.78048,2,14.14,2,33.232,2
해양환경측정망,가로림연안3_연안,2020-08-12 10:33,Minute,126.2,36.94166667,27,저층,27,219.632,2,30.5705,1,21.4131,1,1.226,1,24.15,2,7.32904,1,7.93,2,117.208,1,15.624,2,8.37,1,42.798,1,,,72.814,2,2.08,2,14.392,2,26.412,2
해양환경측정망,가로림연안3_연안,2020-11-15 11:45,Minute,126.2,36.94166667,0,표층,24,240.128,2,31.0146,1,15.7938,1,1.376,1,21.7,2,8.18249,1,8.11,2,270.06,1,4.886,2,17.391,1,94.122,1,2.5,2,100.73,2,1.79608,2,1.722,2,27.032,2
해양환경측정망,가로림연안3_연안,2020-11-15 11:45,Minute,126.2,36.94166667,24,저층,24,228.046,2,31.0155,1,15.7915,1,1.53,1,18.15,2,8.17226,1,8.11,2,245.812,1,5.054,2,16.864,1,91.266,1,,,98.182,2,1.76292,2,1.862,2,26.97,2
해양환경측정망,가로림연안4_연안,2020-02-21 11:43,Minute,126.3336111,36.9225,0,표층,18,256.242,2,31.7089,1,5.315,1,3.76,1,6.65,2,11.1778,1,8.17,2,323.148,1,1.344,2,16.337,1,87.304,1,2.5,2,91.378,2,1.80096,2,2.73,2,29.667,2
해양환경측정망,가로림연안4_연안,2020-02-21 11:43,Minute,126.3336111,36.9225,18,저층,18,254.058,2,31.7126,1,5.2318,1,3.12,1,5.75,2,11.1065,1,8.18,2,323.26,1,1.288,2,17.825,1,98.21,1,,,104.412,2,1.75272,2,4.914,2,29.822,2
해양환경측정망,가로림연안4_연안,2020-05-14 12:05,Minute,126.3336111,36.9225,0,표층,14,281.512,2,31.7583,1,12.5937,1,2.00667,1,21.4,2,8.90711,1,8,2,153.916,1,4.732,2,15.159,1,132.636,1,0.5,2,140.14,2,1.57987,2,2.772,2,33.48,2
해양환경측정망,가로림연안4_연안,2020-05-14 12:05,Minute,126.3336111,36.9225,14,저층,14,268.716,2,31.7644,1,12.272,1,2.39333,1,48.3,2,8.76836,1,8,2,122.5,1,3.626,2,14.074,1,121.044,1,,,128.044,2,1.72747,2,3.374,2,35.34,2
해양환경측정망,가로림연안4_연안,2020-08-08 15:07,Minute,126.3336111,36.9225,0,표층,11,435.4,2,28.7181,1,22.4887,1,0.856667,1,16,2,6.8123,1,7.9,2,441.168,1,20.846,2,30.38,1,194.348,1,1.5,2,287.392,2,1.81376,2,72.198,2,47.368,2
해양환경측정망,가로림연안4_연안,2020-08-08 15:07,Minute,126.3336111,36.9225,11,저층,11,378.882,2,29.6639,1,21.7682,1,0.67,1,14.6,2,6.82795,1,7.92,2,281.064,1,14.336,2,21.235,1,109.144,1,,,179.536,2,2.09664,2,56.056,2,21.793,2
해양환경측정망,가로림연안4_연안,2020-11-15 14:57,Minute,126.3336111,36.9225,0,표층,12,236.446,2,31.1403,1,15.7648,1,1.21,1,15.1,2,8.33413,1,8.12,2,217.84,1,6.384,2,16.864,1,80.598,1,1.8,2,88.998,2,1.84582,2,2.016,2,28.427,2
해양환경측정망,가로림연안4_연안,2020-11-15 14:57,Minute,126.3336111,36.9225,12,저층,12,218.722,2,31.1418,1,15.7346,1,1.36333,1,19.3,2,8.34354,1,8.12,2,229.964,1,6.146,2,15.779,1,78.204,1,,,86.436,2,1.8624,2,2.086,2,27.59,2
해양환경측정망,가로림연안5_연안,2020-02-21 11:15,Minute,126.3225,36.97083333,0,표층,8,321.272,2,31.8108,1,5.7913,1,1.428,1,51.31,2,10.2866,1,8.09,2,389.732,1,1.372,2,24.645,1,163.478,1,1,2,169.008,2,2.01,2,4.158,2,47.492,2
해양환경측정망,가로림연안5_연안,2020-02-21 11:15,Minute,126.3225,36.97083333,8,저층,8,319.382,2,31.8125,1,5.7807,1,1.4,1,59.5,2,10.392,1,8.11,2,386.4,1,1.456,2,25.234,1,175.574,1,,,182.364,2,2.46024,2,5.334,2,48.112,2
해양환경측정망,가로림연안5_연안,2020-05-14 11:05,Minute,126.3225,36.97083333,0,표층,18,287.028,2,31.7619,1,11.9309,1,2.55,1,63.3,2,9.22719,1,8.01,2,127.428,1,4.424,2,15.221,1,138.922,1,1.5,2,146.51,2,1.62907,2,3.164,2,34.317,2
해양환경측정망,가로림연안5_연안,2020-05-14 11:05,Minute,126.3225,36.97083333,18,저층,18,274.862,2,31.7702,1,11.3044,1,2.48667,1,39.5,2,9.23388,1,8.02,2,119.364,1,4.522,2,16.182,1,146.664,1,,,152.278,2,1.71107,2,1.092,2,34.627,2
해양환경측정망,가로림연안5_연안,2020-08-08 14:09,Minute,126.3225,36.97083333,0,표층,12,366.268,2,29.5569,1,21.9115,1,0.88,1,10.9,2,7.14224,1,7.91,2,386.68,1,22.078,2,25.699,1,159.712,1,1.5,2,237.608,2,1.89696,2,55.818,2,48.887,2
해양환경측정망,가로림연안5_연안,2020-08-08 14:09,Minute,126.3225,36.97083333,12,저층,12,325.822,2,29.8841,1,21.6284,1,0.756667,1,14.3,2,6.95045,1,7.93,2,322.896,1,20.244,2,22.599,1,127.204,1,,,191.674,2,1.50869,2,44.226,2,41.168,2
해양환경측정망,가로림연안5_연안,2020-11-15 14:20,Minute,126.3225,36.97083333,0,표층,16,220.108,2,31.1249,1,15.8017,1,1.15667,1,17.4,2,8.30697,1,8.12,2,235.984,1,5.726,2,16.368,1,80.29,1,1.5,2,87.542,2,1.92871,2,1.526,2,27.528,2
해양환경측정망,가로림연안5_연안,2020-11-15 14:20,Minute,126.3225,36.97083333,16,저층,16,223.146,2,31.1245,1,15.7906,1,1.34,1,15.9,2,8.25169,1,8.12,2,229.264,1,6.118,2,16.213,1,80.752,1,,,90.048,2,1.28212,2,3.178,2,27.497,2
해양환경측정망,가로림연안6_연안,2020-02-20 15:15,Minute,126.2608333,37.03305556,0,표층,47,350.91,2,31.7366,1,5.5965,1,1.248,1,59,2,10.4216,1,8.12,2,408.688,1,1.876,2,26.815,1,184.422,1,1,2,189.602,2,2.55672,2,3.304,2,50.747,2
해양환경측정망,가로림연안6_연안,2020-02-20 15:15,Minute,126.2608333,37.03305556,47,저층,47,336.966,2,31.736,1,5.573,1,1.084,1,53.8,2,10.1762,1,8.11,2,406.7,1,1.61,2,26.753,1,197.582,1,,,202.398,2,2.46024,2,3.206,2,43.958,2
해양환경측정망,가로림연안6_연안,2020-05-14 10:25,Minute,126.2608333,37.03305556,0,표층,45,286.972,2,31.752,1,11.2171,1,2.08,1,24.05,2,9.61455,1,8.01,2,107.436,1,5.404,2,14.446,1,140.056,1,2,2,162.792,2,1.66187,2,17.332,2,32.302,2
해양환경측정망,가로림연안6_연안,2020-05-14 10:25,Minute,126.2608333,37.03305556,45,저층,45,296.576,2,31.7664,1,10.9605,1,2.62,1,46.2,2,9.54709,1,8.03,2,99.652,1,4.536,2,15.531,1,139.748,1,,,145.726,2,2.03907,2,1.442,2,38.254,2
해양환경측정망,가로림연안6_연안,2020-08-08 13:00,Minute,126.2608333,37.03305556,0,표층,39,327.768,2,29.7375,1,21.3652,1,0.674,1,7.35,2,7.02461,1,7.91,2,313.908,1,35.196,2,18.724,1,106.946,1,2.5,2,175.35,2,1.664,2,33.208,2,41.354,2
해양환경측정망,가로림연안6_연안,2020-08-08 13:00,Minute,126.2608333,37.03305556,39,저층,39,270.956,2,30.8244,1,20.592,1,0.574,1,9.95,2,7.22936,1,7.95,2,201.012,1,30.828,2,14.818,1,73.878,1,,,121.044,2,1.19253,2,16.338,2,37.045,2
해양환경측정망,가로림연안6_연안,2020-11-15 13:24,Minute,126.2608333,37.03305556,0,표층,43,236.642,2,30.7983,1,15.6148,1,0.97,1,18.5,2,8.22357,1,8.11,2,226.884,1,9.674,2,19.53,1,91.336,1,1.8,2,102.214,2,2.01161,2,1.204,2,30.07,2
해양환경측정망,가로림연안6_연안,2020-11-15 13:24,Minute,126.2608333,37.03305556,43,저층,43,248.752,2,30.7964,1,15.5965,1,1.47333,1,16.5,2,8.22839,1,8.11,2,228.396,1,10.094,2,18.321,1,92.316,1,,,104.328,2,1.51423,2,1.918,2,28.892,2
해양환경측정망,가막만1_환경관리,2020-02-14 8:30,Minute,127.73417,34.7225,0,표층,16,212.548,2,32.9781,1,8.7011,1,1.40667,1,19.4,2,8.05145,1,8.17,2,359.8,1,5.698,2,17.112,1,105.126,1,1.6,2,136.892,2,1.01304,2,26.068,2,34.534,2
해양환경측정망,가막만1_환경관리,2020-02-14 8:30,Minute,127.73417,34.7225,16,저층,16,208.516,2,32.989,1,8.6755,1,1.26667,1,21.6,2,7.93337,1,8.17,2,389.536,1,6.566,2,17.298,1,122.346,1,,,156.38,2,0.9648,2,27.468,2,32.209,2
해양환경측정망,가막만1_환경관리,2020-05-16 11:10,Minute,127.73417,34.7225,0,표층,16,276.15,2,32.7063,1,16.9037,1,1.288,1,9.8,2,7.32,1,8.11,2,384.076,1,5.138,2,20.863,1,52.948,1,3,2,130.998,2,0.893013,2,72.912,2,39.153,2
해양환경측정망,가막만1_환경관리,2020-05-16 11:10,Minute,127.73417,34.7225,16,저층,16,256.032,2,32.7922,1,16.5864,1,1.184,1,7.4,2,7.59,1,8.13,2,373.464,1,4.956,2,19.437,1,51.744,1,,,126.168,2,0.876373,2,69.468,2,36.735,2
해양환경측정망,가막만1_환경관리,2020-08-15 16:30,Minute,127.73417,34.7225,0,표층,12,298.704,2,27.7769,1,24.7322,1,28.4,1,12.8333,2,9.92691,1,8.33,2,922.376,1,9.1,2,2.852,1,33.488,1,1.9,2,52.108,2,4.17008,2,9.52,2,44.671,2
해양환경측정망,가막만1_환경관리,2020-08-15 16:30,Minute,127.73417,34.7225,12,저층,12,255.472,2,31.8175,1,19.7301,1,10.5,1,13.8333,2,5.68324,1,7.99,2,1217.24,1,24.486,2,22.351,1,104.356,1,,,143.234,2,2.04752,2,14.392,2,46.655,2
해양환경측정망,가막만1_환경관리,2020-11-11 8:42,Minute,127.73417,34.7225,0,표층,17,299.67,2,31.7037,1,16.3257,1,2.02,1,10.6,2,7.7466,1,8.11,2,473.004,1,15.092,2,24.49,1,79.422,1,3.5,2,154.308,2,1.14396,2,59.794,2,39.711,2
해양환경측정망,가막만1_환경관리,2020-11-11 8:42,Minute,127.73417,34.7225,17,저층,17,276.024,2,31.7032,1,16.318,1,1.8,1,4.4,2,7.80631,1,8.15,2,473.368,1,15.358,2,25.668,1,81.116,1,,,156.226,2,1.12739,2,59.752,2,38.998,2
해양환경측정망,가막만2_환경관리,2020-02-13 15:17,Minute,127.68833,34.68917,0,표층,5,165.466,2,33.4935,1,9.3436,1,1.27333,1,14.8,2,6.54405,1,8.1,2,276.136,1,3.57,2,13.361,1,47.404,1,2,2,62.454,2,1.02912,2,11.48,2,27.683,2
해양환경측정망,가막만2_환경관리,2020-02-13 15:17,Minute,127.68833,34.68917,5,저층,5,180.264,2,33.5219,1,9.3403,1,0.98,1,32.2,2,8.23065,1,8.11,2,287.056,1,3.486,2,13.733,1,46.382,1,,,66.01,2,1.07736,2,16.142,2,28.272,2
해양환경측정망,가막만2_환경관리,2020-05-16 10:35,Minute,127.68833,34.68917,0,표층,4.5,130.214,2,33.0108,1,17.877,1,5.12,1,10.6,2,8.51,1,8.19,2,84.784,1,1.344,2,3.906,1,9.254,1,2.9,2,14.308,2,1.39221,2,3.71,2,25.823,2
해양환경측정망,가막만2_환경관리,2020-05-16 10:35,Minute,127.68833,34.68917,4.5,저층,4.5,165.62,2,33.214,1,17.5391,1,5.72,1,9,2,8.82,1,8.21,2,106.596,1,0.63,2,3.999,1,8.778,1,,,14.504,2,1.17589,2,5.096,2,25.668,2
해양환경측정망,가막만2_환경관리,2020-08-15 16:00,Minute,127.68833,34.68917,0,표층,5,202.468,2,28.2914,1,28.3976,1,12.76,1,34.8,2,12.5722,1,8.54,2,738.024,1,2.968,2,7.688,1,7.14,1,1.5,2,35.868,2,5.71376,2,25.76,2,38.564,2
해양환경측정망,가막만2_환경관리,2020-08-15 16:00,Minute,127.68833,34.68917,5,저층,5,315.42,2,30.0243,1,24.9426,1,9.8,1,90,2,8.83105,1,8.24,2,1096.45,1,8.778,2,22.289,1,17.5,1,,,128.716,2,4.57208,2,102.438,2,58.249,2
해양환경측정망,가막만2_환경관리,2020-11-11 16:13,Minute,127.68833,34.68917,0,표층,5,173.264,2,31.687,1,14.5767,1,4.78,1,12.3,2,9.27611,1,8.24,2,208.404,1,1.106,2,6.448,1,4.466,1,2,2,10.92,2,2.22161,2,5.348,2,26.009,2
해양환경측정망,가막만2_환경관리,2020-11-11 16:13,Minute,127.68833,34.68917,5,저층,5,155.792,2,31.6953,1,14.5264,1,4.5,1,5.2,2,9.46198,1,8.25,2,211.288,1,1.302,2,7.254,1,4.34,1,,,9.968,2,2.42056,2,4.326,2,26.505,2
해양환경측정망,가막만3_환경관리,2020-02-13 14:34,Minute,127.69028,34.62139,0,표층,8,189.308,2,33.7399,1,10.8966,1,0.873333,1,47.4,2,8.56801,1,8.03,2,328.916,1,5.362,2,16.771,1,82.698,1,1.1,2,99.442,2,1.09344,2,11.382,2,34.038,2
해양환경측정망,가막만3_환경관리,2020-02-13 14:34,Minute,127.69028,34.62139,8,저층,8,211.288,2,33.7463,1,10.54,1,1.39333,1,33.6,2,9.33555,1,8.05,2,332.136,1,5.614,2,16.647,1,81.69,1,,,106.904,2,1.02912,2,19.6,2,39.556,2
해양환경측정망,가막만3_환경관리,2020-05-13 16:40,Minute,127.69028,34.62139,0,표층,7,148.484,2,33.5066,1,17.1473,1,3.88,1,11.9,2,9.42,1,8.14,2,261.996,1,2.94,2,8.091,1,41.16,1,1.5,2,49,2,2.13691,2,4.9,2,24.459,2
해양환경측정망,가막만3_환경관리,2020-05-13 16:40,Minute,127.69028,34.62139,7,저층,7,169.708,2,33.6032,1,15.8406,1,4.2,1,12.5,2,9.33,1,8.14,2,259.056,1,2.884,2,7.812,1,31.15,1,,,50.89,2,2.10395,2,16.856,2,25.637,2
해양환경측정망,가막만3_환경관리,2020-08-14 16:25,Minute,127.69028,34.62139,0,표층,8,162.778,2,29.1188,1,27.8208,1,11.05,1,14.375,2,11.4375,1,8.31,2,479.808,1,4.452,2,3.379,1,17.402,1,2.2,2,27.958,2,3.73592,2,6.104,2,30.225,2
해양환경측정망,가막만3_환경관리,2020-08-14 16:25,Minute,127.69028,34.62139,8,저층,8,268.254,2,32.3369,1,19.8227,1,6.05,1,10.5,2,7.94781,1,8.16,2,603.316,1,13.132,2,11.47,1,54.712,1,,,70.49,2,1.64552,2,2.646,2,47.616,2
해양환경측정망,가막만3_환경관리,2020-11-09 15:41,Minute,127.69028,34.62139,0,표층,8,218.176,2,32.1839,1,16.4925,1,2.24,1,5.35,2,7.6459,1,8.16,2,418.628,1,11.242,2,19.809,1,60.606,1,3.5,2,106.764,2,0.862118,2,34.916,2,31.217,2
해양환경측정망,가막만3_환경관리,2020-11-09 15:41,Minute,127.69028,34.62139,8,저층,8,213.43,2,32.1739,1,16.4678,1,2.6,1,3.25,2,7.65275,1,8.17,2,420.392,1,11.326,2,20.77,1,59.934,1,,,107.576,2,1.09423,2,36.316,2,33.294,2
해양환경측정망,가막만4_환경관리,2020-02-13 16:33,Minute,127.66111,34.7325,0,표층,7,148.008,2,32.93,1,7.8154,1,0.512,1,5.15,2,8.67191,1,8.13,2,194.152,1,0.798,2,7.75,1,9.548,1,6.5,2,22.078,2,1.17384,2,11.732,2,20.801,2
해양환경측정망,가막만4_환경관리,2020-02-13 16:33,Minute,127.66111,34.7325,7,저층,7,210.868,2,33.1813,1,7.1453,1,0.972,1,8.75,2,8.22278,1,8.15,2,239.904,1,0.602,2,8.308,1,3.584,1,,,18.256,2,1.31856,2,14.07,2,21.359,2
해양환경측정망,가막만4_환경관리,2020-05-16 9:25,Minute,127.66111,34.7325,0,표층,7,140.896,2,33.0636,1,18.374,1,2.46,1,7.35,2,8.37,1,8.17,2,53.648,1,2.604,2,4.836,1,17.108,1,6.5,2,20.104,2,1.72501,2,0.392,2,21.328,2
해양환경측정망,가막만4_환경관리,2020-05-16 9:25,Minute,127.66111,34.7325,7,저층,7,157.416,2,33.1768,1,18.2791,1,1.646,1,5.3,2,8.07,1,8.17,2,73.192,1,1.33,2,6.665,1,7.028,1,,,16.044,2,1.19253,2,7.686,2,21.08,2
해양환경측정망,가막만4_환경관리,2020-08-15 14:51,Minute,127.66111,34.7325,0,표층,7,258.986,2,30.6264,1,25.4891,1,17.5,1,10.7,2,14.4294,1,8.85,2,547.176,1,1.162,2,0.279,1,7.7,1,1.2,2,11.382,2,6.8876,2,2.52,2,35.34,2
해양환경측정망,가막만4_환경관리,2020-08-15 14:51,Minute,127.66111,34.7325,7,저층,7,283.738,2,31.9342,1,21.4511,1,4.2,1,3.7,2,5.61941,1,8.01,2,957.068,1,28.854,2,32.612,1,24.542,1,,,151.172,2,2.16008,2,97.776,2,46.562,2
해양환경측정망,가막만4_환경관리,2020-11-11 14:50,Minute,127.66111,34.7325,0,표층,7.4,194.418,2,31.6201,1,14.7883,1,7.36,1,8.3,2,9.27826,1,8.19,2,218.54,1,0.84,2,5.146,1,3.626,1,3.5,2,9.576,2,2.10556,2,5.11,2,29.016,2
해양환경측정망,가막만4_환경관리,2020-11-11 14:50,Minute,127.66111,34.7325,7.4,저층,7.4,185.052,2,31.6082,1,14.5469,1,8.86,1,11.25,2,9.06867,1,8.21,2,243.152,1,1.036,2,5.642,1,4.256,1,,,9.478,2,1.9895,2,4.186,2,31.155,2
해양환경측정망,가막만5_환경관리,2020-02-13 16:05,Minute,127.64417,34.6975,0,표층,7,154.756,2,32.9812,1,7.6275,1,1.208,1,30.2,2,8.45789,1,8.12,2,176.176,1,0.406,2,7.254,1,8.638,1,4.6,2,19.656,2,1.27032,2,10.612,2,21.576,2
해양환경측정망,가막만5_환경관리,2020-02-13 16:05,Minute,127.64417,34.6975,7,저층,7,192.486,2,33.2182,1,7.4758,1,1.036,1,22.4,2,7.90412,1,8.12,2,213.416,1,0.714,2,9.579,1,8.82,1,,,24.444,2,1.30248,2,14.91,2,21.297,2
해양환경측정망,가막만5_환경관리,2020-05-16 9:50,Minute,127.64417,34.6975,0,표층,7,141.778,2,32.9585,1,18.3386,1,2.52,1,11.9,2,9.03,1,8.19,2,78.12,1,0.448,2,5.704,1,3.486,1,3.6,2,9.142,2,1.15925,2,5.208,2,21.297,2
해양환경측정망,가막만5_환경관리,2020-05-16 9:50,Minute,127.64417,34.6975,7,저층,7,139.734,2,33.2467,1,17.6824,1,2.36,1,8.8,2,8.99,1,8.19,2,84.868,1,2.59,2,6.014,1,7.7,1,,,18.494,2,1.00949,2,8.204,2,19.747,2
해양환경측정망,가막만5_환경관리,2020-08-15 15:20,Minute,127.64417,34.6975,0,표층,7,235.172,2,31.4209,1,24.4354,1,4.12,1,8.8,2,15.6146,1,8.78,2,491.82,1,0.406,2,0.248,1,2.352,1,1,2,8.904,2,6.98408,2,6.146,2,29.14,2
해양환경측정망,가막만5_환경관리,2020-08-15 15:20,Minute,127.64417,34.6975,7,저층,7,287.462,2,31.4648,1,24.1748,1,3.79,1,4,2,5.67896,1,7.88,2,1034.1,1,21.714,2,33.697,1,21.364,1,,,176.442,2,2.11184,2,133.364,2,51.708,2
해양환경측정망,가막만5_환경관리,2020-11-11 15:18,Minute,127.64417,34.6975,0,표층,7,208.012,2,31.6746,1,14.8994,1,3.52,1,9.65,2,8.20406,1,8.19,2,292.712,1,2.674,2,9.176,1,11.41,1,3.5,2,25.592,2,1.69108,2,11.508,2,31.403,2
해양환경측정망,가막만5_환경관리,2020-11-11 15:18,Minute,127.64417,34.6975,7,저층,7,167.384,2,31.6338,1,14.5579,1,4.76,1,5.15,2,8.57671,1,8.23,2,241.136,1,1.764,2,7.719,1,5.908,1,,,12.432,2,1.87345,2,4.76,2,26.35,2
해양환경측정망,감포연안1_연안,2020-02-14 12:45,Minute,129.5108333,35.79805556,0,표층,26,209.118,2,34.2045,1,13.8371,1,0.496,1,4.25,2,8.29249,1,8.15,2,379.316,1,5.334,2,16.585,1,108.262,1,4.2,2,117.39,2,1.94568,2,3.794,2,25.947,2
