"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","유분[mg/L]","fra_qc"
"해양환경측정망","감포연안1_연안","1998-02-01 00:00:00","129.5108333","35.79805556","0","0","표층","34.23","1","12.7","1","6.4","2","7.86","1","8.05","2","9","2","12","1","71","1","10","2","123","2","0.27","2","43","2","",""
"해양환경측정망","감포연안1_연안","1998-02-01 00:00:00","129.5108333","35.79805556","0","26","저층","34.12","1","12.7","1","","","7.77","1","8.06","2","7","2","12","1","54","1","","","136","2","0.46","2","75","2","",""
"해양환경측정망","감포연안1_연안","1998-05-01 00:00:00","129.5108333","35.79805556","0","0","표층","33.74","1","15.93","1","15.7","2","7.66","1","8.04","2","4","2","8","1","8","1","7.5","2","48","2","0.24","2","36","2","",""
"해양환경측정망","감포연안1_연안","1998-05-01 00:00:00","129.5108333","35.79805556","0","29","저층","33.86","1","13.23","1","","","7.77","1","8.04","2","4","2","10","1","27","1","","","48","2","0.69","2","17","2","",""
"해양환경측정망","감포연안1_연안","1998-08-01 00:00:00","129.5108333","35.79805556","0","0","표층","30.28","1","23.22","1","6.5","2","7.35714","1","8.13","2","4.62","2","4.526","1","17.5","1","6.5","2","73","2","1.14","2","50.12","2","",""
"해양환경측정망","감포연안1_연안","1998-08-01 00:00:00","129.5108333","35.79805556","0","29","저층","31.13","1","22.81","1","","","7.42857","1","8.11","2","5.18","2","5.518","1","8.54","1","","","61","2","0.58","2","46.76","2","",""
"해양환경측정망","감포연안1_연안","1998-11-01 00:00:00","129.5108333","35.79805556","0","0","표층","33.51","1","16.4","1","1","2","7.50503","1","8.05","2","4.368","2","12.338","1","64.554","1","10","2","151","2","1.12","2","81.9","2","",""
"해양환경측정망","감포연안1_연안","1998-11-01 00:00:00","129.5108333","35.79805556","0","30","저층","33.51","1","15.62","1","","","7.32394","1","8.06","2","5.74","2","10.137","1","61.404","1","","","152","2","1.86","2","84.686","2","",""
"해양환경측정망","감포연안H1_항만","1998-02-01 00:00:00","129.5055556","35.80694444","0","0","표층","33.65","1","12","1","10.8","2","8.07","1","8.02","2","7","2","23","1","89","1","2.5","2","116","2","0.52","2","20","2","",""
"해양환경측정망","감포연안H1_항만","1998-02-01 00:00:00","129.5055556","35.80694444","0","7","저층","33.77","1","12","1","","","8.1","1","8.05","2","8","2","20","1","135","1","","","161","2","0.5","2","18","2","",""
"해양환경측정망","감포연안H1_항만","1998-05-01 00:00:00","129.5055556","35.80694444","0","0","표층","32.99","1","16.24","1","18.5","2","7.46","1","8.06","2","4","2","12","1","35","1","4.5","2","52","2","1.06","2","13","2","",""
"해양환경측정망","감포연안H1_항만","1998-05-01 00:00:00","129.5055556","35.80694444","0","7","저층","33.67","1","15.57","1","","","8.1","1","8.04","2","6","2","12","1","32","1","","","52","2","1.23","2","14","2","",""
"해양환경측정망","감포연안H1_항만","1998-08-01 00:00:00","129.5055556","35.80694444","0","0","표층","28.63","1","23.42","1","13.1","2","6.44286","1","8","2","11.76","2","23.746","1","294","1","2","2","310","2","1.44","2","4.06","2","",""
"해양환경측정망","감포연안H1_항만","1998-08-01 00:00:00","129.5055556","35.80694444","0","7","저층","30.29","1","22.66","1","","","5.92857","1","8.09","2","10.22","2","3.007","1","111.72","1","","","127","2","1.28","2","5.46","2","",""
"해양환경측정망","감포연안H1_항만","1998-11-01 00:00:00","129.5055556","35.80694444","0","0","표층","33.19","1","15.93","1","4.8","2","6.72032","1","8.02","2","7.462","2","17.329","1","91.238","1","3","2","161","2","1.28","2","63.448","2","",""
"해양환경측정망","감포연안H1_항만","1998-11-01 00:00:00","129.5055556","35.80694444","0","7","저층","33.41","1","15.82","1","","","7.09256","1","8.05","2","7.742","2","16.089","1","91.938","1","","","139","2","1.12","2","39.032","2","",""
"해양환경측정망","강구연안1_연안","1998-02-01 00:00:00","129.4205556","36.38055556","0","0","표층","33.02","1","11.6","1","8.8","2","8.08","1","8.03","2","6","2","13","1","75","1","9","2","250","2","0.37","2","169","2","",""
"해양환경측정망","강구연안1_연안","1998-02-01 00:00:00","129.4205556","36.38055556","0","53","저층","32.02","1","11.6","1","","","8.09","1","8.04","2","0","2","12","1","67","1","","","120","2","0.3","2","53","2","",""
"해양환경측정망","강구연안1_연안","1998-05-01 00:00:00","129.4205556","36.38055556","0","0","표층","33.95","1","14.32","1","12.1","2","8.24","1","8.04","2","5","2","9","1","13","1","7","2","56","2","0.83","2","38","2","",""
"해양환경측정망","강구연안1_연안","1998-05-01 00:00:00","129.4205556","36.38055556","0","53","저층","34.19","1","4.21","1","","","7.5","1","8.02","2","5","2","9","1","4","1","","","57","2","0.56","2","48","2","",""
"해양환경측정망","강구연안1_연안","1998-08-01 00:00:00","129.4205556","36.38055556","0","0","표층","30.85","1","22.04","1","6.6","2","7.31429","1","8.03","2","3.36","2","5.425","1","50.96","1","5.5","2","104","2","0.35","2","50.26","2","",""
"해양환경측정망","강구연안1_연안","1998-08-01 00:00:00","129.4205556","36.38055556","0","60","저층","32.54","1","21.35","1","","","8.14286","1","8.01","2","2.52","2","5.27","1","55.44","1","","","119","2","0.54","2","61.32","2","",""
"해양환경측정망","강구연안1_연안","1998-11-01 00:00:00","129.4205556","36.38055556","0","0","표층","33.61","1","14.47","1","0.6","2","7.54527","1","8.03","2","6.748","2","17.174","1","106.862","1","10","2","238","2","1.36","2","123.62","2","",""
"해양환경측정망","강구연안1_연안","1998-11-01 00:00:00","129.4205556","36.38055556","0","60","저층","33.65","1","14.42","1","","","7.16298","1","8.04","2","7","2","16.585","1","119.798","1","","","232","2","0.45","2","105.168","2","",""
"해양환경측정망","강구연안H1_항만","1998-02-01 00:00:00","129.3905556","36.35666667","0","0","표층","28.4","1","8.8","1","13.6","2","7.82","1","7.77","2","11","2","30","1","239","1","3","2","274","2","1.11","2","24","2","",""
"해양환경측정망","강구연안H1_항만","1998-02-01 00:00:00","129.3905556","36.35666667","0","8","저층","27.6","1","11.5","1","","","8.08","1","8.03","2","4","2","16","1","238","1","","","257","2","0.62","2","15","2","",""
"해양환경측정망","강구연안H1_항만","1998-05-01 00:00:00","129.3905556","36.35666667","0","0","표층","10","1","13.78","1","16.7","2","8.41","1","7.99","2","6","2","16","1","48","1","1.5","2","79","2","2.48","2","25","2","",""
"해양환경측정망","강구연안H1_항만","1998-05-01 00:00:00","129.3905556","36.35666667","0","8","저층","33.11","1","13.11","1","","","7.9","1","8.01","2","6","2","11","1","23","1","","","54","2","1.01","2","25","2","",""
"해양환경측정망","강구연안H1_항만","1998-08-01 00:00:00","129.3905556","36.35666667","0","0","표층","5.58","1","19.69","1","10.4","2","9.01429","1","7.52","2","10.92","2","48.019","1","369.32","1","1","2","405","2","1.98","2","25.34","2","",""
"해양환경측정망","강구연안H1_항만","1998-08-01 00:00:00","129.3905556","36.35666667","0","9","저층","8.12","1","21.75","1","","","6.45714","1","7.51","2","8.96","2","52.359","1","336.7","1","","","364","2","1.86","2","18.34","2","",""
"해양환경측정망","강구연안H1_항만","1998-11-01 00:00:00","129.3905556","36.35666667","0","0","표층","32.33","1","13.67","1","5.3","2","7.2837","1","7.77","2","8.708","2","37.696","1","237.524","1","2","2","332","2","2.37","2","84.602","2","",""
"해양환경측정망","강구연안H1_항만","1998-11-01 00:00:00","129.3905556","36.35666667","0","9","저층","32.58","1","14.19","1","","","7.77666","1","8.03","2","9.282","2","30.535","1","210.126","1","","","282","2","1.49","2","62.776","2","",""
"해양환경측정망","강릉연안1_연안","1998-02-01 00:00:00","128.9616667","37.78166667","0","0","표층","30.1","1","8.3","1","13.2","2","8.05","1","8","2","5","2","13","1","105","1","14","2","133","2","0.54","2","23","2","",""
"해양환경측정망","강릉연안1_연안","1998-02-01 00:00:00","128.9616667","37.78166667","0","16","저층","29.14","1","7.9","1","","","8.04","1","7.99","2","4","2","12","1","45","1","","","69","2","0.42","2","20","2","",""
"해양환경측정망","강릉연안1_연안","1998-05-01 00:00:00","128.9616667","37.78166667","0","0","표층","30.65","1","14.52","1","16.8","2","8.01","1","8.03","2","12","2","14","1","79","1","5","2","137","2","1.41","2","46","2","",""
"해양환경측정망","강릉연안1_연안","1998-05-01 00:00:00","128.9616667","37.78166667","0","20","저층","33.84","1","9.84","1","","","8.19","1","8.04","2","6","2","12","1","31","1","","","88","2","1.34","2","51","2","",""
"해양환경측정망","강릉연안1_연안","1998-08-01 00:00:00","128.9616667","37.78166667","0","0","표층","27.12","1","21.74","1","13.6","2","7.37143","1","7.96","2","4.2","2","10.974","1","198.38","1","4","2","236","2","1.41","2","33.6","2","",""
"해양환경측정망","강릉연안1_연안","1998-08-01 00:00:00","128.9616667","37.78166667","0","19","저층","31.85","1","21.42","1","","","7.45714","1","7.98","2","2.8","2","4.185","1","54.04","1","","","80","2","0.83","2","22.54","2","",""
"해양환경측정망","강릉연안1_연안","1998-11-01 00:00:00","128.9616667","37.78166667","0","0","표층","33.47","1","14.32","1","0.7","2","8.12877","1","8","2","5.18","2","11.098","1","91.588","1","6","2","245","2","1.28","2","148.33","2","",""
"해양환경측정망","강릉연안1_연안","1998-11-01 00:00:00","128.9616667","37.78166667","0","20","저층","33.48","1","13.99","1","","","8.34004","1","7.99","2","4.06","2","8.308","1","86.702","1","","","173","2","1.14","2","82.292","2","",""
"해양환경측정망","강릉연안2_연안","1998-02-01 00:00:00","128.9555556","37.78","0","0","표층","27.97","1","8.3","1","13.6","2","8.05","1","8","2","4","2","12","1","101","1","14","2","144","2","0.28","2","39","2","",""
"해양환경측정망","강릉연안2_연안","1998-02-01 00:00:00","128.9555556","37.78","0","24","저층","34.03","1","7.3","1","","","8.05","1","8","2","5","2","14","1","124","1","","","150","2","0.32","2","21","2","",""
"해양환경측정망","강릉연안2_연안","1998-05-01 00:00:00","128.9555556","37.78","0","0","표층","33.03","1","14.09","1","15.2","2","8.69","1","8.04","2","10","2","7","1","38","1","6.5","2","87","2","0.16","2","39","2","",""
"해양환경측정망","강릉연안2_연안","1998-05-01 00:00:00","128.9555556","37.78","0","31","저층","34.1","1","5.87","1","","","8.4","1","7.99","2","6","2","7","1","31","1","","","58","2","1.44","2","21","2","",""
"해양환경측정망","강릉연안2_연안","1998-08-01 00:00:00","128.9555556","37.78","0","0","표층","30.88","1","22.14","1","10.9","2","7.75714","1","7.99","2","1.68","2","5.549","1","21.7","1","5","2","62","2","0.37","2","37.52","2","",""
"해양환경측정망","강릉연안2_연안","1998-08-01 00:00:00","128.9555556","37.78","0","24","저층","32.01","1","19.09","1","","","7.12857","1","8","2","2.24","2","5.921","1","41.86","1","","","101","2","0.35","2","57.12","2","",""
"해양환경측정망","강릉연안2_연안","1998-11-01 00:00:00","128.9555556","37.78","0","0","표층","33.15","1","13.92","1","1.5","2","8.4507","1","8","2","4.368","2","13.361","1","112","1","7","2","214","2","0.7","2","98.056","2","",""
"해양환경측정망","강릉연안2_연안","1998-11-01 00:00:00","128.9555556","37.78","0","22","저층","33.51","1","14.43","1","","","7.99799","1","8","2","3.528","2","10.974","1","124.04","1","","","203","2","0.67","2","74.69","2","",""
"해양환경측정망","거제도남안1_연안","1998-02-01 00:00:00","128.5580556","34.81333333","0","0","표층","33.31","1","6.5","1","8.7","2","9.87","1","8.11","2","8","2","18","1","81","1","4.2","2","138","2","1.33","2","49","2","",""
"해양환경측정망","거제도남안1_연안","1998-02-01 00:00:00","128.5580556","34.81333333","0","8","저층","33.31","1","7.7","1","","","9.61","1","8.17","2","2","2","21","1","72","1","","","115","2","1.33","2","41","2","",""
"해양환경측정망","거제도남안1_연안","1998-05-01 00:00:00","128.5580556","34.81333333","0","0","표층","32.98","1","18","1","1.4","2","8.25","1","8.17","2","3.08","2","23.25","1","32.2","1","4.3","2","68","2","1.57","2","32.76","2","",""
"해양환경측정망","거제도남안1_연안","1998-05-01 00:00:00","128.5580556","34.81333333","0","10","저층","33.4","1","17.5","1","","","6.98","1","8.16","2","1.96","2","17.36","1","31.08","1","","","55","2","1.32","2","22.4","2","",""
"해양환경측정망","거제도남안1_연안","1998-08-01 00:00:00","128.5580556","34.81333333","0","0","표층","26.72","4","27.56","1","5.6","2","7.53","1","8.17","2","7.28","2","8.99","1","141.54","1","3","2","219","2","3.71","2","70.28","2","",""
"해양환경측정망","거제도남안1_연안","1998-08-01 00:00:00","128.5580556","34.81333333","0","10.3","저층","31.02","1","24.07","1","","","5.47","1","7.98","2","3.92","2","11.78","1","57.26","1","","","122","2","1.79","2","60.62","2","",""
"해양환경측정망","거제도남안1_연안","1998-11-01 00:00:00","128.5580556","34.81333333","0","0","표층","32.67","1","14.4","1","1.5","2","8.23","1","8","2","5.88","2","14.88","1","1.96","1","4.9","2","18","2","1.16","2","9.52","2","",""
"해양환경측정망","거제도남안1_연안","1998-11-01 00:00:00","128.5580556","34.81333333","0","8","저층","32.69","1","14.43","1","","","8.12","1","8","2","3.92","2","16.43","1","1.12","1","","","29","2","1.14","2","23.94","2","",""
"해양환경측정망","거제도남안2_연안","1998-02-01 00:00:00","128.52","34.78083333","0","0","표층","34.05","1","11","1","10.4","2","9.2","1","8.17","2","8","2","27","1","139","1","3","2","181","2","1.16","2","34","2","",""
"해양환경측정망","거제도남안2_연안","1998-02-01 00:00:00","128.52","34.78083333","0","10","저층","34.05","1","11","1","","","9.2","1","8.15","2","10","2","27","1","125","1","","","158","2","1.14","2","23","2","",""
"해양환경측정망","거제도남안2_연안","1998-05-01 00:00:00","128.52","34.78083333","0","0","표층","33.01","1","17.7","1","1","2","8.23","1","8.16","2","4.48","2","27.9","1","25.76","1","4","2","71","2","1.97","2","40.74","2","",""
"해양환경측정망","거제도남안2_연안","1998-05-01 00:00:00","128.52","34.78083333","0","10.5","저층","33.56","1","16.5","1","","","7.01","1","8.18","2","4.2","2","26.66","1","21","1","","","50","2","1.62","2","24.78","2","",""
"해양환경측정망","거제도남안2_연안","1998-08-01 00:00:00","128.52","34.78083333","0","0","표층","28.82","1","26.95","1","3.2","2","7.32","1","8.1","2","6.72","2","8.99","1","100.52","1","3","2","182","2","2.96","2","74.2","2","",""
"해양환경측정망","거제도남안2_연안","1998-08-01 00:00:00","128.52","34.78083333","0","11.8","저층","30.99","1","22.95","1","","","5.15","1","8.02","2","5.88","2","8.99","1","78.4","1","","","137","2","1.8","2","53.48","2","",""
"해양환경측정망","거제도남안2_연안","1998-11-01 00:00:00","128.52","34.78083333","0","0","표층","33.18","1","15.3","1","0.9","2","7.14","1","8.02","2","11.48","2","26.66","1","91","1","3.2","2","117","2","0.77","2","15.12","2","",""
"해양환경측정망","거제도남안2_연안","1998-11-01 00:00:00","128.52","34.78083333","0","13","저층","33.21","1","15.45","1","","","6.75","1","8.01","2","12.32","2","28.21","1","110.32","1","","","132","2","0.72","2","10.36","2","",""
"해양환경측정망","거제도남안3_연안","1998-02-01 00:00:00","128.5402778","34.72277778","0","0","표층","34.21","1","13.1","1","9.5","2","9.17","1","8.15","2","7","2","28","1","113","1","4.5","2","145","2","1.02","2","25","2","",""
"해양환경측정망","거제도남안3_연안","1998-02-01 00:00:00","128.5402778","34.72277778","0","42","저층","34.19","1","13","1","","","9.05","1","8.18","2","6","2","28","1","106","1","","","125","2","0.85","2","13","2","",""
"해양환경측정망","거제도남안3_연안","1998-05-01 00:00:00","128.5402778","34.72277778","0","0","표층","33.28","1","18","1","0.2","2","8.39","1","8.17","2","2.8","2","15.5","1","48.16","1","9.5","2","105","2","1.85","2","54.32","2","",""
"해양환경측정망","거제도남안3_연안","1998-05-01 00:00:00","128.5402778","34.72277778","0","39","저층","33.44","1","16","1","","","7.14","1","8.21","2","1.12","2","17.36","1","25.2","1","","","54","2","0.85","2","28","2","",""
